source_result_id	problem_code	severity	detail	suggested_rework
sr_a2792b5f35b5	missing_verbatim_effect_text	high	The current dot table stores numeric D but not the literal effect/statistic text copied from the source.	Carry raw copied effect/statistic cells before parsing or D conversion.
sr_a2792b5f35b5	missing_verbatim_n_text	high	The current dot table stores numeric N but not the literal N/sample-size text copied from the source.	Carry raw copied sample-size cells before parsing or N normalization.
sr_a2792b5f35b5	locator_mixes_path_and_notes	medium	source_file_or_catalog combines a path or URL with prose notes; source_access needs atomic URL/path rows and extraction notes elsewhere.	Normalize source_file_or_catalog into source_access plus extraction_event notes.
sr_a2792b5f35b5	represented_source_not_doi_keyed	medium	Represented source is keyed by registry_id rather than DOI or another durable bibliographic ID.	Add DOI, PMID, registry ID, or other stable represented_source identifier where available.
sr_bc78312ff9c4	missing_verbatim_effect_text	high	The current dot table stores numeric D but not the literal effect/statistic text copied from the source.	Carry raw copied effect/statistic cells before parsing or D conversion.
sr_bc78312ff9c4	missing_verbatim_n_text	high	The current dot table stores numeric N but not the literal N/sample-size text copied from the source.	Carry raw copied sample-size cells before parsing or N normalization.
sr_bc78312ff9c4	represented_source_not_doi_keyed	medium	Represented source is keyed by title rather than DOI or another durable bibliographic ID.	Add DOI, PMID, registry ID, or other stable represented_source identifier where available.
sr_5598a1474491	missing_verbatim_effect_text	high	The current dot table stores numeric D but not the literal effect/statistic text copied from the source.	Carry raw copied effect/statistic cells before parsing or D conversion.
sr_5598a1474491	missing_verbatim_n_text	high	The current dot table stores numeric N but not the literal N/sample-size text copied from the source.	Carry raw copied sample-size cells before parsing or N normalization.
sr_5598a1474491	represented_source_not_doi_keyed	medium	Represented source is keyed by title rather than DOI or another durable bibliographic ID.	Add DOI, PMID, registry ID, or other stable represented_source identifier where available.
sr_362d2e514afe	missing_verbatim_effect_text	high	The current dot table stores numeric D but not the literal effect/statistic text copied from the source.	Carry raw copied effect/statistic cells before parsing or D conversion.
sr_362d2e514afe	missing_verbatim_n_text	high	The current dot table stores numeric N but not the literal N/sample-size text copied from the source.	Carry raw copied sample-size cells before parsing or N normalization.
sr_362d2e514afe	represented_source_not_doi_keyed	medium	Represented source is keyed by title rather than DOI or another durable bibliographic ID.	Add DOI, PMID, registry ID, or other stable represented_source identifier where available.
