followup_id	plot_label	corpus_database_id	name	record_kind	priority	host	acquisition_route_type	current_acquisition_state	on_disk_after_automation	sampled_after_automation	followup_track	assigned_to	reason	landing_url	raw_url	existing_local_paths	suggested_action	gpt_question	user_action	notes
result_artifact_followup_d55e71bdfef18769	figure1	biblio_search_crossref_480bdd504b25	A large-scale replication of scenario-based experiments in psychology and management using large language models	candidate_corpus_or_database	high	doi.org	article_pdf_supplement_or_data_availability_route	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	https://doi.org/10.1038/s43588-025-00840-7			Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_29fc3f67577b5fea	figure1	manual_search_manual_tracker_27c69d9dadd0	AEA RCT Registry	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_2d3fb7d3846e1de5	figure1	manual_search_manual_tracker_6b5329f87edd	BEAR combined database	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_56d164927ac3a595	figure1	manual_search_manual_tracker_2bcb667abe09	Barnett/Wren biomedical CI scrape through BEAR	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_9ed2d106f5458c76	figure1	manual_search_manual_tracker_9244ee72b4a3	Brodeur economics through BEAR	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_376f815512e69837	figure1	repo_search_datacite_1afe2afc30e4	Circadian typology is related to resilience and optimism in healthy adults	candidate_repository_package	high	zenodo.org	zenodo_record_file_download	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	https://zenodo.org/doi/10.5281/zenodo.18681900 | https://zenodo.org/doi/10.5281/zenodo.18681901			Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_77093355cb003fa5	figure1	repo_search_datacite_6c01420a9094	FAIRsharing record for: Framework for Open and Reproducible Research Training - Replication Database	candidate_corpus_or_database	high	fairsharing.org	landing_page_inventory_or_manual_resolution	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	https://fairsharing.org/10.25504/FAIRsharing.ee7dba			Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_757f000c623056be	figure1	manual_search_manual_tracker_f27967338f24	FORRT Replication Database / FReD	candidate_corpus_or_database	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_247734070f8d35d8	figure1	repo_search_osf_8bd75e546e74	Fork of Reproducibility Project: Psychology	candidate_corpus_or_database	high	osf.io	osf_inventory_and_download	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	https://osf.io/wusvb/			Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_3f6bd230fa30bc34	figure1	manual_search_manual_tracker_3bdb9d12bfd6	Howard et al. 2017 neurology selective reporting bias audit	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_3e754cd6cc31dc84	figure1	domain_search_osf_32ff619d7c35	Information bottlenecks in Behavioural Science: A framework and multi-dataset analysis of replication and generalization	candidate_corpus_or_database	high	osf.io	osf_inventory_and_download	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	https://osf.io/n67tk/			Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_71cbb3c87a08088a	figure1	repo_search_osf_ea08e3722d17	Investigating variation in replicability: A “Many Labs” Replication Project	candidate_corpus_or_database	high	osf.io	osf_inventory_and_download	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	https://osf.io/scayl/ | https://osf.io/wx7ck/			Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_72d448de04f24435	figure1	manual_search_manual_tracker_4d67efc9b112	Kühberger, Fritz & Scherndl 2014 psychology main-question results	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
result_artifact_followup_9ab7f1cb2ec4e66b	figure1	manual_search_manual_tracker_06310c250070	Lancee et al. 2017 antipsychotic outcome-reporting audit	candidate_repository_package	high	manual_tracker	direct_download_or_api_snapshot	needs_result_bearing_artifact_on_disk	yes	yes	codex_parser_or_result_mapping	codex	local sampled artifact exists but parser/result mapping may still be needed	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md		Inspect sampled local artifacts and route result-bearing tables to parser/extraction or reject/deprioritize if they are not Figure 1 result catalogs.			Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.
