candidate_key	candidate_name	priority	initial_decision	current_repo_status	seed_urls	osf_nodes	zenodo_records	github_archives	notes
eprp_xphi	Experimental Philosophy Replicability Project / X-Phi	known_covered_check	duplicate_or_support	already_integrated_live_rows	https://osf.io/dvkpr/ | https://osf.io/4ewkh/download | https://cran.r-project.org/package=ReplicationSuccess	dvkpr			Current root table already has EPRP rows from XPhiReplicability_CompleteData.csv.
management_science_replication_project	Management Science Replication Project	known_covered_check	duplicate_or_support	already_integrated_live_rows	https://msreplication.utdallas.edu/ | https://msreplication.utdallas.edu/replication-principles/ | https://msreplication.utdallas.edu/chen-et-al-2013/ | https://msreplication.utdallas.edu/files/2026/02/CrosonDonohue2006_DataAnalysisStimuli.zip | https://msreplication.utdallas.edu/files/2026/02/ShunkoEtAl2018_DataAnalysisStimuli.zip				Current root table already has MSRP report-table rows; mirror pass may find newer zips.
brazilian_reproducibility_initiative	Brazilian Reproducibility Initiative	known_covered_check	duplicate_or_support	already_integrated_live_rows	https://github.com/BrazilianReproducibilityInitiative/bri-analysis | https://github.com/BrazilianReproducibilityInitiative/bri-analysis/archive/refs/heads/main.zip | https://osf.io/6av7k/wiki	6av7k		https://github.com/BrazilianReproducibilityInitiative/bri-analysis/archive/refs/heads/main.zip	Current root table already has BRI primary-analysis experiment rows.
sports_science_replication_centre	Sports Science Replication Centre	known_covered_check	duplicate_or_support	already_integrated_live_rows	https://ssreplicationcentre.com/ | https://ssreplicationcentre.com/replications/ | https://ssreplicationcentre.com/publication/estimating_replicability/ | https://osf.io/3vufg/	3vufg			Current root table already has sports supplemental outcome rows.
hagen_hcsp	Hagen Cumulative Science Project I	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_access_route_checked	https://osf.io/d7za8/ | https://github.com/pandorica-opens/Hagen-Cumulative-Science-Project-I | https://github.com/pandorica-opens/Hagen-Cumulative-Science-Project-I/archive/refs/heads/master.zip | https://docs.google.com/spreadsheets/d/1VBnEGbanAt5yLXkpMGRGJWZeuw1TLNVudksgXyksHq0/edit?ts=5beae9fc#gid=0 | https://docs.google.com/spreadsheets/d/1f5QYC1F-Pd2v9N4DU6Yf29jdKPhOzdad6B2GDhWoVjM/edit?usp=sharing	d7za8		https://github.com/pandorica-opens/Hagen-Cumulative-Science-Project-I/archive/refs/heads/master.zip	GitHub Shiny app is mirrorable; its backing Google Sheets currently return file-deleted/410 in this environment.
many_smiles	Many Smiles Collaboration	mirror_first_net_new	maybe_pass_after_custom_parser	mirrored_context_not_integrated	https://manysmilescollaboration.com/ | https://www.nature.com/articles/s41562-022-01458-9 | https://osf.io/download/qd2s3/				OSF data zip is mirrorable, but original benchmark effect/N is not a clean row table in the mirrored zip.
asset_market_replications	High-powered preregistered replications of experimental asset-market results	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_seen_as_net_new	https://doi.org/10.2139/ssrn.5048949 | https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5048949 | https://osf.io/uxrgk/ | https://osf.io/aepxt/	uxrgk | aepxt			
sensory_marketing_replications	Replications of ten influential sensory-marketing studies	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_seen_as_net_new	https://osf.io/tnmvq/ | https://doi.org/10.1016/j.jbusres.2022.05.006 | https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2022.1048896/full	tnmvq			
transparent_replications_clearer_thinking	Transparent Replications by Clearer Thinking	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_seen_as_net_new	https://doi.org/10.5281/zenodo.17705056 | https://doi.org/10.5281/zenodo.17705407 | https://doi.org/10.5281/zenodo.17705573		17705056 | 17705407 | 17705573		
replicability_project_health_behavior	Replicability Project: Health Behavior	context_check	context_only_pending_final_results	not_integrated_context	https://www.cos.io/rphb | https://www.cos.io/initiatives/replicability-project-health-behavior | https://osf.io/pxmj9/	pxmj9			
repeat_initiative	REPEAT Initiative	mirror_first_net_new	promoted_after_custom_parser_method_labeled	promoted_live_rows_batch2	https://repeatinitiative.org/ | https://osf.io/my5gn/ | https://doi.org/10.17605/OSF.IO/MY5GN | https://www.nature.com/articles/s41467-022-32310-3	my5gn			Batch-two mining promotes 106 primary ratio-measure rows, with same-data RWE reproduction explicitly labeled.
fred_replication_database	FReD / The Replication Database	duplicate_support	duplicate_or_support	already_known_dedupe_support	https://forrt.org/replication-database/ | https://osf.io/9r62x/ | https://osf.io/z5u9b/download | https://osf.io/qtkzy/ | https://osf.io/c9rny/	9r62x | qtkzy | c9rny			
crep	Collaborative Replications and Education Project / CREP	context_check	context_only_needs_aggregate_export	not_integrated_context	https://osf.io/wfc6u/	wfc6u			
threeie_replication_paper_series	3ie Replication Paper Series	false_positive_support	context_only_internal_replication	not_integrated_context	https://www.3ieimpact.org/evidence-hub/publications/replication-paper-series				
i4r_replication_games	Institute for Replication / I4R / Replication Games	false_positive_support	context_only_same_data_reproduction	not_integrated_context	https://i4replication.org/ | https://i4replication.org/meta-database/ | https://i4replication.org/reports/				
replicationwiki	ReplicationWiki	false_positive_support	likely_fail_no_dn_fields	not_integrated_context	https://replication.uni-goettingen.de/wiki/				
ml_reproducibility_challenge	ML Reproducibility Challenge	false_positive_support	context_only_metric_mismatch	not_integrated_context	https://openreview.net/group?id=ML_Reproducibility_Challenge/2022 | https://paperswithcode.com/rc2022				
rescience_c	ReScience C	false_positive_support	likely_fail_metric_mismatch	not_integrated_context	https://rescience.github.io/ | https://github.com/ReScience				
