inventory_task_id	cluster_id	parent_corpus_database_id_or_key	preferred_source_family_name	route_target	inventory_priority	confidence	source_count	lead_level_note_count	decision_receipt_path	inventory_reason	next_action
inventory_task_03a7818d0f17ec39	cluster_emdr_and_misinformation_3fe9f9e46e27	github:ying531/awesome-replicability-data	ying531/awesome-replicability-data	source_family_artifact_inventory	high	high	5	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_emdr_and_misinformation_3fe9f9e46e27.json	Cluster aliases point to one reusable GitHub source family plus several dataset-level downloads. The checked repository is an explicit curated collection of publicly available original-replication datasets and cleaned data/code artifacts; the local EMDR, lie-language, cleanliness-moral, and mindbody self-centrality hits are child artifacts, not separate root source families.	Inventory these files under the existing GitHub source-family row; attach cleaned CSVs, processing scripts, download metadata, and repository manifests as child artifacts, without creating separate root rows for each pair dataset.
inventory_task_524036a18abc5c1b	cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362	zenodo:15552808	Heyard and Held heterogeneity_in_replication_projects code/data repository	corpora_update_proposal_then_source_family_inventory	medium	medium	4	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_meta_regression_to_explain_shrinkage_and_heterogeneity_in_large_scale_replicatio_40dfdd112362.json	The cluster is not just an isolated article hit: checked sources show an article/preprint plus a Zenodo/GitLab code-and-data repository for analyses of original-replication study-pairs in large-scale replication projects. The repository is a reusable source object, but its internal files still need inventory before any table-level integration.	Keep as a source-family candidate keyed to the Zenodo/GitLab repository; inspect the zip/file inventory for reusable study-pair or effect-size tables, then map any RPP/RPEE-derived child tables to their originating project parents where appropriate.
inventory_task_b90587c7843e9288	cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	source_family_artifact_inventory	high	high	4	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_osf_03_rp_cb_final_analysis_paper_level_data_46a453806c4e.json	The cluster is a coherent OSF final-analysis package for RP:CB, with paper-, experiment-, and effect-level data plus dictionaries and study scripts. RP:CB is an existing reusable corpus/source family, so these are child artifacts of that parent rather than new source families.	Attach the OSF e5nvr final-analysis tables, dictionaries, and per-study R scripts to raw_corpus:rpcb; deduplicate against the local rpcb corpus-candidate copies in the sibling RPCB cluster.
inventory_task_fd8530c815c12471	cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	source_family_artifact_inventory	high	high	3	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_rpcb_elife_registered_report_replication_effects_e5397aaa137f.json	The cluster is the local raw-corpus side of the same RP:CB source family. It contains reusable final-analysis tables and dictionaries for paper, experiment, and effect levels; the included/raw RPCB parent should own these duplicates and child artifacts.	Deduplicate duplicate root-table and search-manifest hits, then inventory the effect-, experiment-, and paper-level CSVs and dictionaries under raw_corpus:rpcb; do not create new root rows for individual CSV files.
inventory_task_496d19ef8219a7ce	cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850	score	Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	source_family_artifact_inventory	high	high	5	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered004/cluster_score_cos_preregistration_indicated_original_papers_2a2876c57850.json	SCORE is an existing reusable source family with openly available data/code/materials. The cluster contains child data tables, an OSF manifest, and an included preregistration-indicated subset; these should be owned by the broader SCORE parent, with the subset kept as an included derived corpus view.	Inventory orig_outcomes, repli_outcomes, repro_prereg-check, and OSF manifest/meta files under the SCORE parent; preserve the existing score_cos_preregistration_indicated_original_papers subset row and avoid duplicate root creation.
inventory_task_28f80649ce5bc810	cluster_dataverse_manifest_ee14f1be8828	lead_harvest:covid_online_2021	The Generalizability of Online Experiments Conducted During the COVID-19 Pandemic	source_family_artifact_inventory	medium	medium	3	12	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_dataverse_manifest_ee14f1be8828.json	The cluster is not Many Labs 2 despite the hint. The artifact names align with the Peyton, Huber, and Coppock COVID-era online-experiment replication package, which has open data/materials and a Harvard Dataverse replication-data DOI. This is a reusable multi-study replication package, but the listed nodes are child files/manifests rather than a new root source-family row.	Attach the Dataverse download JSONs, ReadMe/appendix scripts, and original-study data files as child artifacts under lead_harvest:covid_online_2021; inspect the manifest/file list for reusable multi-row original/replication result tables and route those specific tables to result-table extraction.
inventory_task_753993910fcf426e	cluster_investigating_the_replicability_of_preclinical_cancer_biology_ca7b83bfae6f	rpcb | doi:10.7554/eLife.71601	Reproducibility Project: Cancer Biology	corpora_update_proposal_then_source_family_inventory	high	high	4	6	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_investigating_the_replicability_of_preclinical_cancer_biology_ca7b83bfae6f.json	This is a source-family/corpus candidate rather than an isolated paper. The eLife article is part of the Reproducibility Project: Cancer Biology collection, reports 50 completed experiments from 23 papers and 158 effects, and points to project-level underlying data, code, digital materials, and the OSF replication-data object.	Keep as the RPCB source-family candidate; inventory the OSF RPCB collection and Replication Data from the Reproducibility Project: Cancer Biology; route paper/experiment/effect-level data tables to result-table extraction.
inventory_task_5f86fda82415efa5	cluster_many_labs_2_investigating_variation_in_replicability_across_samples_and_settings_9638ac62afe8	many_labs_2 | doi:10.1177/2515245918810225	Many Labs 2: Investigating Variation in Replicability Across Samples and Settings	corpora_update_proposal_then_source_family_inventory	high	high	4	7	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_many_labs_2_investigating_variation_in_replicability_across_samples_and_settings_9638ac62afe8.json	This is a large-scale replication source family: the article reports preregistered replications of 28 published findings across 125 samples and provides comprehensive data, materials, supplementary information, and code resources via OSF/open-science pages.	Reconcile the duplicate OpenAlex/DOI/root-table leads into one Many Labs 2 source-family candidate; inventory OSF 8cd4r and the ManyLabsOpenScience code guide; route any summary effect-size/original-replication tables to result-table extraction.
inventory_task_dccedfb0fe688b81	cluster_political_science_unlock_51f64b60725b	raw_corpus:political_science_unlock	Political Science Unlock	source_family_artifact_inventory	high	high	3	12	steps/review_cue/figure1_search_leads/cluster_receipts/clustered005/cluster_political_science_unlock_51f64b60725b.json	This cluster already sits under an included raw corpus/source-family key and contains many Dataverse/GitHub metadata, code, workbook, and appendix artifacts. Child artifacts should be owned by raw_corpus:political_science_unlock; individual one-off replication code should be routed away.	Inventory Dataverse metadata JSONs, Dataverse package folders, GitHub workbooks/code, and raw inventory directories under raw_corpus:political_science_unlock. Route only confirmed multi-row result/effect tables to the result-table worklist, and route single-paper packages such as BKO Debates to the individual replication paper worklist.
inventory_task_d704dbeef05c41e6	cluster_brodeur_star_wars_openicpsr_9a38abb2140a	raw_corpus:brodeur_star_wars_openicpsr	Brodeur Star Wars OpenICPSR replication package	source_family_artifact_inventory	medium	medium	4	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_brodeur_star_wars_openicpsr_9a38abb2140a.json	The full OpenICPSR package is mirrored locally and is a reusable raw corpus candidate, but prior acquisition notes say it is currently a published-economics p/t/statistics comparator rather than a verified D/N source. It should be inventoried before any Figure 1 promotion.	Inventory the OpenICPSR package under raw_corpus:brodeur_star_wars_openicpsr; inspect cleaned DTA files, raw extraction CSVs, and Stata/R programs for study-level sample-size or original/replication mapping fields. Keep as a candidate/context source unless D/N and Figure 1 relation criteria are confirmed.
