candidate_id,source_family,source_file,paper_id,claim_id,title,doi,journal,pub_year,citation,candidate_status,strict_append_ready,remaining_blocker,sample_size_text,effect_size_text,p_value_text,stat_type,stat_value,D_candidate,N_candidate,N_candidate_basis,conversion_method,already_represented_in_score_paper_join
score_text_lbwx_lbwx_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,LbWx,LbWx_single-trace,How Does Not Responding To Appetitive Stimuli Cause Devaluation: Evaluative Conditioning Or Response Inhibition?,10.1037/xge0000236,Journal of Experimental Psychology: General,2016,Chen et al. (2016),score_text_strict_append_ready,True,None under the current SCORE paper-level preregistration-indicated rule; claim-specific preregistration mapping remains a source-family caveat.,Forty-one participants remained in the final sample Forty-one participants remained in the final sample,"Cohen’s d_unb = -0.573 Cohen’s dunb 0.573 t(40) = -3.45, p = .001, Cohen’s d_unb = -0.573, 95% CI [ -0.936, -0.225]",p = .001 p .001,reported_d,0.573,0.573,41.0,sample_text_words,reported_d,False
score_text_pjkz_pjkz_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,PJkz,PJkz_single-trace,The Norm-Dependent Effect Of Watching Eyes On Donation,10.1016/j.evolhumbehav.2017.05.003,Evolution and Human Behavior,2017,Kawamura and Kusumi (2017),score_text_strict_append_ready,True,None under the current SCORE paper-level preregistration-indicated rule; claim-specific preregistration mapping remains a source-family caveat.,One hundred thirty-nine Japanese university students One hundred thirty-nine Japanese university students,odds ratio = 3.60 3.60,p = 0.049 0.049,odds_ratio,3.6,0.7062158421269884,139.0,sample_text_words,chinn_log_or_to_d,False
score_text_yaql_yaql_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,Yaql,Yaql_single-trace,When Generating A Prediction Boosts Learning: The Element Of Surprise,10.1016/j.learninstruc.2018.01.013,Learning and Instruction,2018,Brod et al. (2018),score_text_strict_append_ready,True,None under the current SCORE paper-level preregistration-indicated rule; claim-specific preregistration mapping remains a source-family caveat.,Thirty-six students Thirty-six students,"Cohen's d = .497 Cohen's d = .497 t(33) = 2.5, p = .01, Cohen's d = .497",p = .01 p = .01,reported_d,0.497,0.497,36.0,sample_text_words,reported_d,False
score_text_rm48_rm48_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,rm48,rm48_single-trace,Publication Bias In Special Education Meta-Analyses,10.1177/0014402917691016,Exceptional Children,2017,Gage et al. (2017),stage_metric_or_n_check,False,"Candidate has parseable D/N text, but the N or effect metric still needs manual validation before strict inclusion.",eight met the inclusion criteria for comparing effect sizes in published and gray literature eight met the inclusion criteria for comparing effect sizes in published and gray literature,d = 0.89 d = 0.89,p < .05 p < .05,reported_d,0.89,0.89,8.0,sample_text_words,reported_d,False
score_text_0apr_0apr_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,0Apr,0Apr_single-trace,Is Implicit Theory Of Mind A Real And Robust Phenomenon? Results From A Systematic Replication Study,10.1177/0956797617747090,Psychological Science,2018,Kulke et al. (2018),already_represented_in_score_paper_join,False,This preregistration-indicated SCORE paper already has a deduplicated D/N row in strict Plot 3.,"19 participants were tested for Study 3b (age: M = 23.3 years, SD = 1.95; 9 women) t 19 participants were tested for Study 3b (age: M = 23.3 years, SD = 1.95; 9 women) t",d = −0.58 d = −0.58,p = .084 p = .084,reported_d,0.58,0.58,19.0,sample_text_digits,reported_d,True
score_text_8r9d_8r9d_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,8R9d,8R9d_single-trace,Remotely Close Associations: Openness To Experience And Semantic Memory Structure,10.1002/per.2157,European Journal of Personality,2018,Christensen et al. (2018),already_represented_in_score_paper_join,False,This preregistration-indicated SCORE paper already has a deduplicated D/N row in strict Plot 3.,516 participants 516 participants,d = 2.94 2.94,p < 0.001 0.001,reported_d,2.94,2.94,516.0,sample_text_digits,reported_d,True
score_text_awx_awx_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,AWX,AWX_single-trace,"Ceos Imbue Organizations With Feelings, Increasing Punishment Satisfaction And Apology Effectiveness",10.1016/j.jesp.2018.06.002,Journal of Experimental Social Psychology,2018,Tang and Gray (2018),already_represented_in_score_paper_join,False,This preregistration-indicated SCORE paper already has a deduplicated D/N row in strict Plot 3.,302 participants 302 participants,d = 0.29. d = 0.29.,p = .023 p = .023,reported_d,0.29,0.29,302.0,sample_text_digits,reported_d,True
score_text_avor_avor_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,AvOr,AvOr_single-trace,A Cognitive-Ecological Explanation Of Intergroup Biases,10.1177/0956797618756862,Psychological Science,2018,Alves et al. (2018),already_represented_in_score_paper_join,False,This preregistration-indicated SCORE paper already has a deduplicated D/N row in strict Plot 3.,210 participants 210 participants,ϕ = −.24 ϕ = −.24,p < .001 p < .001,phi,-0.24,0.4944513860581975,210.0,sample_text_digits,phi_to_d,True
score_text_ppyz_ppyz_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,PPyZ,PPyZ_single-trace,Treating Depression With Physical Activity In Adolescents And Young Adults: A Systematic Review And Meta-Analysis Of Randomised Controlled Trials,10.1017/s0033291717002653,Psychological Medicine,2018,Bailey et al. (2017),already_represented_in_score_paper_join,False,This preregistration-indicated SCORE paper already has a deduplicated D/N row in strict Plot 3.,n = 771 n = 771,"standardized mean difference (SMD) = −0.82 SMD = −0.82, SMD = −0.82, 95% CI = −1.02, to −0.61, p < 0.05, I^2 = 38%",p < 0.05 p < 0.05,reported_smd,0.82,0.82,771.0,sample_text_digits,reported_smd,True
score_text_pz1r_pz1r_single_trace,SCORE/COS preregistration-indicated extracted claim text,data/raw/corpus_candidates/score/extracted_claims.csv.gz,PZ1r,PZ1r_single-trace,The Question–Behavior Effect: Genuine Effect Or Spurious Phenomenon? A Systematic Review Of Randomized Controlled Trials With Meta-Analyses.,10.1037/hea0000104,Health Psychology,2015,Rodrigues et al. (2014),already_represented_in_score_paper_join,False,This preregistration-indicated SCORE paper already has a deduplicated D/N row in strict Plot 3.,"n = 37,452; k = 33 (k  33 | n  37,452",SMD = 0.09 SMD  0.09,,reported_smd,0.09,0.09,37452.0,sample_text_digits,reported_smd,True
