target	priority	reason	what_to_check
FReD / FORRT Replication Database export and R package	high	Highest-value psychology anchor and dedupe authority; described as pairing many original and replication findings.	Downloadable CSV/R package/export | source-family labels | original effect, replication effect, N, DOI, source family, success classification columns
SCORE public outputs and raw claim database	high	Cross-field high-N claim/repeatability source with multiple public outputs and likely separate replication/reproducibility/robustness components.	Claim sample and repeatability subset deposits | machine-readable outcome tables | links from claims to original papers, reports, effects, and sample sizes
I4R website, discussion papers, Replication Games, and Social Science Reproduction Platform	high	Likely largest current social-science reproduction/replication pipeline; may require scraping plus RePEc/EconStor metadata.	Structured reports endpoint | original article DOI links | replication package and robustness fields | direct replications versus same-data reproductions
Brazilian Reproducibility Initiative OSF, GitHub, and Dataverse/NLM record	high	Rare non-psychology multicenter biomedical replication corpus with public data traces and already integrated local outputs.	Master experiment table | lab IDs | validity flags | effect estimates and sample sizes | whether original identifiers are public/blinded
ReproSci Fly Immunity workspace	high	High-N biology claim-level conceptual replication database, possibly behind web/ORCID boundaries.	Downloadable article/claim tables | numeric/categorical reproducibility outcomes | original metadata and independent-source evidence
REPEAT Initiative outputs	high	Healthcare database reproducibility project with reported reproduction of many studies, but public structured data is not obvious.	Project outputs, supplements, ENCePP registration, data/code availability | original and reproduced measures | reproducibility-only versus robustness/conceptual replication
OpenReview MLRC and NeurIPS/ICLR reproducibility challenge venue groups	high	High-volume ML replication-report source best handled through venue/group API extraction.	Group IDs and invitations | original-paper metadata | comparable original versus reproduced metrics
ReScience C contents and BibTeX/data source	high	Static source exposes structured DOI/code/review metadata for computational replication articles.	Site repository machine-readable BibTeX/YAML/Markdown | mapping from Re titles to originals | data_doi, code_doi, review_url fields
NWO/Open Science NL Replication Studies project list	medium	Cross-field funder registry with completed/re-examined studies and fragmented outputs.	Project database filters/award IDs | linked datasets/publications/results | effect/sample information versus qualitative reports
Sports Science Replication Centre	medium	Named large-scale source family outside psychology.	Primary publication supplement and OSF files | target-study list | original effect/sample metadata | aggregate-only versus effect-level data
X-Phi Replicability Project OSF and Yale page	medium	Source-family page by original paper with likely OSF project links.	Master original-study and replication list | effect-size and N availability | whether Yale ratings are enough or paper-level extraction needed
CORE JDM, Data Replicada, CREP, and Hagen Cumulative Science Project	medium	FORRT-listed large-scale projects that may appear as OSF projects, blogs, registries, or FReD components.	Canonical project pages | multi-row inventories | overlap with FReD | extractable effects in individual projects
Industrial Bayer and Amgen preclinical validation corpora	low	Historically influential but likely non-public at row level.	Supplementary list of original papers | later reviews revealing targets | author/library routes for nonconfidential metadata
F1000Research Preclinical Reproducibility and Robustness Gateway	medium	Useful for individual paper worklists and maybe gateway source family, but not standardized.	Gateway article list and tags | target original DOI and result classification | export/API endpoint
GWAS Catalog and genetics replication-cohort conventions	low	Potentially high-N if discovery/replication cohort fields are separable, but risky for Figure 1 semantics.	API/spreadsheet discovery versus replication samples | effect estimates for both cohorts | within-paper validation versus independent replication
