source_file_id	source_id	source_byte_class	file_role	media_type_sniffed	byte_size	local_path	local_file_exists	parser_priority_rank	parser_route	recommended_parser_stack	level6_track	linked_source_result_count	linked_unverified_result_count	linked_evidence_levels	linked_source_result_ids	linked_result_labels	worklist_status	next_action
file_9adefd891c55	src_du2024	dataset_file	dataset	csv	116679598	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	True	2	table_or_corpus_file	pandas/readstat/openpyxl with exact row/cell provenance; verify whether this is corpus evidence or original evidence	corpus_or_tabular_value_verifier	89	1	5|6	sr_a2792b5f35b5|sr_9800e39769a1|sr_06354aed9477|sr_c8398f907345|sr_7a1e8bbfd877|sr_ceddf70c38b1|sr_147c4fd5d62f|sr_df1f5890afec|sr_17b0cfe42e6d|sr_fdf78d9e9f66|sr_72511a245c94|sr_9c4daeb580e8|sr_4871288bad74|sr_92b015f56f77|sr_2c54a948cfe2|sr_333ef50a595e|sr_c6091d70fcc5|sr_f31698e541dc|sr_6ec02a020539|sr_01b8db23d742	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months || Progression-Free Survival (PFS) || Overall Survival (OS) || Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition || Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	already_verified_for_linked_results	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_d74a833b954f	src_du2024	dataset_file	derived_table	csv	9921908	data/derived/corpus_candidates/candidate_d_n_papers.csv	True	2	table_or_corpus_file	pandas/readstat/openpyxl with exact row/cell provenance; verify whether this is corpus evidence or original evidence	corpus_or_tabular_value_verifier	89	1	5|6	sr_a2792b5f35b5|sr_9800e39769a1|sr_06354aed9477|sr_c8398f907345|sr_7a1e8bbfd877|sr_ceddf70c38b1|sr_147c4fd5d62f|sr_df1f5890afec|sr_17b0cfe42e6d|sr_fdf78d9e9f66|sr_72511a245c94|sr_9c4daeb580e8|sr_4871288bad74|sr_92b015f56f77|sr_2c54a948cfe2|sr_333ef50a595e|sr_c6091d70fcc5|sr_f31698e541dc|sr_6ec02a020539|sr_01b8db23d742	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months || Progression-Free Survival (PFS) || Overall Survival (OS) || Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition || Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	already_verified_for_linked_results	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_5f1f18ec23a6	src_du2024	dataset_file	dataset	csv	116679598	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	True	2	table_or_corpus_file	pandas/readstat/openpyxl with exact row/cell provenance; verify whether this is corpus evidence or original evidence	corpus_or_tabular_value_verifier	89	1	5|6	sr_a2792b5f35b5|sr_9800e39769a1|sr_06354aed9477|sr_c8398f907345|sr_7a1e8bbfd877|sr_ceddf70c38b1|sr_147c4fd5d62f|sr_df1f5890afec|sr_17b0cfe42e6d|sr_fdf78d9e9f66|sr_72511a245c94|sr_9c4daeb580e8|sr_4871288bad74|sr_92b015f56f77|sr_2c54a948cfe2|sr_333ef50a595e|sr_c6091d70fcc5|sr_f31698e541dc|sr_6ec02a020539|sr_01b8db23d742	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months || Progression-Free Survival (PFS) || Overall Survival (OS) || Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition || Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	already_verified_for_linked_results	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_20d19119e169	work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	registry_record_full	registry_record	json	16045	data/cache/provenance_level5/sample_300/sr_025e90b19395__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct02818036.json	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_025e90b19395	Bold Oxygen-level Dependent (BOLD) Activations in Prespecified ROIs	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_b3abd6d01395	work_title_bold_oxygen_level_dependent_bold_activations_in_prespecified_rois	registry_record_full	registry_record	html	94241	data/cache/provenance_level5/sample_300/sr_025e90b19395__clinicaltrials_html__clinicaltrials.gov_study_nct02818036.html	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_025e90b19395	Bold Oxygen-level Dependent (BOLD) Activations in Prespecified ROIs	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_f0644c66c130	work_title_complete_healing_of_the_persistent_epithelial_defect_ped_or_cornea	registry_record_full	registry_record	json	84072	data/cache/provenance_level5/sample_300/sr_041065fd13e4__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct02227147.json	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_041065fd13e4	Complete Healing of the Persistent Epithelial Defect (PED) or Corneal Ulcer Defined by Central Reviewer	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_59babf66355d	work_title_complete_healing_of_the_persistent_epithelial_defect_ped_or_cornea	registry_record_full	registry_record	html	94241	data/cache/provenance_level5/sample_300/sr_041065fd13e4__clinicaltrials_html__clinicaltrials.gov_study_nct02227147.html	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_041065fd13e4	Complete Healing of the Persistent Epithelial Defect (PED) or Corneal Ulcer Defined by Central Reviewer	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_58852b34a852	work_title_percent_change_from_baseline_in_low_density_lipoprotein_cholestero	registry_record_full	registry_record	json	74548	data/cache/provenance_level5/sample_300/sr_0c20617bc06f__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct01375764.json	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_0c20617bc06f	Percent Change From Baseline in Low-Density Lipoprotein Cholesterol (LDL-C) at Week 12	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_fb0fc123b19c	work_title_percent_change_from_baseline_in_low_density_lipoprotein_cholestero	registry_record_full	registry_record	html	94241	data/cache/provenance_level5/sample_300/sr_0c20617bc06f__clinicaltrials_html__clinicaltrials.gov_study_nct01375764.html	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_0c20617bc06f	Percent Change From Baseline in Low-Density Lipoprotein Cholesterol (LDL-C) at Week 12	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
file_l5_7d7eb548338d	work_title_incidence_of_gastroduodenal_ulcers	registry_record_full	registry_record	json	34059	data/cache/provenance_level5/sample_300/sr_1166ca428215__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00994461.json	True	1	registry_json	already handled by CT.gov verifier where du2024; JSONPath verifier for other registries	registry_value_verifier	1	0	6	sr_1166ca428215	Incidence of Gastroduodenal Ulcers	handled_by_ctgov_verifier	No action for linked pilot rows; CT.gov verifier already recomputed D/N.
