candidate_disposition_id	candidate_id	candidate_name	manifest_path	candidate_route	route_decision	final_row_status	final_row_reason	promoted_result_option_count	held_result_option_count	value_scanned_result_option_count	current_root_pair_ids	current_root_source_datasets	source_url_count	mirrored_source_count	mirror_errors	next_action
row_disposition_b703cdd0a48f5aba	api_candidate_e1d480fa16f7df49	unresolved original target -> Investigating Variation in Replicability	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	already_in_current_root_table	Current root table already contains a matching DOI/title/source-family row; no new row needed.	0	0	0	fig1_pair_22a4bfe5b457b4f6|fig1_pair_3c228006a3c4d3f6|fig1_pair_441b71be37e980c3|fig1_pair_5db7bea39f1909a0|fig1_pair_708e77c18ece2614|fig1_pair_7e929be3dc70bd91|fig1_pair_c937d9ffb68530f5|fig1_pair_e89e177a49170690|fig1_pair_ea811f90b8396f2d|fig1_pair_f717b40f12d4d366|fig1_pair_fa30b157dd6d5beb	FReD filtered pair table	0	0		
row_disposition_e33c23c82939d2af	api_candidate_9db26ff9b8058473	Effects on Social and Food Judgments -> Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	not_row_rejected_after_value_scan	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted	0	1	1			0	0		
row_disposition_da8ebeba2fa23e2e	api_candidate_2510abd248029365	unresolved original target -> Two Failures to Replicate High-Performance-Goal Priming Effects	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	already_in_current_root_table	Current root table already contains a matching DOI/title/source-family row; no new row needed.	0	0	0	fig1_pair_d296a67b1df1c9c1	Individual replication paper value scan	0	0		
row_disposition_f16e5d68bb983178	api_candidate_f3e7061d478e1e53	unresolved original target -> Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			0	0		
row_disposition_4313e266e9493621	api_candidate_eaa8a0f32f7aab10	unresolved original target -> Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	not_row_rejected_or_duplicate	Candidate matched prior batch closeout/dedupe seed; action=exclude_until_query_resolves_specific_original_target.	0	0	0			0	0		Candidate matched prior batch closeout/dedupe seed; action=exclude_until_query_resolves_specific_original_target.
row_disposition_0555183bb9cec4d5	api_candidate_5b170b3d5b414951	unresolved original target -> Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			0	0		
row_disposition_163255c777fa3c17	api_candidate_30df9bd015197ff3	unresolved original target -> Replication matters: Advances in Translational Research's commitment to Direct Replication Studies	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_screened_prior_batch	not_row_rejected_seed_or_non_pair	Search hit is a review/methodology/supplement/context item, not an individual original-vs-replication result pair.	0	0	0			0	0		
row_disposition_f693677985e9f7a5	api_candidate_00a1031c6c027f6a	Pickett and Baker (2014) -> The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_in_root_table	already_in_current_root_table	Current root table already contains a matching DOI/title/source-family row; no new row needed.	0	0	0	fig1_pair_61eaf2dbf15d5d0a		0	0		
row_disposition_267d46ff11dcdbaf	api_candidate_da16e390f5f2516a	Pickett and Baker (2014) -> The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	already_in_root_table	already_in_current_root_table	Current root table already contains a matching DOI/title/source-family row; no new row needed.	0	0	0	fig1_pair_61eaf2dbf15d5d0a		0	0		
row_disposition_a183c727bf7c9e40	api_candidate_c482b68e388efb4c	porcine circovirus type 1 -> Regeneration of the replication-associated proteins tandem direct repeat recognition nucleotide sequence at the origin of DNA replication of porcine circovirus type 1	steps/searches/figure1/individualrepsearch-api-batch002.json	coverage_only	route_to_coverage_only	not_row_rejected_after_value_scan	reject_irrelevant_or_keep_as_context_source	0	1	1			1	1		
