manual_task_id	source_result_id	canonical_result_id	represented_source_id	extraction_source_id	needed_artifact_type	needed_value_fields	priority_score	priority_reason	failed_route_summary	best_candidate_urls	acceptable_manual_routes	library_access_needed_yn	ill_needed_yn	author_contact_needed_yn	repository_access_request_needed_yn	assigned_to	status	opened_at	closed_at	human_outcome	created_source_file_id	created_support_ids	manual_notes
mtask_3129716c5b22	sr_bc78312ff9c4	cr_1fe4ef5e7c66	work_title_weight_loss_maintenance_weight_regain	src_ying2023pilot	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1089/acm.2006.6237	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_164b7d8b0e41	sr_5598a1474491	cr_852b6f1ad812	work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	src_tyner2026	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1016/j.jbusres.2016.03.030	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_caaf91952b9c	sr_362d2e514afe	cr_a45f030d149c	work_title_jap_79_5_691	src_bosco2020metabus	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037//0021-9010.79.5.691	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_d9be51bde060	sr_a182ef5b0da7	cr_87a6c6df06d0	work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	src_schaefer2019meaningfulness	original_source_object	original_source_object|prereg_artifact	95	Target is grounded but original source bytes/value text need acquisition.	current_evidence=external_source_assertion; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.3389/fpsyg.2016.01155	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_b8b86670a6f3	sr_f562e2645cdd	cr_a462f1b7d71c	work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/35013560/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_5fa62b79fff0	sr_8486dcbc1804	cr_b7e069c1d0ed	work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	src_tosh2024	original_source_object	original_source_object|replication_evidence	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1080/02699931.2017.1394817	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_9d01e2715b62	sr_3dcf8949d2f9	cr_d336b25a1b0a	work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	src_internalplot2replicationpairoriginalsbridge	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1371/journal.pone.0121537	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_b25d40aca2bf	sr_c8398f907345	cr_3af09bd82bca	work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT03527173 | https://clinicaltrials.gov/study/NCT03527173	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_1de1792cc064	sr_60360366c47c	cr_bd8e443259bd	work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	src_zhang2025clinifact	original_source_object	original_source_object	110	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT00511342 | https://clinicaltrials.gov/study/NCT00511342	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_ea29d838a7b0	sr_8d7eceba3893	cr_d849ef81bdf9	work_title_jap_82_1_89	src_bosco2020metabus	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/h0101894	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
