table_name	column_name	data_type	required_level	allowed_values	definition	coding_rules	example	qa_checks
source.tsv	source_id	string	required		Stable unique source ID.	Prefix by source type when useful; do not recycle IDs.	src_ctgov_kg	Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source.tsv	source_type	category	required	paper | registry_record | corpus | database | repository_or_package | pdf | report | website | raw_data_file | code_file | local_derived_table | other	Kind of source object.	Use the narrowest true object type.	database	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source.tsv	title	string	required		Human-readable title of the source.	Use source title, registry title, repository title, or file title.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source.tsv	citation_key	string	conditional		BibTeX key for this source.	Blank only when no real bibliographic source exists. Never use generated dot keys as represented-source citations.		Generated dot keys are internal only; real source citations must map to a bibliography entry.
source.tsv	citation_rendered	string	conditional		Rendered citation text copied from the bibliography process.	Keep even when a BibTeX split later changes.		Review for consistency with the field definition and coding rules.
source.tsv	bibtex_file	path	conditional		Repo-relative path to the BibTeX file containing citation_key.	Usually docs/references.bib or plot_dot_references.bib.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source.tsv	doi	string	recommended		Digital Object Identifier if available.	Normalize without https://doi.org/ when possible.		Review for consistency with the field definition and coding rules.
source.tsv	pmid	string	optional		PubMed ID if available.	Use numeric PMID only.		Review for consistency with the field definition and coding rules.
source.tsv	registry_id	string	conditional		Registry identifier such as NCT, AEARCTR, EGAP, RIDIE, OSF.	Required for registry records.		IDs should be stable; foreign keys should match the referenced table when applicable.
source.tsv	url	url	recommended		Stable landing URL.	Prefer DOI, registry, repository, or official landing page.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source.tsv	publication_year	integer	optional		Publication or release year.	Leave blank if unknown.		If nonblank, must parse as a numeric value.
source.tsv	source_status	category	required	primary | sidecar | support_only | blocked | deprecated	Role of this source in the dataset.	Use primary for sources that can support extraction rows.	primary	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source.tsv	notes	string	optional		Concise source-level notes.	Do not store result extraction details here; use source_result/extraction_event.		Review for consistency with the field definition and coding rules.
source_access.tsv	access_id	string	required		Stable unique access ID.	One source can have multiple access rows.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_access.tsv	source_id	string	required		Foreign key to source.tsv.	Must match source.source_id.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
