source_result_id	current_flat_level	resolution_status	source_family	result_label	known_title_or_target	known_url_or_doi	paperclip_objective	paperclip_search_query	paperclip_grep_terms	paperclip_success_condition	paperclip_example_commands	notes
sr_362d2e514afe	3	not_promoted_closed_or_blocked_no_oa_copy	metabus_open_bosco	JAP-79-5-691	Effects of procedural and distributive justice on reactions to a selection system.	https://doi.org/10.1037//0021-9010.79.5.691	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""Effects of procedural and distributive justice on reactions to a selection system."" OR ""10.1037//0021-9010.79.5.691"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""Effects of procedural and distributive justice on reactions to a selection system."" OR ""10.1037//0021-9010.79.5.691""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_307943984453	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	schaefer_schwarz_2019_without_prereg	schaefer_2019_np_SOC.079		https://doi.org/10.3765/plsa.v4i1.4501	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_SOC.079"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_SOC.079""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_e89d75ebfd8e	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	schaefer_schwarz_2019_without_prereg	schaefer_2019_np_CLI.064		https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_CLI.064"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_CLI.064""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_b2348504f69b	2	not_promoted_corpus_lacks_paper_crosswalk	linden_2024_random_effects	linden_2018_1	Linden Study 2 random-paper row: Year 2018 Paper 1		Find a public supplement/crosswalk that maps Linden Study 2 Year/Paper index to article title/DOI, or prove the public package omits it.	"""Publication bias in psychology: A closer look at the correlation between sample size and effect size"" ""linden_2018_1"""	"""Year"" ""Paper"" ""d_random"" ""N_random""; ""160 papers""; ""random sample""; ""Web of Science"""	A table/file/source object naming the sampled paper behind the Year/Paper index; otherwise keep level 2.	"paperclip search '""Publication bias in psychology: A closer look at the correlation between sample size and effect size"" ""linden_2018_1""' -n 20
paperclip grep '""Year"" ""Paper"" ""d_random"" ""N_random""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Read OSF SPSS file directly: Year=2018 Paper=1, d_random=0.42, N_random=350. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.
sr_21fe810427f5	3	not_promoted_closed_or_blocked_no_oa_copy	metaBUS open Bosco subset	plot2::JAP-77-4-453	An interview approach to work sample criterion measurement.	https://doi.org/10.1037//0021-9010.77.4.453	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""An interview approach to work sample criterion measurement."" OR ""10.1037//0021-9010.77.4.453"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""An interview approach to work sample criterion measurement."" OR ""10.1037//0021-9010.77.4.453""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_1c71871780ff	3	not_promoted_corrected_issue_to_article_doi_but_blocked	metaBUS open Bosco subset	plot2::PP-63-2-439	DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS	https://doi.org/10.1111/j.1744-6570.2010.01177.x	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS"" OR ""10.1111/j.1744-6570.2010.01177.x"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS"" OR ""10.1111/j.1744-6570.2010.01177.x""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Original lead was Wiley issue DOI 10.1111/peps.2010.63.issue-2. Crossref bibliographic search by Personnel Psychology 63(2):439 found exact article DOI 10.1111/j.1744-6570.2010.01177.x. Wiley landing/TDM routes blocked or returned 400; OpenAlex has an aggregator abstract but no OA full text, so no level promotion.
sr_3e576eaeee38	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_MUL.077		https://doi.org/10.5860/choice.37sup-077	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_MUL.077"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_MUL.077""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_5adb462eb079	3	not_promoted_closed_or_blocked_no_oa_copy	metabus_open_bosco	JAP-79-6-959	Developing and testing a taxonomy of lateness behavior.	https://doi.org/10.1037/0021-9010.79.6.959	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""Developing and testing a taxonomy of lateness behavior."" OR ""10.1037/0021-9010.79.6.959"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""Developing and testing a taxonomy of lateness behavior."" OR ""10.1037/0021-9010.79.6.959""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_644891607462	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_CLI.046		https://doi.org/10.1088/1126-6708/2001/11/046	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_CLI.046"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_CLI.046""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_1eb547defd9c	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Schäfer/Schwarz preregistered psychology articles	plot2::schaefer_2019_preg_25		https://doi.org/10.1080/13540602.2018.1532407	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_preg_25"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_preg_25""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
