display_family_label,display_label,canonical_source_label,source_dataset,project,audit_status,plot_inclusion_status,citation_key,normalization_issue,recommended_next_step
Angrist learning-curve replication corpus,Angrist learning-curve replication corpus,Angrist learning-curve replication corpus,,Angrist learning-curve replication corpus,staged_only,not_included,angristLearningCurve2023Openicpsr,lead_handle_normalized,
Appendix D supplemental,Appendix D supplemental,Appendix D supplemental,Appendix D supplemental,Multi-project,catalog_integrated,included,douglass2026appendixD,artifact_label_retained_in_full_audit,
Border 2019 candidate gene replication,Border 2019 candidate gene replication,Border 2019 candidate gene replication,,Border 2019 candidate gene replication,staged_only,not_included,border2019,lead_handle_normalized,consider_native_metric_lane
Clinical highly cited replications,Clinical published replication workbook,Clinical published replication workbook,Clinical published replication workbook,Clinical highly cited replications,integrated_live,included,ioannidis2005contradicted,aliased_to_source_family; artifact_label_retained_in_full_audit,
Clinical phase II to phase III pairs,Clinical phase II to phase III pairs — Kerschbaumer 2020 rheumatology phase II/III,Kerschbaumer 2020 rheumatology phase II/III,Kerschbaumer 2020 rheumatology phase II/III,Clinical phase II to phase III pairs,integrated_live,included,internalKerschbaumerPhaseIiIiiRheumatology,aliased_to_source_family,
Communication privacy replications,Communication privacy replication corpus,Communication privacy replication corpus,Communication privacy SEM paths,Communication privacy replication corpus,integrated_live,included,masur2025privacy,aliased_to_source_family,
Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus — Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus,integrated_live,included,coppock2019generalizability,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus — Coppock 2019 generalizability corpus,Coppock 2019 generalizability corpus,,Coppock 2019 generalizability corpus,staged_only,not_included,coppock2019generalizability,aliased_to_source_family; lead_handle_normalized; multiple_audit_rows_roll_up_to_family,
Doyen et al. 2012 article (manual),Doyen et al. 2012 article (manual),Doyen et al. 2012 article (manual),Doyen et al. 2012 article (manual),Other direct replications,integrated_live,included,doyen2012priming,artifact_label_retained_in_full_audit,
EEF regrants systematic replication candidates,EEF regrants systematic replication candidates,EEF regrants systematic replication candidates,,EEF regrants systematic replication candidates,staged_only,not_included,eefProjectsIndex,lead_handle_normalized,
EGAP Metaketa I,EGAP Metaketa I,EGAP Metaketa I,,EGAP Metaketa I,staged_only,not_included,metaketaIRepo,lead_handle_normalized,consider_native_metric_lane
EGAP Metaketa III,EGAP Metaketa III,EGAP Metaketa III,,EGAP Metaketa III,staged_only,not_included,metaketaIIIProject,lead_handle_normalized,
EGAP Metaketa IV,EGAP Metaketa IV,EGAP Metaketa IV,,EGAP Metaketa IV,staged_only,not_included,metaketaIVProject,lead_handle_normalized,
EQIPD Arroyo-Araujo 2022,EQIPD stagewise open-field lab contrasts,EQIPD stagewise open-field lab contrasts,EQIPD stagewise open-field lab contrasts,EQIPD Arroyo-Araujo 2022,integrated_live,included,arroyoaraujo2022eqipd,aliased_to_source_family,
ERN Pe RRR OpenNeuro,ERN Pe RRR OpenNeuro,ERN Pe RRR OpenNeuro,,ERN Pe RRR OpenNeuro,staged_only,not_included,ernPeRrrOpenNeuro,lead_handle_normalized,consider_native_metric_lane
Eerland 2016 Hart intention-attribution replications,Eerland 2016 Intention_attribution.csv,Eerland 2016 Intention_attribution.csv,Eerland 2016 Intention_attribution.csv,Registered Replication Reports,integrated_live,included,eerland2016hart,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Eerland 2016 Hart intention-attribution replications,Eerland 2016 Intentionality.csv,Eerland 2016 Intentionality.csv,Eerland 2016 Intentionality.csv,Registered Replication Reports,integrated_live,included,eerland2016hart,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Eerland 2016 Hart intention-attribution replications,Eerland 2016 imagery.csv,Eerland 2016 imagery.csv,Eerland 2016 imagery.csv,Registered Replication Reports,integrated_live,included,eerland2016hart,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Experimental Economics Replication Project,EERP 2016 supplement (manual),EERP 2016 supplement (manual),EERP 2016 supplement (manual),EERP,integrated_live,included,camerer2016,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Experimental Economics Replication Project,EERP effectdata.py,EERP effectdata.py,EERP effectdata.py,EERP,catalog_not_integrated,not_included,camerer2016,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Experimental Economics Replication Project,EERP marketdata.zip,EERP marketdata.zip,EERP marketdata.zip,EERP,catalog_not_integrated,not_included,camerer2016,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Experimental Economics Replication Project,Experimental Economics Replication Project,ReplicationSuccess RProjects.rda,ReplicationSuccess RProjects.rda,EERP / EPRP / RPP / SSRP,catalog_not_integrated,not_included,camerer2016,artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Experimental Economics Replication Project,Experimental Economics Replication Project,ReplicationSuccess RProjects.rda,ReplicationSuccess RProjects.rda,EERP,integrated_live,included,camerer2016,artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
FReD,FReD CORE,FReD filtered pair table,FReD filtered pair table,FReD CORE,integrated_live,included,tosh2024,aliased_to_source_family,
Galak et al. 2012 psi meta-analysis (manual),Galak et al. 2012 psi meta-analysis (manual),Galak et al. 2012 psi meta-analysis (manual),Galak et al. 2012 psi meta-analysis (manual),Other direct replications,integrated_live,included,galak2012psi,artifact_label_retained_in_full_audit,
I4R public workbook,I4R public workbook,I4R public workbook,I4R public workbook,Multi-project,catalog_not_integrated,not_included,i4rPublicWorkbook,artifact_label_retained_in_full_audit,
IBL reproducible electrophysiology,IBL reproducible electrophysiology,IBL reproducible electrophysiology,,IBL reproducible electrophysiology,staged_only,not_included,iblReproEphysAws,lead_handle_normalized,
IES systematic replication awards,IES systematic replication awards,IES systematic replication awards,,IES systematic replication awards,staged_only,not_included,iesSystematicReplicationAwards,lead_handle_normalized,
Independent Replication Initiative,Pipeline supplement + packet data,Pipeline supplement + packet data,Pipeline supplement + packet data,Independent Replication Initiative,integrated_live,included,schweinsberg2016pipeline,aliased_to_source_family; artifact_label_retained_in_full_audit,
Jaljuli Kafkafi multi lab rodent replication,Jaljuli Kafkafi multi lab rodent replication,Jaljuli Kafkafi multi lab rodent replication,,Jaljuli Kafkafi multi lab rodent replication,staged_only,not_included,jaljuliKafkafi2023MousePhenome,lead_handle_normalized,
LOOPR,LOOPR,LOOPR coding workbook,LOOPR coding workbook,LOOPR,integrated_live,included,soto2019loopr,artifact_label_retained_in_full_audit,
Manual paper-grounded pairs,Manual paper-grounded pairs,Manual paper-grounded pairs,Manual paper-grounded pairs,Multi-project,catalog_integrated,support_only,douglass2026manualPairs,artifact_label_retained_in_full_audit,
Many Labs 1,Altmejd harmonized Many Labs 1,Altmejd harmonized Many Labs 1,Altmejd harmonized Many Labs 1,Many Labs 1,integrated_live,included,klein2014manylabs1,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Many Labs 1,ML1 summary workbook,ML1 summary workbook,ML1 summary workbook,Many Labs 1,catalog_not_integrated,not_included,klein2014manylabs1,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Many Labs 3,Altmejd harmonized Many Labs 3,Altmejd harmonized Many Labs 3,Altmejd harmonized Many Labs 3,Many Labs 3,integrated_live,included,ebersole2016manylabs3,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Many Labs 3,ML3 manuscript tables bundle,ML3 manuscript tables bundle,ML3 manuscript tables bundle,Many Labs 3,catalog_not_integrated,not_included,ebersole2016manylabs3,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Many Labs 4,ML4 public site results,ML4 public site results,ML4 public site results,Many Labs 4,catalog_not_integrated,not_included,klein2022manylabs4,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Many Labs 4,Many Labs 4 local meta-analysis (manual),Many Labs 4 local meta-analysis (manual),Many Labs 4 local meta-analysis (manual),Many Labs 4,integrated_live,included,klein2022manylabs4,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
ManyClasses 2,ManyClasses 2,ManyClasses 2,,ManyClasses 2,staged_only,not_included,manyClasses2Osf,lead_handle_normalized,
Marcus Four Lab Replication Hcmv7,Marcus Four Lab Replication Hcmv7,Marcus Four Lab Replication Hcmv7,,,raw_artifact_only,not_included,internalMarcusFourLabReplicationLead,lead_handle_normalized,stage_downloaded_payload
Marek 2022 BWAS,Marek 2022 BWAS paper (manual),Marek 2022 BWAS paper (manual),Marek 2022 BWAS paper (manual),Marek 2022 BWAS,integrated_live,included,marek2022,aliased_to_source_family; artifact_label_retained_in_full_audit,
Media priming direct replication,Media priming direct replication,Media priming direct replication,,Media priming direct replication,staged_only,not_included,mediaPriming2017Dataverse,lead_handle_normalized,resolve_access_block
Mullinix Leeper Druckman Freese 2015,Mullinix Leeper Druckman Freese 2015,Mullinix Leeper Druckman Freese 2015,,Mullinix Leeper Druckman Freese 2015,staged_only,not_included,mullinix2015Dataverse,lead_handle_normalized,consider_native_metric_lane
Musicianship EEG multi site replication,Musicianship EEG multi site replication,Musicianship EEG multi site replication,,Musicianship EEG multi site replication,staged_only,not_included,musicianshipEegDataverse,lead_handle_normalized,
Nieuwland 2018 DeLong replication,Nieuwland 2018 DeLong replication,Nieuwland 2018 DeLong replication,,Nieuwland 2018 DeLong replication,staged_only,not_included,nieuwland2018delong,lead_handle_normalized,
PooledMarketR PM_data.Rdata,PooledMarketR PM_data.Rdata,PooledMarketR PM_data.Rdata,PooledMarketR PM_data.Rdata,Multi-project,catalog_not_integrated,not_included,pooledMarketRPackageData,artifact_label_retained_in_full_audit,
RRR Alogna 2014,Alogna 2014 table 1 site counts,Alogna 2014 table 1 site counts,Alogna 2014 table 1 site counts,Registered Replication Reports,integrated_live,included,alogna2014schooler,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
RRR Alogna 2014,RRR Alogna 2014 (manual),RRR Alogna 2014 (manual),RRR Alogna 2014 (manual),Registered Replication Reports,integrated_live,included,alogna2014schooler,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
RRR Bouwmeester 2017,RRR Bouwmeester 2017,RRR Bouwmeester 2017,RRR Bouwmeester 2017 (manual),RRR Bouwmeester 2017,integrated_live,included,bouwmeester2017rand,artifact_label_retained_in_full_audit,
RRR Hagger 2016,Hagger 2016 RTV.csv,Hagger 2016 RTV.csv,Hagger 2016 RTV.csv,Registered Replication Reports,integrated_live,included,hagger2016egodepletion,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
RRR Hagger 2016,RRR Hagger 2016 (manual),RRR Hagger 2016 (manual),RRR Hagger 2016 (manual),Registered Replication Reports,integrated_live,included,hagger2016egodepletion,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
RRR McCarthy 2018,RRR McCarthy 2018,RRR McCarthy 2018,RRR McCarthy 2018 site csvs,RRR McCarthy 2018,integrated_live,included,mccarthy2018srull,multiple_audit_rows_roll_up_to_family,
RRR McCarthy 2018,Srull-Wyer RRR paper (manual),Srull-Wyer RRR paper (manual),Srull-Wyer RRR paper (manual),Registered Replication Reports,integrated_live,included,mccarthy2018srull,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Ranehill 2015 power posing (manual),Ranehill 2015 power posing (manual),Ranehill 2015 power posing (manual),Ranehill 2015 power posing (manual),Other direct replications,integrated_live,included,ranehill2015powerposing,artifact_label_retained_in_full_audit,
Reproducibility Project: Psychology,RPP converted,RPP converted,RPP converted,OSC 2015,catalog_not_integrated,not_included,collaboration2015,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Reproducibility Project: Psychology,RPP jtLeek mirror,RPP jtLeek mirror,RPP jtLeek mirror,OSC 2015,catalog_not_integrated,not_included,collaboration2015,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Reproducibility Project: Psychology,RPP project record alias (manual),RPP project record alias (manual),RPP project record alias (manual),OSC 2015,integrated_live,included,collaboration2015,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Reproducibility Project: Psychology,Reproducibility Project: Psychology,RPP canonical OSF csv,RPP canonical OSF csv,OSC 2015,integrated_live,included,collaboration2015,multiple_audit_rows_roll_up_to_family,
Self control neuroimaging replication,Self control neuroimaging replication,Self control neuroimaging replication,,Self control neuroimaging replication,staged_only,not_included,selfControlFmriOsf,lead_handle_normalized,locate_machine_readable_payload
Social Sciences Replication Project,SSRP 2018 supplement (manual),SSRP 2018 supplement (manual),SSRP 2018 supplement (manual),SSRP,integrated_live,included,camerer2018,aliased_to_source_family; artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Social Sciences Replication Project,SSRP D3,SSRP D3,SSRP D3,SSRP,catalog_not_integrated,not_included,camerer2018,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Social Sciences Replication Project,SSRP D6 beliefs,SSRP D6 beliefs,SSRP D6 beliefs,SSRP,catalog_not_integrated,not_included,camerer2018,aliased_to_source_family; multiple_audit_rows_roll_up_to_family,
Social Sciences Replication Project,Social Sciences Replication Project,ReplicationSuccess SSRP alias (manual),ReplicationSuccess SSRP alias (manual),OSC 2015,integrated_live,included,camerer2018,artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
Social Sciences Replication Project,Social Sciences Replication Project,ReplicationSuccess SSRP.rda,ReplicationSuccess SSRP.rda,SSRP,integrated_live,included,camerer2018,artifact_label_retained_in_full_audit; multiple_audit_rows_roll_up_to_family,
