rule_name	promote_if	reject_or_route_if	why
reusable_source_object_promote_gate	Explicit downloadable dataset, database, registry, workbook, table, code/data repository, source-family page, file inventory, package data object, or challenge/venue group with multiple records.	Only replication wording in title/abstract without files, rows, or source-family structure; methods/commentary/news without reusable source object; one replication paper without multi-row artifact.	Prevents generic replication-word pollution while preserving reusable source objects.
ordinary_replication_package_demote_gate	Package is for a replication/follow-up paper that independently evaluates an original result, or contains multiple original-replication pairs/source-family inventory.	Title patterns like Replication Data for, Replication Files for, Replication package for, or Data and code for where associated article is the original empirical paper.	Many disciplines use replication package to mean original-paper reproducibility materials.
original_replication_pair_gate	Record contains original DOI/PMID/title/authors plus replication/follow-up DOI/report/target identifier, or fields such as original_effect, replication_effect, original_n, replication_n, target_study, replicated_finding, claim_id, outcome_id.	Only robustness, validation, or reanalysis without a target original result; one-dataset alternative analyses unless Figure 1 explicitly allows robustness-only pairs.	Figure 1 requires paired original and larger-N replication/follow-up evidence.
effect_n_extractability_gate	Lead provides effect sizes, test statistics, p-values, confidence intervals, sample sizes, site/lab counts, raw data sufficient to compute them, or codebook/schema naming effect and N columns.	Only binary success/failure labels and no effect/sample evidence unless high-value corpus candidate; qualitative comments only.	Flags which discovered source objects can actually support extraction.
domain_false_positive_reject_gate	Replication refers to study/result/claim/finding replication or computational reproduction.	Database/storage/data-system replication; DNA/RNA/viral/cell replication; manufacturing or duplicate-copying uses unless scholarly result replication is explicit.	Eliminates high-volume lexical false positives.
source_family_vs_individual_paper_split	Landing page is a named programme, consortium, challenge, registry, database, gateway, package, curated list, or enumerates multiple targets/reports/datasets.	Single article with one original and one replication result routes to individual-paper worklist; review/editorial without structured table routes context.	Keeps source-family table focused on reusable discovery objects.
challenge_venue_normalization_gate	OpenReview/ReScience/challenge group has multiple reports, stable group/issue/venue identifier, original-paper links, code, metrics, or comparison tables.	Individual challenge report without reusable rows routes individual-paper; challenge announcement without accepted reports/data routes context.	Turns MLRC/ReScience into small source-family objects rather than thousands of paper hits.
derived_dataset_duplicate_gate	Derived dataset adds crosswalks, normalized fields, or links back to original projects and source studies.	Derived dataset merely rehosts canonical RPP/EERP/SSRP/Many Labs records with no new fields; mark duplicate and retain alias.	Preserves useful aggregators without double-counting effects.
funder_registry_lead_gate	Funder/project registry links to completed outputs, datasets, reports, or source-family pages.	Award/grant only with no outputs routes manual investigation; prospective incomplete project routes context.	Funder databases are discovery surfaces, not provenance endpoints.
repository_collection_gate	Dataverse/Zenodo/Figshare/OSF collection is organized around a replication project, source family, challenge, or special section with multiple related datasets and project-level description.	Generic journal replication-data collection where each dataset is original-paper reproducibility material; individual dataset with no independent follow-up evidence.	Avoids treating journal data archives as false Figure 1 corpora.
