source_label,source_corpus,source_key,known_paper_units,known_test_rows,rows_with_direct_journal_provenance,rows_with_paper_grouping,rows_with_paper_level_dn,rows_with_explicit_main_selector,rows_with_implemented_paper_collapse,rows_currently_plotted,plot_inclusion_status,status_label,why_detail,display_label,citation_key
DARPA SCORE / COS claims,score_cos_claims,score_cos_claims,3193,3684,3193,3193,3193,0,3193,3193,included,parsed with caveats,"Parser yields 2,893 free-text claim rows and 791 structured focal-test rows with D/N; representative/focal claims from journal papers, but not guaranteed declared headline treatment result.",DARPA SCORE / COS claims,tyner2026
metaBUS open Bosco subset,metabus_open_bosco,metabus_open_bosco,1999,169135,1999,1999,1999,0,1999,1999,included,not treatment effects,Peer-reviewed JAP/Personnel Psychology correlation rows; useful D/N article corpus but not treatment/main-claim effects.,metaBUS open Bosco subset,bosco2020metabus
FORRT FReD,forrt_fred,forrt_fred,796,1969,796,796,796,796,796,796,included,parsed with caveats,"Parser yields 1,969 original-claim rows across 762 DOI units; rows are replication targets, usually focal claims, but not broad journal sampling and not always treatments.",FORRT FReD,tosh2024
Schäfer/Schwarz psychology articles (without preregistration),schaefer_schwarz_2019_without_prereg,schaefer_schwarz_2019_without_prereg,682,682,682,682,682,682,682,682,included,key-effect psychology sample,Random psychology-paper sample with coded key-question effects from non-preregistered articles; public rows include D/N but not DOI/title metadata.,Schäfer/Schwarz psychology articles (without preregistration),schaefer2019meaningfulness
Button/Nord neuroscience,button_nord_neuroscience,button_nord_neuroscience,649,688,0,649,649,0,649,649,included,meta-analysis-mediated,Published-study rows from meta-analyses; no direct journal-paper main-result flag.,Button/Nord neuroscience,button2013
Motyl social/personality critical tests,motyl_2017_critical_tests,motyl_2017_critical_tests,540,1305,540,540,540,540,540,540,included,critical hypothesized-test sample,Sampled social/personality journal articles with coded critical hypothesized tests; useful focal-result corpus but some papers contribute multiple study-level tests.,Motyl social/personality critical tests,motyl2017state
Kühberger psychology main results,kuhberger_2014_main_results,kuhberger_2014_main_results,472,472,472,472,472,472,472,472,included,clean psychology main-result sample,Random-sample psychology article corpus with one coded main-question result per paper and D/N recovered from the public SAV.,Kühberger psychology main results,kuhberger2014publicationBias
replication-pair original-side bridge,replication_pair_originals_bridge,replication_pair_originals_bridge,431,635,0,431,431,431,431,431,included,derived bridge from Plot 1 originals,Checks every row already plotted in the replication-pair figure and adds original-side D/N estimates only when the original DOI/title is not already represented in Plot 2; source is replication-target originals rather than broad journal sampling.,replication-pair original-side bridge,
CliniFact published primary pairs,clinifact_published_primary_pairs,clinifact_published_primary_pairs,339,339,339,339,339,339,339,339,included,registry-linked published primary-outcome proxy,Published trial reports linked to ClinicalTrials.gov primary outcomes through the local CliniFact bridge; conservative proxy for journal-side primary-result D/N.,CliniFact published primary pairs,zhang2025clinifact
Olsson/Sundell social interventions,olsson_sundell_2023_social_interventions,olsson_sundell_2023_social_interventions,250,250,250,250,250,250,250,250,included,primary social-intervention outcomes,Published Swedish social-intervention effectiveness articles; primary-outcome flags are used for plotted rows and nonprimary rows remain comparator only.,Olsson/Sundell social interventions,olsson2023publicationBias
