source_result_id	flat_level	flat_label	blocker_category	recommended_next_action	plot_name	source_family	source_directness	result_label	grounding_status	primary_real_world_url_basis	primary_real_world_url	source_bib_real_world_url	source_bib_title	crossref_resolution_status	doi_list	pmid_list	url_list	best_status	source_byte_classes	final_urls	manual_next_step
sr_362d2e514afe	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-79-5-691	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.79.5.691	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.79.5.691 | https://api.datacite.org/dois/10.1037//0021-9010.79.5.691 | https://doi.apa.org/doi/10.1037/0021-9010.79.5.691 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.79.5.691%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.79.5.691 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.79.5.691?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_a182ef5b0da7	3	target_independently_resolved	resolved_but_no_abstract_or_landing_captured	add host-specific abstract/landing parser or manual check	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	2016 preregistered key-question effect (schaefer_2019_preg_81)	represented_work_identifier_in_source_row	doi	https://doi.org/10.3389/fpsyg.2016.01155	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	not_needed_or_not_attempted	10.3389/fpsyg.2016.01155		https://doi.org/10.3389/fpsyg.2016.01155				
sr_307943984453	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_SOC.079	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.3765/plsa.v4i1.4501	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_e89d75ebfd8e	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_CLI.064	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_b2348504f69b	2	corpus_assertion_with_citation	no_identifier_or_url_in_corpus_row	return to source corpus row and extract DOI/title/authors/year; otherwise mark as corpus-only	Plot 4	linden_2024_random_effects	candidate_child_numeric_row	linden_2018_1	unresolved			https://doi.org/10.1371/journal.pone.0297075	Publication Bias in Psychology: A Closer Look at the Correlation between Sample Size and Effect Size	not_needed_or_not_attempted							
sr_05a96a248d34	3	target_independently_resolved	resolved_but_no_abstract_or_landing_captured	add host-specific abstract/landing parser or manual check	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	2016 preregistered key-question effect (schaefer_2019_preg_60)	represented_work_identifier_in_source_row	doi	https://doi.org/10.3389/fpsyg.2016.01155	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	not_needed_or_not_attempted	10.3389/fpsyg.2016.01155		https://doi.org/10.3389/fpsyg.2016.01155				
sr_21fe810427f5	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::JAP-77-4-453	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.77.4.453	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.77.4.453 | https://api.datacite.org/dois/10.1037//0021-9010.77.4.453 | https://doi.apa.org/doi/10.1037/0021-9010.77.4.453 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.77.4.453%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.77.4.453 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.77.4.453?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_1c71871780ff	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::PP-63-2-439	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1111/peps.2010.63.issue-2	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1111/peps.2010.63.issue-2 | http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fpeps.2010.63.issue-2 | https://api.datacite.org/dois/10.1111/peps.2010.63.issue-2 | https://onlinelibrary.wiley.com/toc/17446570/63/2 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1111/peps.2010.63.issue-2%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1111/peps.2010.63.issue-2 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/peps.2010.63.issue-2?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_3e576eaeee38	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_MUL.077	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.5860/choice.37sup-077	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_5adb462eb079	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-79-6-959	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037/0021-9010.79.6.959	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | blocked_http_status | request_failed	metadata_record | blocked_no_source_object | not_retrieved	https://api.crossref.org/works/10.1037/0021-9010.79.6.959 | http://psycnet.apa.org/journals/apl/79/6/959.pdf | https://api.datacite.org/dois/10.1037/0021-9010.79.6.959 | https://doi.apa.org/doi/10.1037/0021-9010.79.6.959 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037/0021-9010.79.6.959%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037/0021-9010.79.6.959 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037/0021-9010.79.6.959?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
