source_family,year,study_slug,title,study_url,row_status,prereg_evidence,d_n_status,notes
TESS peer-reviewed survey-experiment archive,2024,barabas1748,Replicating “Are Survey Experiments Externally Valid?”,https://tessexperiments.org/study/barabas1748,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,behrmanM32,Measuring Fertility Preferences,https://tessexperiments.org/study/behrmanM32,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,bowers1607,Self-Affirmation Intervention for Weight Bias Internalization,https://tessexperiments.org/study/bowers1607,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,earecksonM38,How does job gender-type influence perceptions of occupational status?,https://tessexperiments.org/study/earecksonM38,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,elliottM40,"Public Support for Remote Work Arrangements: An Experimental Study of the Effects of Occupational Status, Mental Health Status, and Gender",https://tessexperiments.org/study/elliottM40,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,glazier1698,“But aren’t they too young to know they are transgender?”: Perceptions of gender development and the rise of anti-transgender legislation,https://tessexperiments.org/study/glazier1698,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,golebiowska1700,Membership in a stigmatized religious minority and political support,https://tessexperiments.org/study/golebiowska1700,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,salvador1604,"Emotional Interdependence in the United States: A Comparison of Latinx, East Asian, African, and European Americans",https://tessexperiments.org/study/salvador1604,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2024,simas1701,The Conditional Value of Legislators' Effectiveness,https://tessexperiments.org/study/simas1701,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
TESS peer-reviewed survey-experiment archive,2023,behrman1586,"Childbearing Preferences in the Face of Work, Family, and Financial Constraints",https://tessexperiments.org/study/behrman1586,candidate_queue_only,TESS peer-reviewed proposal/study page predates fielding at the platform level; verify per study before promotion,missing final paper-level D/N until linked publication or Roper/data extraction,Do not plot from this queue until the linked final publication/result and analytic N are extracted.
