corpus_database_id	merge_key	merge_basis	name	record_kind	inventory_status	source_family	domain_or_field	description	why_relevant	plot_universe_ids	current_scope_roles	figure1_replication_relevance	figure2_published_relevance	figure3_prereg_relevance	discovery_source	discovery_source_path	source_key	citation_key	landing_url	raw_url	host	access_class	access_status	local_raw_paths	backing_files	staged_paths	promoted_paths	expected_rows	known_rows	known_pair_rows	known_paper_units	known_test_rows	result_fields_available	has_d_or_convertible_effect	has_n	has_replication_pair_mapping	has_prereg_or_planning_info	has_publication_links	parser_family	parser_status	blocker_codes	next_action	notes	last_seen
biblio_search_europepmc_73a746f8d5ae	search_title:a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies	search_title	A large-scale in silico replication of ecological and evolutionary studies.	candidate_corpus_or_database	catalog_only_context_lead	figure1_bibliographic_search	unknown	Despite the growing concerns about the replicability of ecological and evolutionary studies, no results exist from a field-wide replication project. We conduct a large-scale in silico replication project, leveraging cutting-edge statistical methodologies. Replicability is 30%-40% for studies with marginal statistical significance in the absence of selective reporting, whereas the replicability of studies presenting 'strong' evidence against the null hypothesis H<sub>0</sub> is >70%. The former requires a sevenfold larger sample size to reach the latter's replicability. We call for a change in planning, conducting and publishing research towards a transparent, credible and replicable ecology and evolution.	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=15; reasons=strong_phrase:replication project | pair_term:sample size | pair_term:larger sample | replication_word | effect_or_sample_size_phrase | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_bibliographic_europepmc_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	PMC11618063 | doi:10.1038/s41559-024-02530-5		https://doi.org/10.1038/s41559-024-02530-5		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	yes	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_context_or_manual_followup_not_current_figure1_pair_parser	provider=europepmc | external_id=PMC11618063 | doi=10.1038/s41559-024-02530-5 | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=medium | reason=The Nature Ecology and Evolution article is a large in-silico replicability analysis rather than a direct independent original-versus-replication corpus. It may be useful as cross-field context or a manual claim-replication target, but should not advance as a Figure 1 pair source without a stricter mapping review.	2026-05-02
biblio_search_crossref_480bdd504b25	search_title:a_large_scale_replication_of_scenario_based_experiments_in_psychology_and_management_using_large_language_models	search_title	A large-scale replication of scenario-based experiments in psychology and management using large language models	candidate_corpus_or_database	needs_source_inventory	figure1_bibliographic_search	unknown		"Matched Figure 1 bibliographic search query '""large-scale replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=9; reasons=strong_phrase:large-scale replication | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | figure1_candidate	yes	unknown	unknown	figure1_bibliographic_crossref_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	10.1038/s43588-025-00840-7 | doi:10.1038/s43588-025-00840-7		https://doi.org/10.1038/s43588-025-00840-7		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	inventory_article_data_availability_supplements_and_repository_links_for_multi_row_original_replication_mapping	provider=crossref | external_id=10.1038/s43588-025-00840-7 | doi=10.1038/s43588-025-00840-7 | review_cue=figure1_search_leads | decision=keep_in_corpora_and_databases | confidence=medium | reason=The Nature Computational Science article title identifies a large-scale replication of scenario-based experiments. It is plausibly a multi-study source-family candidate, but source inventory must confirm whether article data or supplements expose original/replication mapping and usable result fields.	2026-05-02
repo_search_osf_de5a21118204	search_title:a_multi_site_registered_replication_report_of_olson_amp_fazio_2001_implicit_attitude_formation_through_classical_conditioning	search_title	"A multi-site Registered Replication Report of Olson &amp; Fazio (2001) ""Implicit Attitude Formation Through Classical Conditioning"""	candidate_corpus_or_database	needs_source_inventory	figure1_repository_search	unknown	"NB nomenclature has changed over time: despite title of original article, ""implicit"" here refers to self-reported attitudes that were acquired in the absence of awareness/memory of the CS-US pairings (rather than classical conditioning procedures giving rise to implicit attitudes)"	"Matched Figure 1 repository search query '""registered replication report"" data'; lead_classification=corpus_database_or_project_signal; score=9; reasons=strong_phrase:registered replication report | replication_word | original_word"	plot1_replication_pairs	figure1_corpus_database_candidate | figure1_candidate	yes	unknown	unknown	figure1_repository_osf_search	steps/searches/figure1/corporasearch-repository-osf-dataverse-replication-project-effect-size.json	3hjpf		https://osf.io/3hjpf/		osf.io	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	unknown	not_assigned	not_started	metadata_only_search_hit	deduplicate_3hjpf_to_hs32y_and_inventory_hs32y_for_result_bearing_data_code_or_tables	provider=osf | external_id=3hjpf | doi= | review_cue=figure1_search_leads | decision=keep_in_corpora_and_databases | confidence=high | reason=The stale OSF 3hjpf lead is the Olson and Fazio registered replication source family | the canonical public project is OSF hs32y and the article DOI is 10.1177/0956797620968526. It should be kept but deduplicated to that canonical route.	2026-05-02
citation_search_openalex_1fc3e15ca54b	search_title:a_multilab_preregistered_replication_of_the_ego_depletion_effect	search_title	A Multilab Preregistered Replication of the Ego-Depletion Effect	candidate_corpus_or_database	needs_source_inventory	figure1_citation_search	unknown	Good self-control has been linked to adaptive outcomes such as better health, cohesive personal relationships, success in the workplace and at school, and less susceptibility to crime and addictions. In contrast, self-control failure is linked to maladaptive outcomes. Understanding the mechanisms by which self-control predicts behavior may assist in promoting better regulation and outcomes. A popular approach to understanding self-control is the strength or resource depletion model. Self-control is conceptualized as a limited resource that becomes depleted after a period of exertion resulting in self-control failure. The model has typically been tested using a sequential-task experimental paradigm, in which people completing an initial self-control task have reduced self-control capacity and poorer performance on a subsequent task, a state known as ego depletion Although a meta-analysis of ego-depletion experiments found a medium-sized effect, subsequent meta-analyses have questioned the size and existence of the effect and identified instances of possible bias. The analyses served as a catalyst for the current Registered Replication Report of the ego-depletion effect. Multiple laboratories (k = 23, total N = 2,141) conducted replications of a standardized ego-depletion protocol based on a sequential-task paradigm by Sripada et al. Meta-analysis of the studies revealed that the size of the ego-depletion effect was small with 95% confidence intervals (CIs) that encompassed zero (d = 0.04, 95% CI [-0.07, 0.15]. We discuss implications of the findings for the ego-depletion eff	"Matched Figure 1 citation search query '""registered replication report"" ""many labs""'; lead_classification=corpus_database_or_project_signal; score=7; reasons=strong_phrase:registered replication report | replication_word"	plot1_replication_pairs	figure1_corpus_database_candidate | figure1_candidate	yes	unknown	unknown	figure1_citation_openalex_search	steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json	https://openalex.org/W2499154041 | doi:10.1177/1745691616652873		https://doi.org/10.1177/1745691616652873		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	yes	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	inventory_sage_xml_pdf_supplements_and_any_project_repository_for_lab_level_or_aggregate_effect_rows	provider=openalex | external_id=https://openalex.org/W2499154041 | doi=https://doi.org/10.1177/1745691616652873 | review_cue=figure1_search_leads | decision=keep_in_corpora_and_databases | confidence=high | reason=This Registered Replication Report is a multi-lab source-family candidate: the abstract reports 23 laboratories and N=2141 for a standardized ego-depletion replication protocol. It should stay for source inventory and table extraction review.	2026-05-02
biblio_search_europepmc_e157ba24e5e8	search_title:a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2	search_title	A Problem in Theory and More: Measuring the Moderating Role of Culture in Many Labs 2	candidate_corpus_or_database	catalog_only_context_lead	figure1_bibliographic_search	unknown	<p>The multi-site replication study, Many Labs 2 (ML2), attempted to test whether population, site and setting variability moderates the likelihood of replication and effect size. The analysis concluded that sample location and setting did not substantially affect the replicability of findings. In this paper, we raise several issues with the ML2 approach to adjudicating the effect of culture that cast doubt on this conclusion. These theoretical and methodological problems (pre-registered at https://osf.io/6exr4) involve the: (1) selection of studies and sample sites for replication that are not theory-driven, (2) sampling of mostly WEIRD people around the world, (3) conflation of participants’ cultural backgrounds with the country where the samples came from, (4) use of the WEIRD backronym by decomposing it into a scale, and (5) application of a mean split of that WEIRD variable. Moreover, simulations reveal strikingly low statistical power for detecting cultural influences in a multi-side study designed like ML2. We propose methodologies to address problems (3) to( 5) by re-analyzing the ML2 dataset using an alternative approach. These results suggest that tackling only some of the design problems is insufficient to overcome the underlying theoretical and methodological deficiencies. We conclude with specific recommendations for assessing the role of population variability in future multi-site studies that address evidentiary value and effect size.</p>	"Matched Figure 1 bibliographic search query '""multi-site replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=21; reasons=strong_phrase:many labs | strong_phrase:multi-site replication | pair_term:effect size | data_term:data | data_term:dataset | data_term:osf | replication_word | effect_or_sample_size_phrase | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_bibliographic_europepmc_search | figure1_bibliographic_openalex_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	https://doi.org/10.31234/osf.io/hmnrx | https://openalex.org/W4319984852 | doi:10.31234/osf.io/hmnrx		https://doi.org/10.31234/osf.io/hmnrx		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	yes	yes	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_many_labs_2_context_only	provider=europepmc | external_id= | doi=10.31234/osf.io/hmnrx | provider=openalex | external_id=https://openalex.org/W4319984852 | doi=https://doi.org/10.31234/osf.io/hmnrx | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a critique/reanalysis of Many Labs 2 culture-moderation methods. Many Labs 2 itself is already the source-family candidate | this preprint is contextual and should not create a separate Figure 1 source-family row.	2026-05-02
biblio_search_europepmc_62ed5748b3a7	search_title:a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics	search_title	A scoping review on metrics to quantify reproducibility: a multitude of questions leads to a multitude of metrics.	candidate_corpus_or_database	catalog_only_context_lead	figure1_bibliographic_search	unknown	Reproducibility is recognized as essential to scientific progress and integrity. Replication studies and large-scale replication projects, aiming to quantify different aspects of reproducibility, have become more common. Since no standardized approach to measuring reproducibility exists, a diverse set of metrics has emerged and a comprehensive overview is needed. We conducted a scoping review to identify large-scale replication projects that used metrics and methodological papers that proposed or discussed metrics. The project list was compiled by the authors. For the methodological papers, we searched Scopus, MedLine, PsycINFO and EconLit. Records were screened in duplicate against pre-defined inclusion criteria. Demographic information on included records and information on reproducibility metrics used, suggested or discussed was extracted. We identified 49 large-scale projects and 97 methodological papers and extracted 50 metrics. The metrics were characterized based on type (formulas and/or statistical models, frameworks, graphical representations, studies and questionnaires, algorithms), input required and appropriate application scenarios. Each metric addresses a distinct question. Our review provides a comprehensive resource in the form of a 'live', interactive table for future replication teams and meta-researchers, offering support in how to select the most appropriate metrics that are aligned with research questions and project goals.	"Matched Figure 1 bibliographic search query '""replication database"" psychology'; lead_classification=corpus_database_or_project_signal; score=19; reasons=strong_phrase:replication project | strong_phrase:large-scale replication | strong_phrase:replication studies | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | context_source	no	unknown	unknown	figure1_bibliographic_europepmc_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	PMC12395386 | doi:10.1098/rsos.242076		https://doi.org/10.1098/rsos.242076		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	keep_as_context_and_possible_seed_list_not_figure1_pair_parser	provider=europepmc | external_id=PMC12395386 | doi=10.1098/rsos.242076 | review_cue=figure1_search_leads | decision=keep_as_context_source | confidence=high | reason=This is a scoping review and live-table resource about reproducibility metrics and large-scale projects. It is useful for context or seed discovery, but it is not itself an original/replication pair corpus.	2026-05-02
biblio_search_europepmc_13a3032c9195	search_title:absence_of_a_meaningful_effect_of_intranasal_oxytocin_on_trusting_behavior_a_registered_report_with_pooled_equivalence_testing	search_title	Absence of a meaningful effect of intranasal oxytocin on trusting behavior: a registered report with pooled equivalence testing.	candidate_corpus_or_database	discovered_search_lead	figure1_bibliographic_search	unknown	The neuropeptide oxytocin (OXT) is thought to modulate important aspects of prosocial behavior. In a seminal paper, Kosfeld et al. (2005) reported that intranasally administered OXT modulated trusting behavior in an economic trust game. Several attempts to conceptually replicate these findings yielded mixed results, which might be partly due to small sample sizes that can reduce the ability to detect, or reject, meaningful effects. We performed a large-scale replication (n = 211) of Kosfeld et al. (2005) with specific attention for small effects and subpopulations whose trusting behavior may be sensitive to OXT manipulations. Moreover, we conducted a pooled analysis of the two largest, recent, replications by merging our data with data from Declerck et al. (2020; n = 321). We found no evidence that intranasal OXT administration increases trusting behavior, neither in our data nor in the pooled dataset. While equivalence testing in our dataset was inconclusive, equivalence testing in the pooled dataset (n = 532) indicated that the effect of OXT administration on trusting behavior lies within a minimal range of effects, suggesting that the effect is too small to be of interest to (most) lab-based studies due to feasibility constraints of collecting data from larger samples required to reject smaller effect sizes. In addition, we found no evidence that OXT administration effects on trusting behavior are influenced by baseline trust, reward sensitivity, and punishment sensitivity. Our findings invite a critical evaluation of current methodology in OXT research and a reconsidera	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=18; reasons=strong_phrase:large-scale replication | pair_term:effect size | pair_term:sample size | pair_term:larger sample | data_term:data | data_term:dataset | data_term:osf | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate	yes	unknown	unknown	figure1_bibliographic_europepmc_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	41880977		https://doi.org/10.1016/j.cortex.2026.03.006		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	yes	yes	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	triage_landing_page_or_package_for_pair_table	provider=europepmc; external_id=41880977; doi=10.1016/j.cortex.2026.03.006	2026-05-01
biblio_search_crossref_95b2c7981ea2	search_title:administering_a_victim_impact_curriculum_to_inmates_a_multi_site_replication	search_title	Administering a victim impact curriculum to inmates: a multi-site replication	candidate_corpus_or_database	routed_to_individual_replication_worklist	figure1_bibliographic_search	unknown		"Matched Figure 1 bibliographic search query '""multi-site replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=9; reasons=strong_phrase:multi-site replication | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | figure1_routed_individual_replication	yes	unknown	unknown	figure1_bibliographic_crossref_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	10.1080/1478601x.2015.1014037 | doi:10.1080/1478601x.2015.1014037		https://doi.org/10.1080/1478601x.2015.1014037		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	route_to_individual_replication_paper_worklist_and_check_article_full_text_or_supplement_only_if_needed	provider=crossref | external_id=10.1080/1478601x.2015.1014037 | doi=10.1080/1478601x.2015.1014037 | review_cue=figure1_search_leads | decision=route_to_individual_replication_paper_worklist | confidence=medium | reason=The article title explicitly self-describes as a multi-site replication. No evidence in the current metadata shows a reusable multi-row corpus/database table, so it should be handled as an individual replication paper.	2026-05-02
citation_search_openalex_c8d6e1d0dbe0	search_title:an_open_investigation_of_the_reproducibility_of_cancer_biology_research	search_title	An open investigation of the reproducibility of cancer biology research	candidate_corpus_or_database	needs_source_inventory	figure1_citation_search	unknown	It is widely believed that research that builds upon previously published findings has reproduced the original work. However, it is rare for researchers to perform or publish direct replications of existing results. The Reproducibility Project: Cancer Biology is an open investigation of reproducibility in preclinical cancer biology research. We have identified 50 high impact cancer biology articles published in the period 2010-2012, and plan to replicate a subset of experimental results from each article. A Registered Report detailing the proposed experimental designs and protocols for each subset of experiments will be peer reviewed and published prior to data collection. The results of these experiments will then be published in a Replication Study. The resulting open methodology and dataset will provide evidence about the reproducibility of high-impact results, and an opportunity to identify predictors of reproducibility.	"Matched Figure 1 citation search query '""Reproducibility Project: Psychology"" dataset replication'; lead_classification=corpus_database_or_project_signal; score=13; reasons=strong_phrase:reproducibility project | data_term:data | data_term:dataset | replication_word | original_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | figure1_candidate	yes	unknown	unknown	figure1_citation_openalex_search	steps/searches/figure1/corporasearch-citation-snowball-known-replication-corpora.json	https://openalex.org/W2142148275 | rpcb | doi:10.7554/elife.04333		https://doi.org/10.7554/elife.04333		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	deduplicate_to_rpcb_source_family_and_use_later_rpcb_final_analysis_data_for_result_extraction	provider=openalex | external_id=https://openalex.org/W2142148275 | doi=https://doi.org/10.7554/elife.04333 | review_cue=figure1_search_leads | decision=keep_in_corpora_and_databases | confidence=high | reason=This eLife article defines the Reproducibility Project: Cancer Biology source family, identifying 50 high-impact cancer biology articles and planned replication studies. It should be retained but deduplicated with the later RPCB result-data source-family records.	2026-05-02
biblio_search_openalex_5e106b038595	search_title:analysis_of_rare_parkinson_s_disease_variants_in_millions_of_people	search_title	Analysis of rare Parkinson’s disease variants in millions of people	candidate_corpus_or_database	rejected_irrelevant_search_hit	figure1_bibliographic_search	unknown	Although many rare variants have been reportedly associated with Parkinson's disease (PD), many have not been replicated or have failed to replicate. Here, we conduct a large-scale replication of rare PD variants. We assessed a total of 27,590 PD cases, 6701 PD proxies, and 3,106,080 controls from three data sets: 23andMe, Inc., UK Biobank, and AMP-PD. Based on well-known PD genes, 834 variants of interest were selected from the ClinVar annotated 23andMe dataset. We performed a meta-analysis using summary statistics of all three studies. The meta-analysis resulted in five significant variants after Bonferroni correction, including variants in GBA1 and LRRK2. Another eight variants are strong candidate variants for their association with PD. Here, we provide the largest rare variant meta-analysis to date, providing information on confirmed and newly identified variants for their association with PD using several large databases. Additionally we also show the complexities of studying rare variants in large-scale cohorts.	"Matched Figure 1 bibliographic search query '""large-scale replication"" ""dataset""'; lead_classification=corpus_database_or_project_signal; score=12; reasons=strong_phrase:large-scale replication | data_term:data | data_term:dataset | data_term:database | replication_word | metadata_corpus_signal"	plot1_replication_pairs	figure1_corpus_database_candidate | search_rejected	no	unknown	unknown	figure1_bibliographic_openalex_search	steps/searches/figure1/corporasearch-bibliographic-openalex-crossref-replication-database-effect-size.json	https://openalex.org/W4390667162 | doi:10.1038/s41531-023-00608-8		https://doi.org/10.1038/s41531-023-00608-8		doi.org	public_metadata	search_metadata_seen										unknown; search metadata only	unknown	unknown	unknown	unknown	yes	not_assigned	not_started	metadata_only_search_hit	stop_for_current_figure1_pair_intake_unless_a_separate_genetics_validation_corpus_rule_is_added	provider=openalex | external_id=https://openalex.org/W4390667162 | doi=https://doi.org/10.1038/s41531-023-00608-8 | review_cue=figure1_search_leads | decision=reject_irrelevant | confidence=medium | reason=This is a single genetics association/meta-analysis paper using the language of variant replication across cohorts. It does not provide a Figure 1 source-family object linking published original findings to independent replication/follow-up studies under the current gate.	2026-05-02
