plot_name,plot_inclusion_status,source_label,source_corpus,papers_contributed,tests_or_rows_contributed,why,why_detail,status_label,fields,source_kind,published_scope,median_D,median_N,display_label,source_key,citation_key,corpus_what_it_is,plot_rows_made_in,known_paper_units,known_test_rows,rows_with_direct_journal_provenance,rows_with_paper_grouping,rows_with_paper_level_dn,rows_with_explicit_main_selector,rows_with_implemented_paper_collapse,rows_currently_plotted,what_it_is_why_possible_candidate,confirmed_fields,why_in_out,n_obs_in
Plot 2,included,DARPA SCORE / COS claims,score_cos_claims,3193,3684,current published-paper figure includes this source corpus,"Parser yields 2,893 free-text claim rows and 791 structured focal-test rows with D/N; representative/focal claims from journal papers, but not guaranteed declared headline treatment result.",parsed with caveats,business; economics and finance; education; political science; +2 more,score_extracted_claims_free_text; score_structured_orig_outcomes,sampled_social_behavioral_journal_claims,0.3169073933594158,349.0,DARPA SCORE / COS claims,score_cos_claims,tyner2026,score extracted claims free text; score structured orig outcomes; scope: sampled social behavioral journal claims; field(s): business; economics and finance; education; political science; +2 more.,3193,3193,3684,3193,3193,3193,0,3193,3193,"Social and behavioral claims sampled for DARPA SCORE/COS. Possible Plot 2 candidate because the sampled journal claims expose enough N/effect/p text to reconstruct paper-level D/N, though many rows are claim-level rather than declared headline results.","Known: 3,193 paper units, 3,684 test/effect rows. Confirmed: journal provenance: yes (3,193); paper grouping: yes (3,193); paper D/N: yes (3,193); main selector: no.","Included: parsed with caveats. Parser yields 2,893 free-text claim rows and 791 structured focal-test rows with D/N; representative/focal claims from journal papers, but not guaranteed declared headline treatment result.",3193
Plot 2,included,metaBUS open Bosco subset,metabus_open_bosco,1999,169135,current published-paper figure includes this source corpus,Peer-reviewed JAP/Personnel Psychology correlation rows; useful D/N article corpus but not treatment/main-claim effects.,not treatment effects,io_psychology_management,published_original_journal_correlation_matrix,published_jap_personnel_psychology,0.3765140661180163,181.0,metaBUS open Bosco subset,metabus_open_bosco,bosco2020metabus,published original journal correlation matrix; scope: published jap personnel psychology; field(s): io psychology management.,1999,1999,169135,1999,1999,1999,0,1999,1999,Open metaBUS subset for Journal of Applied Psychology and Personnel Psychology correlations. Possible candidate because the rows are peer-reviewed article effects with r and N; the caveat is that they are correlational personnel-psychology effects rather than treatment or headline-result rows.,"Known: 1,999 paper units, 169,135 test/effect rows. Confirmed: journal provenance: yes (1,999); paper grouping: yes (1,999); paper D/N: yes (1,999); main selector: no.",Included: not treatment effects. Peer-reviewed JAP/Personnel Psychology correlation rows; useful D/N article corpus but not treatment/main-claim effects.,1999
Plot 2,included,FORRT FReD,forrt_fred,796,1969,current published-paper figure includes this source corpus,"Parser yields 1,969 original-claim rows across 762 DOI units; rows are replication targets, usually focal claims, but not broad journal sampling and not always treatments.",parsed with caveats,Animal Psychology; Clinical Psychology; Cognitive Psychology; Cognitive psychology; +36 more,replication_target_original_claim,published_original_claims_selected_for_replication,0.5869069755789904,99.25,FORRT FReD,forrt_fred,tosh2024,replication target original claim; scope: published original claims selected for replication; field(s): Animal Psychology; Clinical Psychology; Cognitive Psychology; Cognitive psychology; +36 more.,796,796,1969,796,796,796,796,796,796,"FORRT/FReD original findings selected for documented replications. Possible candidate because original-side titles, DOIs, N, and effects are available for many replication targets; the caveat is replication-target selection rather than broad journal sampling.","Known: 796 paper units, 1,969 test/effect rows. Confirmed: journal provenance: yes (796); paper grouping: yes (796); paper D/N: yes (796); main selector: yes (796).","Included: parsed with caveats. Parser yields 1,969 original-claim rows across 762 DOI units; rows are replication targets, usually focal claims, but not broad journal sampling and not always treatments.",796
Plot 2,included,Schäfer/Schwarz psychology articles (without preregistration),schaefer_schwarz_2019_without_prereg,682,682,current published-paper figure includes this source corpus,Random psychology-paper sample with coded key-question effects from non-preregistered articles; public rows include D/N but not DOI/title metadata.,key-effect psychology sample,psychology,published_original_psychology_article_key_effect,random_sample_psychology_articles,0.7717436331412897,68.5,Schäfer/Schwarz psychology articles (without preregistration),schaefer_schwarz_2019_without_prereg,schaefer2019meaningfulness,published original psychology article key effect; scope: random sample psychology articles; field(s): psychology.,682,682,682,682,682,682,682,682,682,Schäfer/Schwarz non-preregistered psychology-article sample. Possible candidate because each sampled paper has a coded key-question effect with recoverable D/N.,"Known: 682 paper units, 682 test/effect rows. Confirmed: journal provenance: yes (682); paper grouping: yes (682); paper D/N: yes (682); main selector: yes (682).",Included: key-effect psychology sample. Random psychology-paper sample with coded key-question effects from non-preregistered articles; public rows include D/N but not DOI/title metadata.,682
Plot 2,included,Button/Nord neuroscience,button_nord_neuroscience,649,688,current published-paper figure includes this source corpus,Published-study rows from meta-analyses; no direct journal-paper main-result flag.,meta-analysis-mediated,neuroscience,published_meta_analysis_primary_studies,published_primary_studies,0.2126268695516995,107.0,Button/Nord neuroscience,button_nord_neuroscience,button2013,published meta analysis primary studies; scope: published primary studies; field(s): neuroscience.,649,649,688,0,649,649,0,649,649,Primary studies appearing in neuroscience meta-analyses. Possible candidate because D/N is recoverable at the published-study level; the caveat is meta-analysis mediation rather than direct paper-main-result extraction.,"Known: 649 paper units, 688 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (649); paper D/N: yes (649); main selector: no.",Included: meta-analysis-mediated. Published-study rows from meta-analyses; no direct journal-paper main-result flag.,649
Plot 2,included,Motyl social/personality critical tests,motyl_2017_critical_tests,540,1305,current published-paper figure includes this source corpus,Sampled social/personality journal articles with coded critical hypothesized tests; useful focal-result corpus but some papers contribute multiple study-level tests.,critical hypothesized-test sample,psychology_social_personality,published_original_article_critical_hypothesized_test,sampled_social_personality_journal_articles,0.614241532257046,93.75,Motyl social/personality critical tests,motyl_2017_critical_tests,motyl2017state,published original article critical hypothesized test; scope: sampled social personality journal articles; field(s): psychology social personality.,540,540,1305,540,540,540,540,540,540,"Motyl social/personality article sample with coded critical hypothesized tests. Possible candidate because the tests are close to focal claims, though some papers contribute multiple study-level tests.","Known: 540 paper units, 1,305 test/effect rows. Confirmed: journal provenance: yes (540); paper grouping: yes (540); paper D/N: yes (540); main selector: yes (540).",Included: critical hypothesized-test sample. Sampled social/personality journal articles with coded critical hypothesized tests; useful focal-result corpus but some papers contribute multiple study-level tests.,540
Plot 2,included,Kühberger psychology main results,kuhberger_2014_main_results,472,472,current published-paper figure includes this source corpus,Random-sample psychology article corpus with one coded main-question result per paper and D/N recovered from the public SAV.,clean psychology main-result sample,psychology,published_original_psychology_article_main_result,random_sample_psychology_articles,0.7228785,94.0,Kühberger psychology main results,kuhberger_2014_main_results,kuhberger2014publicationBias,published original psychology article main result; scope: random sample psychology articles; field(s): psychology.,472,472,472,472,472,472,472,472,472,Kühberger psychology main-result corpus. Possible candidate because it is a random psychology-article sample with one coded main-question result per paper and recoverable D/N.,"Known: 472 paper units, 472 test/effect rows. Confirmed: journal provenance: yes (472); paper grouping: yes (472); paper D/N: yes (472); main selector: yes (472).",Included: clean psychology main-result sample. Random-sample psychology article corpus with one coded main-question result per paper and D/N recovered from the public SAV.,472
Plot 2,included,replication-pair original-side bridge,replication_pair_originals_bridge,431,635,current published-paper figure includes this source corpus,Checks every row already plotted in the replication-pair figure and adds original-side D/N estimates only when the original DOI/title is not already represented in Plot 2; source is replication-target originals rather than broad journal sampling.,derived bridge from Plot 1 originals,experimental philosophy; management science; medicine; neuroscience; +3 more,replication_pair_original_side_estimate,original_claims_from_rule_qualified_replication_pairs,0.65,85.0,replication-pair original-side bridge,replication_pair_originals_bridge,,replication pair original side estimate; scope: original claims from rule qualified replication pairs; field(s): experimental philosophy; management science; medicine; neuroscience; +3 more.,431,431,635,0,431,431,431,431,431,Internal bridge from Plot 1 originals. Possible candidate because every plotted replication pair has an original-side D/N; the bridge adds only original DOI/title targets not already represented in Plot 2.,"Known: 431 paper units, 635 test/effect rows. Confirmed: journal provenance: no; paper grouping: yes (431); paper D/N: yes (431); main selector: yes (431).",Included: derived bridge from Plot 1 originals. Checks every row already plotted in the replication-pair figure and adds original-side D/N estimates only when the original DOI/title is not already represented in Plot 2; source is replication-target originals rather than broad journal sampling.,431
Plot 2,included,CliniFact published primary pairs,clinifact_published_primary_pairs,339,339,current published-paper figure includes this source corpus,Published trial reports linked to ClinicalTrials.gov primary outcomes through the local CliniFact bridge; conservative proxy for journal-side primary-result D/N.,registry-linked published primary-outcome proxy,medicine_rct,published_trial_result_registry_linked_primary_outcome,published_trial_reports_linked_to_ctgov_primary_outcomes,0.3307103797270649,215.0,CliniFact published primary pairs,clinifact_published_primary_pairs,zhang2025clinifact,published trial result registry linked primary outcome; scope: published trial reports linked to ctgov primary outcomes; field(s): medicine rct.,339,339,339,339,339,339,339,339,339,Published clinical-trial reports linked to registry primary outcomes through the local CliniFact bridge. Possible candidate because the rows are journal-side primary-outcome proxies with recoverable D/N.,"Known: 339 paper units, 339 test/effect rows. Confirmed: journal provenance: yes (339); paper grouping: yes (339); paper D/N: yes (339); main selector: yes (339).",Included: registry-linked published primary-outcome proxy. Published trial reports linked to ClinicalTrials.gov primary outcomes through the local CliniFact bridge; conservative proxy for journal-side primary-result D/N.,339
Plot 2,included,Olsson/Sundell social interventions,olsson_sundell_2023_social_interventions,250,250,current published-paper figure includes this source corpus,Published Swedish social-intervention effectiveness articles; primary-outcome flags are used for plotted rows and nonprimary rows remain comparator only.,primary social-intervention outcomes,social_intervention_research,published_original_article_effectiveness_result,published_swedish_social_intervention_articles,0.4305,89.0,Olsson/Sundell social interventions,olsson_sundell_2023_social_interventions,olsson2023publicationBias,published original article effectiveness result; scope: published swedish social intervention articles; field(s): social intervention research.,250,250,250,250,250,250,250,250,250,Published Swedish social-intervention effectiveness articles. Possible candidate because primary-outcome flags identify the plotted paper-level effectiveness results.,"Known: 250 paper units, 250 test/effect rows. Confirmed: journal provenance: yes (250); paper grouping: yes (250); paper D/N: yes (250); main selector: yes (250).",Included: primary social-intervention outcomes. Published Swedish social-intervention effectiveness articles; primary-outcome flags are used for plotted rows and nonprimary rows remain comparator only.,250
