track_id	tool_or_surface	query_or_prompt	target_manifest	accept_if	reject_if	next_step
gpt_or_gemini_assisted_pair_search	GPT/Gemini/deep research	reports/figure1_individual_replication_search_help_prompt_2026-05-05.md	steps/searches/figure1/individualrepsearch-gpt-<batch>.json	specific original-vs-replication/follow-up pair with affirmative relation evidence and source-object URLs	corpus-only suggestion, related citation without replication assertion, one-arm no-comparator, or same-data robustness without explicit route	figure1-individual-replication-search-intake
bibliographic_phrase_search	Crossref/OpenAlex/PubMed/EuropePMC/paperclip	"""failed to replicate"" ""original study""; ""direct replication"" ""sample size""; ""registered replication report"""	steps/searches/figure1/individualrepsearch-bibliographic-<query>.json	bibliographic record is an individual replication/follow-up paper and names the original or target claim	review/editorial/meta-analysis-only record or no original target	figure1-individual-replication-search-intake
repository_package_search	OSF/Dataverse/Zenodo/Figshare/Dryad/GitHub	"""direct replication"" ""original study"" data; ""replication package"" ""original effect"""	steps/searches/figure1/individualrepsearch-repository-<surface>.json	one-paper package with source objects, data, code, or tables that identify original and replication sides	multi-row corpus already routed elsewhere or materials-only package with no result route	figure1-individual-replication-search-intake
known_original_forward_search	OpenAlex/Semantic Scholar/Crossref/manual citation snowball	cited-by around famous original effects; filter for replicate/reproduce/validate/follow-up/high-powered	steps/searches/figure1/individualrepsearch-citation-<batch>.json	citing paper self-describes replication/validation/follow-up and can ground both source identities	mere citation, theory extension, or no result-level source-object route	figure1-individual-replication-search-intake
clinical_pair_rescue_search	PubMed/EuropePMC/paperclip/ClinicalTrials.gov/Crossref/OpenAlex	"""pilot trial"" ""full-scale trial""; ""phase II"" ""phase III"" ""same endpoint""; ""definitive trial"""	steps/searches/figure1/individualrepsearch-clinical-<batch>.json	same/close clinical endpoint and public source object exposes comparative effect/N or D-equivalent inputs	ordinary development sequence with no replication/follow-up assertion or one-arm ORR without comparator	figure1-individual-replication-search-intake
direct_replication_language_sweep	web/PubMed/PMC/Crossref/OpenAlex/Semantic Scholar	"""direct replication of""; ""failed to replicate""; ""failure to replicate""; ""first direct replication""; ""two failures to replicate""; ""three unsuccessful attempts to replicate""; ""pre-registered replication""; ""high-powered direct replication""; ""using the original materials and methods"""	steps/searches/figure1/individualrepsearch-direct-language-<batch>.json	paper-level hit names the original target paper/effect and provides a source-object route for both sides or a replication paper that quotes original values	review-only, same-data reanalysis, commentary, or generic replication discussion without a target pair	figure1-individual-replication-search-intake
value_language_sweep	web/PMC/PLOS/open publisher HTML/full text search	"""Cohen's d"" ""original study"" ""replication study"" ""N =""; ""effect size"" ""replication"" ""original"" ""sample size""; ""means and standard deviations"" ""direct replication"" ""original""; ""forest plot"" ""original study"" ""replication"""	steps/searches/figure1/individualrepsearch-value-language-<batch>.json	hit likely contains original and replication value text or table values, even if it is not yet deduped	value language is only in a broad meta-analysis without individual source identities	figure1-individual-replication-search-intake
plos_and_open_journal_replication_sweep	PLOS ONE/PMC/open journal HTML	"site:journals.plos.org/plosone ""Direct replication of""; site:journals.plos.org/plosone ""Failed replication""; site:journals.plos.org/plosone ""failure to replicate""; site:pmc.ncbi.nlm.nih.gov ""direct replication"" ""Cohen's d"" ""original"""	steps/searches/figure1/individualrepsearch-open-journals-<batch>.json	open full text has a paper-level replication relation and likely extractable effect/N or raw data links	method paper, editorial, or same-data reproducibility-only article	figure1-individual-replication-search-intake
behavioral_economics_marketing_replication_sweep	web/Crossref/OpenAlex/OSF/Dataverse	"""failed to replicate"" ""consumer behavior"" ""direct replication""; ""replication"" ""behavioral economics"" ""original study"" ""Cohen's d""; ""marketing"" ""direct replication"" ""Cohen's d""; ""management"" ""failed to replicate"" ""original study"""	steps/searches/figure1/individualrepsearch-behavioral-econ-marketing-<batch>.json	one-off marketing, management, behavioral-economics, or consumer-behavior replication pair with extractable values or a repository package	registered report/project already represented as a many-row source family unless a specific missing paper pair is identified	figure1-individual-replication-search-intake
clinical_trial_reversal_followup_sweep	PubMed/PMC/paperclip/ClinicalTrials.gov/NEJM/JAMA/BMJ	"""single-center"" ""multicenter"" ""{intervention}"" mortality ""trial""; ""landmark trial"" ""{intervention}"" ""subsequent trial""; ""failed to confirm"" ""{intervention}"" ""randomized trial""; ""larger trial"" ""{intervention}"" ""no benefit"" ""mortality""; ""trial reversal"" ""{intervention}"" ""original trial"""	steps/searches/figure1/individualrepsearch-clinical-reversal-<batch>.json	original and follow-up trials have the same/close comparative endpoint with event counts or OR/RR/RD inputs for D-equivalent routing	ordinary development sequence, different endpoint/population without explicit replication/follow-up framing, or one-arm ORR without comparator	figure1-individual-replication-search-intake
