plot_label	plot_universe_id	corpus_database_id	name	record_kind	inventory_status	current_scope_roles	plot_relevance_field	plot_relevance_value	access_status	host	landing_url	raw_url	existing_local_paths	result_fields_available	has_d_or_convertible_effect	has_n	has_replication_pair_mapping	result_artifact_acquisition_state	acquisition_route_type	acceptable_result_artifact_classes	target_local_root	priority	blocker_codes	next_action	notes	last_seen
figure1	plot1_replication_pairs	biblio_search_europepmc_73a746f8d5ae	A large-scale in silico replication of ecological and evolutionary studies.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1038/s41559-024-02530-5			unknown; search metadata only	unknown	yes	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc11618063	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_crossref_480bdd504b25	A large-scale replication of scenario-based experiments in psychology and management using large language models	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1038/s43588-025-00840-7			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/10_1038_s43588_025_00840_7	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	repo_search_osf_de5a21118204	"A multi-site Registered Replication Report of Olson &amp; Fazio (2001) ""Implicit Attitude Formation Through Classical Conditioning"""	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	osf.io	https://osf.io/3hjpf/			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	osf_inventory_and_download	OSF file inventory | CSV/TSV/XLSX/RDS/SAV/DTA | ZIP member | README/code | PDF supplement	data/raw/source_artifacts/figure1/3hjpf	high	no_local_result_artifact	run_osf_inventory_and_download_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_1fc3e15ca54b	A Multilab Preregistered Replication of the Ego-Depletion Effect	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1177/1745691616652873			unknown; search metadata only	unknown	yes	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w2499154041	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_e157ba24e5e8	A Problem in Theory and More: Measuring the Moderating Role of Culture in Many Labs 2	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.31234/osf.io/hmnrx			unknown; search metadata only	yes	yes	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_doi_org_10_31234_osf_io_hmnrx_https_openalex_org_w4319984852	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_62ed5748b3a7	A scoping review on metrics to quantify reproducibility: a multitude of questions leads to a multitude of metrics.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1098/rsos.242076			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc12395386	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_13a3032c9195	Absence of a meaningful effect of intranasal oxytocin on trusting behavior: a registered report with pooled equivalence testing.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1016/j.cortex.2026.03.006			unknown; search metadata only	yes	yes	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/41880977	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_crossref_95b2c7981ea2	Administering a victim impact curriculum to inmates: a multi-site replication	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1080/1478601x.2015.1014037			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/10_1080_1478601x_2015_1014037	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_c8d6e1d0dbe0	An open investigation of the reproducibility of cancer biology research	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.7554/elife.04333			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w2142148275	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_openalex_5e106b038595	Analysis of rare Parkinson’s disease variants in millions of people	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1038/s41531-023-00608-8			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w4390667162	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_166831ec4722	Analyzing Data of a Multilab Replication Project With Individual Participant Data Meta-Analysis	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1027/2151-2604/a000483			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w4210766447	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_8205f5f8a5c7	Analyzing data of a multilab replication project with individual participant data meta-analysis: A tutorial	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.31222/osf.io/9tmua			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w3094282098	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_721d17ae7904	Artificial intelligence in psychology research	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.31234/osf.io/rva3w			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w4321102425	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_openalex_0dc003705bb2	Can cancer researchers accurately judge whether preclinical reports will reproduce?	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1371/journal.pbio.2002212			unknown; search metadata only	yes	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w2732894280	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_crossref_b5e8a315b055	Cancer reproducibility project scales back ambitions	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1038/nature.2015.18938			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/10_1038_nature_2015_18938	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_e00e4206ad4b	Confounds in “failed” replications	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.31234/osf.io/gth8u			unknown; search metadata only	unknown	unknown	yes	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w4238249240	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_c341f9196f7e	Cross-platform metabolomics imputation using importance-weighted autoencoders	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1101/2025.03.06.25323475 | https://doi.org/10.1038/s41540-025-00644-5			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_doi_org_10_1101_2025_03_06_25323475_pmc12894875	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_openalex_67155624c5f2	Data from Investigating Variation in Replicability: A “Many Labs” Replication Project	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.5334/jopd.ad | https://doi.org/10.31234/osf.io/25ju4			unknown; search metadata only	unknown	yes	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/https_openalex_org_w2126632863_https_openalex_org_w4226251881_10_5334_jopd_ad	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	citation_search_crossref_35667e3741ca	Does expertise matter in replication? An examination of the reproducibility project: Psychology	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1016/j.jesp.2016.07.003			unknown; search metadata only	unknown	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/10_1016_j_jesp_2016_07_003	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_4c109c902f6f	Eleven years of student replication projects provide evidence on the correlates of replicability in psychology.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1098/rsos.231240			unknown; search metadata only	yes	yes	yes	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc10645069	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_f4494de3204c	Estimating the Replicability of Sports and Exercise Science Research.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1007/s40279-025-02201-w			unknown; search metadata only	yes	unknown	yes	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc12513899	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_5fee7a46d6f5	Evaluating meta-analysis as a replication success measure.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1371/journal.pone.0308495			unknown; search metadata only	unknown	unknown	yes	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc11633967	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_c1d8b918289a	Evidence for Infant-directed Speech Preference Is Consistent Across Large-scale, Multi-site Replication and Meta-analysis.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1162/opmi_a_00134			unknown; search metadata only	yes	unknown	unknown	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc11045035	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
figure1	plot1_replication_pairs	biblio_search_europepmc_1e8b61f37a9f	Examining the replicability of online experiments selected by a decision market.	candidate_corpus_or_database	discovered_search_lead	figure1_corpus_database_candidate	figure1_replication_relevance	yes	search_metadata_seen	doi.org	https://doi.org/10.1038/s41562-024-02062-9			unknown; search metadata only	yes	unknown	yes	needs_result_bearing_artifact_on_disk	article_pdf_supplement_or_data_availability_route	article PDF/HTML/XML containing corpus table | supplementary table | data availability repository	data/raw/source_artifacts/figure1/pmc11860227	high	no_local_result_artifact	run_article_pdf_supplement_or_data_availability_route_to_get_result_bearing_artifact_on_disk	Goal is a local result-bearing artifact for this plot universe, not just a source-family landing page or bibliographic record.	2026-05-01
