batch007_seed_id	candidate_id	batch007_action	dedupe_action	final_row_status	original_doi	replication_doi	original_title	replication_title	current_root_pair_ids	dedupe_key_text	created_at
batch007_seed_fde63b2d792fc96c	api_candidate_e1d480fa16f7df49	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1027/1864-9335/a000178		Investigating Variation in Replicability	fig1_pair_22a4bfe5b457b4f6|fig1_pair_3c228006a3c4d3f6|fig1_pair_441b71be37e980c3|fig1_pair_5db7bea39f1909a0|fig1_pair_708e77c18ece2614|fig1_pair_7e929be3dc70bd91|fig1_pair_c937d9ffb68530f5|fig1_pair_e89e177a49170690|fig1_pair_ea811f90b8396f2d|fig1_pair_f717b40f12d4d366|fig1_pair_fa30b157dd6d5beb	10 1027 1864 9335 a000178 investigating variation in replicability unresolved original target investigating variation in replicability	2026-05-06T03:12:07+00:00
batch007_seed_d4f7a4e2bbddd0bc	api_candidate_9db26ff9b8058473	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1371/journal.pone.0042510	Effects on Social and Food Judgments	Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments		10 1371 journal pone 0042510 effects on social and food judgments priming of social distance failure to replicate effects on social and food judgments effects on social and food judgments priming of social distance failure to replicate effects on social and food judgments	2026-05-06T03:12:07+00:00
batch007_seed_c445d6b4c2906091	api_candidate_2510abd248029365	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1371/journal.pone.0072467		Two Failures to Replicate High-Performance-Goal Priming Effects	fig1_pair_d296a67b1df1c9c1	10 1371 journal pone 0072467 two failures to replicate high performance goal priming effects unresolved original target two failures to replicate high performance goal priming effects	2026-05-06T03:12:07+00:00
batch007_seed_4a41576d01ecc801	api_candidate_f3e7061d478e1e53	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1111/jne.12384		Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory		10 1111 jne 12384 is there a publication bias in behavioural intranasal oxytocin research on humans opening the file drawer of one laboratory unresolved original target is there a publication bias in behavioural intranasal oxytocin research on humans opening the file drawer of one laboratory	2026-05-06T03:12:07+00:00
batch007_seed_452136d32ee368ef	api_candidate_78899310c37a23ff	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1371/journal.pone.0137000	Oxytocin Effects on Trust	Failed Replication of Oxytocin Effects on Trust: The Envelope Task Case	fig1_pair_48321f50417489a1	10 1371 journal pone 0137000 oxytocin effects on trust failed replication of oxytocin effects on trust the envelope task case oxytocin effects on trust failed replication of oxytocin effects on trust the envelope task case	2026-05-06T03:12:07+00:00
batch007_seed_1f294d34bf56117f	api_candidate_dfaca8efbd8c31d7	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1177/0956797619893062	the Predictive Validity of the Suicide–Implicit Association Test	Forecasting a Fatal Decision: Direct Replication of the Predictive Validity of the Suicide–Implicit Association Test		10 1177 0956797619893062 the predictive validity of the suicide implicit association test forecasting a fatal decision direct replication of the predictive validity of the suicide implicit association test the predictive validity of the suicide implicit association test forecasting a fatal decision direct replication of the predictive validity of the suicide implicit association test	2026-05-06T03:12:07+00:00
batch007_seed_32333e25fdc14263	api_candidate_561f7e73dce87e5b	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1038/s41598-023-46527-9		The CASA theory no longer applies to desktop computers		10 1038 s41598 023 46527 9 the casa theory no longer applies to desktop computers unresolved original target the casa theory no longer applies to desktop computers	2026-05-06T03:12:07+00:00
batch007_seed_7fa485861486f67c	api_candidate_eaa8a0f32f7aab10	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.2139/ssrn.4437368		Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games		10 2139 ssrn 4437368 direct replication and additional sensitivity and robustness analyses for frederiksen 2022 a replication report from the nottingham replication games unresolved original target direct replication and additional sensitivity and robustness analyses for frederiksen 2022 a replication report from the nottingham replication games	2026-05-06T03:12:07+00:00
batch007_seed_15ff6530bf542cae	api_candidate_5b170b3d5b414951	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1177/17456916211041116		Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”		10 1177 17456916211041116 kinds of replication examining the meanings of conceptual replication and direct replication unresolved original target kinds of replication examining the meanings of conceptual replication and direct replication	2026-05-06T03:12:07+00:00
batch007_seed_a7eeb06533f60d9e	api_candidate_30df9bd015197ff3	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1556/1661.2025.00102		Replication matters: Advances in Translational Research's commitment to Direct Replication Studies		10 1556 1661 2025 00102 replication matters advances in translational research s commitment to direct replication studies unresolved original target replication matters advances in translational research s commitment to direct replication studies	2026-05-06T03:12:07+00:00
