recheck_id	record_grain	candidate_key	candidate_name	previous_surface	previous_decision	previous_reason_or_notes	alternate_route_decision	alternate_plot_universe_id	route_to_worklist_id	evidence_row_count	counted_evidence_row_count	evidence_status	confidence	why_it_lands_or_not	next_action	supporting_local_paths
blocked_root_dn_rows_route_to_coverage_denominator_catalog	row_bucket	blocked_root_dn_rows	Root D/N rows blocked by current Figure 1A gate	figure1_universe_coverage	not_in_strict_figure1a_or_blocked		route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator		752	752	concrete_local_row_bucket	high	D/N rows exist but failed a current plot rule; they remain useful for denominator and robustness accounting.	Keep as plot1d coverage rows; do not backfill Figure 1A without passing the failed gate.	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-rows.tsv | steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv
clinical_binary_d_equivalent_rows_route_to_d_equivalent_diagnostic_worklist	row_bucket	clinical_binary_d_equivalent_rows	Clinical binary active/control rows	figure1_universe_coverage	not_in_strict_figure1a_or_blocked		route_to_d_equivalent_diagnostic_worklist	plot1b_clinical_binary_d_equivalent		88	88	concrete_local_row_bucket	high	Rows expose comparative binary counts and can be shown as D-equivalent via log(OR)*sqrt(3)/pi.	Use for Figure 1B diagnostic after keeping conversion-tier fields.	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-rows.tsv | steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv
native_response_rows_route_to_native_effect_diagnostic_worklist	row_bucket	native_response_rows	Native response-rate/logit rows	figure1_universe_coverage	not_in_strict_figure1a_or_blocked		route_to_native_effect_diagnostic_worklist	plot1c_native_effect_retention		88	88	concrete_local_row_bucket	high	Rows have original/follow-up native response metrics and N, but no defensible treatment-effect D conversion.	Use in native-scale appendix/diagnostic only.	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-rows.tsv | steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv
roster_only_rows_route_to_coverage_denominator_catalog	row_bucket	roster_only_rows	Roster-only original/follow-up pair rows	figure1_universe_coverage	not_in_strict_figure1a_or_blocked		route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator		248	248	concrete_local_row_bucket	high	Rows identify original/follow-up pair structure but public bytes do not expose effect and N.	Keep as coverage denominator; no quantitative scatter until values are obtained.	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-rows.tsv | steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv
effect_without_n_rows_route_to_missing_value_repair_worklist	row_bucket	effect_without_n_rows	Effect-present rows missing N	figure1_universe_coverage	not_in_strict_figure1a_or_blocked		route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	172	172	concrete_local_row_bucket	high	Effect-like public result rows exist, but no public N columns were found.	Route to missing-N repair; keep out of quantitative panels until N is acquired.	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-rows.tsv | steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv
clinical_highly_cited_workbook_route_to_native_effect_diagnostic_worklist	source_status	clinical_highly_cited_workbook	Clinical highly cited replication workbook	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv	no_extra_rows_without_relaxing_conversion_rule	Existing builder already promotes the 7 OR/RR/HR rows. Remaining ORR rows=3; one-arm response rates are not converted to D under the current Figure 1 mining rule. Risk measure counts: {'ORR': 3, 'RR': 3, 'HR': 2, 'OR': 2}.	route_to_native_effect_diagnostic_worklist	plot1c_native_effect_retention		3	3	source_status_reports_native_orr_rows	medium	Remaining ORR rows are one-arm response rates; keep in native retention, not D/D-equivalent.	Stage ORR rows as native response-rate rows if source workbook fields are already mirrored and deduplicated.	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv
hagen_hcsp_route_to_coverage_denominator_catalog	source_status	hagen_hcsp	Hagen Cumulative Science Project I	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv	blocked_access_route	Still blocked: mirrored Shiny app's Google Sheet data route is gone/410.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	blocked_source_object_route_no_values	high	The codebook confirms intended D/N-like fields, but the data sheet route is gone; this is coverage/blocker evidence, not a subplot row.	Keep as blocked coverage source; only move to Figure 1A/B/C if the deleted data sheet or equivalent values are recovered.	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv
many_smiles_route_to_missing_value_repair_worklist	source_status	many_smiles	Many Smiles Collaboration	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv	not_promoted_requires_original_benchmark_choice	Mirrored replication data do not expose a clean original benchmark effect plus original N table.	route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	replication_data_mirrored_original_benchmark_missing	medium	Replication-side data are mirrored but the original benchmark effect/original N choice is unresolved.	Repair original benchmark effect/N source before deciding strict D or D-equivalent eligibility.	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv
forrt_reversals_route_to_coverage_denominator_catalog	source_status	forrt_reversals	FORRT Replications and Reversals	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv	not_promoted_candidate_scan_only	HTML has narrative entries with some D/N-looking rows, but it overlaps heavily with FReD/current rows and needs dedupe plus field alignment before promotion.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator		10	10	candidate_d_n_rows_duplicate_risk	medium	Candidate D/N-looking rows exist but need dedupe/field alignment before any Figure 1A use.	Keep in coverage denominator and dedupe against FReD/current rows before promotion.	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv
rct_duplicate_route_to_missing_value_repair_worklist	source_status	rct_duplicate	RCT-DUPLICATE RWE emulations	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv	not_promoted_no_public_n_columns	Mirrored GitHub CSVs; 3 result/covariate files lack clean original and RWE sample-size columns.	route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	172	0	effect_values_present_no_public_n_columns	high	Public result CSVs expose ratio effects but not original/RWE N columns. Count is already represented by the effect-without-N row bucket.	Keep as effect-without-N repair target; do not plot until N is recovered.	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv | steps/corpus_results/figure1/research_followup_20260504/rct-duplicate-schema-scan.tsv
