closure_id	corpus_or_dataset	closure_bucket	records_reviewed	root_rows	strict_included_rows	strict_blocked_rows	alternate_d_equivalent_rows	native_effect_rows	coverage_or_roster_rows	effect_present_n_missing_rows	duplicate_risk_rows	false_positive_rows	rows_promoted_by_this_closure_pass	decision	reason	next_step_before_individual_phase	evidence_paths
rpcb_effect_level_table_reconciled	Reproducibility Project: Cancer Biology / raw_corpus:rpcb	already_represented_or_current_rule_blocked	434	118	33	85	0	0	0	0	0	0	0	closed_no_new_corpus_rows	Local RPCB effect-level bytes were parsed (381 native rows with effect/N/pair context; 294 strict side rows with copied effect and N). The current D/N table already carries 118 RPCB pairs; 33 pass the current strict rule and 85 are blocked by N gates. The remaining raw assertions are missing SMD/N on at least one side, duplicate aliases, or source-support material for provenance hardening.	none_for_corpus_mining; resume source_result/source_result_support hardening later	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv | steps/corpus_results/figure1/dn_check/figure1-corpus-dn-check-strict-result-sides.tsv | steps/corpus_results/figure1/dn_check/figure1-corpus-dn-check-pairs.tsv | FIGURE1_REPLICATION_PAIRS.tsv
many_labs_2_public_join_reconciled	Many Labs 2	already_represented	91	28	28	0	0	0	0	0	0	0	0	closed_no_new_corpus_rows	The ML2 public join yields 28 D/N pairs, all 28 passing the current rule. Strict side output contains 56 original/replication side assertions. The larger 91-row masterkey includes metadata/original-effect rows not all used by the Figure 1 pair join.	none_for_corpus_mining	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv | steps/corpus_results/figure1/dn_check/figure1-corpus-dn-check-strict-result-sides.tsv | steps/corpus_results/figure1/dn_check/figure1-corpus-dn-check-pairs.tsv | FIGURE1_REPLICATION_PAIRS.tsv
psa_006_infosheet_false_positive_demoted	PSA-006 trolley	false_positive_context_table	271	90	4	86	0	0	0	0	0	271	0	closed_parser_false_positive	The 271-row table flagged in raw viability is trolley_infosheet.csv, an author/contribution/context table. It has no effect/N evidence. The actual PSA-006 country-level result rows are already represented separately in the root table.	none_for_corpus_mining	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv | steps/corpus_results/figure1/dn_check/figure1-corpus-dn-check-pairs.tsv | FIGURE1_REPLICATION_PAIRS.tsv
forrt_reversals_duplicate_risk_closed	FORRT Replications and Reversals	duplicate_risk_or_support_only	431	1	1	0	0	0	0	0	10	0	0	closed_no_bulk_promotion	The conservative HTML scan found 10 D/N-looking entries and 8 with larger replication N. One source-object-backed row is already in the root table; the remaining entries are narrative/aggregate assertions with high duplication risk against FReD/current rows.	none; any remaining FORRT entries require individual source-object extraction, not corpus mining	steps/corpus_results/figure1/research_followup_20260504/forrt-reversals-conservative-candidate-scan.tsv | steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv | FIGURE1_REPLICATION_PAIRS.tsv
alternate_d_equivalent_panel_finalized	Comparative clinical/binary rows	alternate_subplot_staged	88	0	0	0	88	0	0	0	0	0	0	closed_staged_for_figure1b_not_figure1a	Rows with comparative binary counts can be expressed as D-equivalent using the documented log(OR)*sqrt(3)/pi route. They remain separate from strict Figure 1A because they are conversion-tier rows rather than direct D/SMD rows.	none_for_corpus_mining; use Figure 1B/diagnostic route if plotted	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv | steps/corpus_results/figure1/coverage_loss_accounting/figure1-row-disposition.tsv | steps/corpus_results/figure1/alternate_route_recheck/figure1-corpus-alternate-route-audit.tsv
native_response_rate_panel_finalized	Native response-rate rows	alternate_subplot_staged	91	0	0	0	0	91	0	0	0	0	0	closed_staged_for_native_panel_not_figure1a	Native response-rate rows have N on both sides but no defensible treatment-effect D conversion under the current rule. They are retained for a native-scale diagnostic or denominator accounting, not promoted to Figure 1A.	none_for_corpus_mining	steps/corpus_results/figure1/universe_coverage/figure1-universe-coverage-summary.tsv | steps/corpus_results/figure1/coverage_loss_accounting/figure1-row-disposition.tsv | steps/corpus_results/figure1/alternate_route_recheck/figure1-corpus-alternate-route-audit.tsv
ying_pilot_full_scale_request_only_closed	Ying/Ehrhardt pilot-to-full-scale clinical datasets	no_public_value_table	248	5	5	0	0	0	248	0	0	0	0	closed_until_public_or_user_supplied_data	Public local bytes identify the pilot/full-scale family and pair roster scale, but the row-level effect/N dataset is not publicly mirrored here. Research triage decision: not_promoted_request_or_access_only.	none; request-only data is out of scope unless the user supplies files	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv | steps/corpus_results/figure1/coverage_loss_accounting/figure1-row-disposition.tsv
rct_duplicate_missing_n_closed	RCT-DUPLICATE RWE emulations	effect_present_n_missing	172	0	0	0	0	0	0	172	0	0	0	closed_missing_public_n_columns	Public CSVs expose trial/result effect strings and covariates but not clean original RCT or RWE-emulation sample-size columns. Research triage decision: not_promoted_no_public_n_columns.	none; needs N recovery from restricted/source-specific materials before any row can plot	steps/corpus_results/figure1/research_followup_20260504/rct-duplicate-schema-scan.tsv | steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv | steps/corpus_results/figure1/coverage_loss_accounting/figure1-row-disposition.tsv
rgb_health_behavior_no_public_master_closed	RGB pilot-vs-larger-trial health-behavior family	no_public_value_table	0	0	0	0	0	0	0	0	0	0	0	closed_until_public_or_user_supplied_data	Article/preprint pages confirm relevant pilot/larger-trial pair and effect-count claims, but no public master workbook/CSV with D/N rows was obtained. Research triage decision: not_promoted_no_public_master_table_mirrored.	none; request/source-owner acquisition only	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv
hagen_deleted_sheet_closed	Hagen Cumulative Science Project I	blocked_access_route	0	0	0	0	0	0	0	0	0	0	0	closed_until_archived_sheet_or_user_file	The public code/app route was mirrored, but the Google Sheet backing data route is deleted/gone and only a codebook is accessible. Local status: blocked_access_route.	none; needs archived backing sheet or maintainer-provided data	steps/corpus_results/figure1/remaining_local_mining/remaining-local-mining-status.tsv | steps/corpus_results/figure1/gpt_candidate_pair_mining/gpt_candidate_batch2_mining_status.tsv
