plot_name,plot_inclusion_status,source_label,corpus_what_it_is,what_it_is_why_possible_candidate,confirmed_fields,backing_file,rows_considered,rows_preregistered_equivalent,rows_with_public_local_backing,rows_with_extractable_DN,rows_with_non_retracted_source,rows_contributed,rows_left_out_within_source,why,why_in_out,display_label,source_key,citation_key,plot_rows_made_in,rows_currently_included
Plot 3,included,Schäfer/Schwarz 2019 preregistered psychology articles,Preregistered psychology-article key-question effects from the public Schäfer/Schwarz 2019 corpus.,Preregistered psychology-article key-question effects from Schäfer/Schwarz. Possible Plot 3 candidate because the public coded sample separates preregistered from non-preregistered articles and already provides N plus a converted r/d effect for each usable preregistered key effect.,"Known: 93 preregistered coded rows, 89 D/N-ready rows. Confirmed: analytic preregistration flag: yes (93); paper grouping: yes (93); paper D/N: yes (89); support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv,93,93,93,89,93,89,4,"included as preregistered key-question effects with local D/N; support status is not coded, so the plot marks them separately",Included: 89 preregistered key-effect rows enter as support-not-coded preregistered results. The 4 remaining coded rows lack usable positive D/N.,Schäfer/Schwarz preregistered psychology articles,sch_fer_schwarz_2019_preregistered_psychology_articles,schaefer2019meaningfulness,89,89
Plot 3,included,Scheel et al. 2021 preregistered-hypotheses corpus,Registered Reports/preregistered-hypothesis table with a recoverable D/N subset.,Published psychology Registered Reports coded by Scheel et al. as preregistered hypotheses. Possible Plot 3 candidate because each row is an analytically preregistered confirmatory hypothesis and the local appendix table recovers D/N for the extractable subset.,"Known: 71 preregistered hypothesis rows, 32 D/N-ready rows. Confirmed: analytic preregistration: yes (71); support status: yes (32); journal provenance: yes (32); paper D/N: yes (32).",data/derived/paper_tables/table_40_preregistered_hypotheses_scheel_2021_psa_cr001_corpus.csv,71,71,71,32,71,32,39,base preregistered-results corpus already on disk; 32 hypotheses have extractable D/N rows and 39 do not,Included: 32 hypotheses enter. The remaining 39 Scheel rows are real preregistered hypotheses but do not have local D/N rows in the current table.,Registered Reports preregistered-hypotheses corpus,scheel_et_al_2021_preregistered_hypotheses_corpus,scheel2021,32,32
Plot 3,included,SCORE/COS preregistration-indicated original papers,SCORE/COS sampled social-behavioral papers whose original paper IDs are flagged as preregistration-indicated.,"The SCORE/COS claim corpus was rechecked because its OSF manifest includes `orig_prereg-indicated.csv`. That file flags original papers with apparent preregistration, and the existing SCORE D/N parser already reconstructs paper-level D/N for a subset of those papers.","Known: 245 unique SCORE paper IDs marked `prereg=True`, 31 deduplicated paper-level D/N rows. Confirmed: paper-level preregistration indication: yes (245); paper grouping: yes; D/N: yes (31); claim-specific preregistration mapping: no; support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv; data/raw/corpus_candidates/score/orig_prereg-indicated.csv,245,245,245,31,245,31,214,included as a paper-level preregistration-indicated SCORE subset; journal TOP-factor preregistration-policy scores are deliberately ignored,"Included: 31 paper-level rows enter. The remaining 214 preregistration-indicated SCORE paper IDs do not currently have a deduplicated positive D/N row in the local SCORE candidate build. Caveat: the available flag is paper-level, so the table does not assert that every extracted claim was the exact preregistered primary hypothesis.",SCORE/COS preregistration-indicated papers,score_cos_preregistration_indicated_original_papers,tyner2026,31,31
Plot 3,included,PSA-CR002 cognitive reappraisal preregistered hypotheses,Psychological Science Accelerator COVID-19 cognitive-reappraisal project with article-reported preregistered hypothesis rows.,"PSA-CR002 was considered because the article explicitly labels Table 2 as effect sizes and statistics for each preregistered hypothesis, while Table 3 reports the relevant arm sample sizes after preregistered exclusions.",Known: 12 Table 2 preregistered hypothesis rows. Confirmed: analytic preregistration: yes (12); source focal selector: Table 2 preregistered hypothesis rows; reported Cohen's d: yes (12); arm/sample N: yes from Table 3 (12); support status: yes.,Wang et al. 2021 Tables 2-3; DOI 10.1038/s41562-021-01173-x,12,12,12,12,12,12,0,"included because it has explicit preregistered hypothesis rows, reported D, and source-reported arm Ns",Included: 12 preregistered PSA-CR002 Table 2 hypotheses enter. The signs of the reported effects are hypothesis-direction-coded in the article; the plotted D axis uses magnitudes.,PSA-CR002 cognitive reappraisal hypotheses,psa_cr002_cognitive_reappraisal_preregistered_hypotheses,wang2021psacr002,12,12
Plot 3,included,Dorison et al. 2022 PSA-CR001 pooled preregistered rows,Pooled primary preregistered PSA-CR001 confirmatory rows.,PSA-CR001 was a preregistered 52-country COVID-19 framing project. Possible Plot 3 candidate because four primary confirmatory outcomes can be represented as pooled D/N rows rather than as nested country cells.,Known: 4 pooled primary outcomes. Confirmed: analytic preregistration: yes (4); support status: yes (4); pooled N: yes (4); pooled D: yes (4).,data/derived/paper_tables/table_41_added_preregistered_rows_from_psa_cr001_dorison_et_al_2022.csv,4,4,4,4,4,4,0,adds pooled confirmatory preregistered rows that belong in the same comparison layer,Included: the four primary PSA-CR001 confirmatory outcomes enter as pooled rows. Country-level cells stay collapsed here to avoid nested non-independent Plot 3 rows.,PSA-CR001 pooled preregistered rows,dorison_et_al_2022_psa_cr001_pooled_preregistered_rows,dorison2022,4,4
Plot 3,included,ManyBabies 1 infant-directed speech pooled preregistered row,ManyBabies 1 pooled infant-directed-speech versus adult-directed-speech preference project.,ManyBabies 1 was considered because the project page documents a large preregistered many-lab infant study and the AMPPS article reports the pooled primary infant-directed-speech preference effect with N and Cohen's d.,"Known: one pooled primary IDS-versus-ADS effect. Confirmed: preregistered many-lab project: yes; focal pooled primary effect: yes; N: 2,329 babies tested; reported Cohen's d: 0.35; Plot 1 duplicate check: no local ManyBabies 1 pair row found.",ManyBabies 1 project page and ManyBabies Consortium 2020; DOI 10.1177/2515245919900809,1,1,1,1,1,1,0,included as a pooled preregistered many-lab primary result with N and reported D,"Included: one pooled ManyBabies 1 infant-directed-speech preference row enters. Lab, method, age, and language moderator rows are deliberately not added to avoid nested non-independent Plot 3 rows.",ManyBabies 1 IDS pooled row,manybabies_1_infant_directed_speech_pooled_preregistered_row,manyBabies2020Ids,1,1
Plot 3,included,PSA004 true-belief/Gettier pooled preregistered row,Psychological Science Accelerator true-belief/Gettier cross-cultural conceptual-replication project.,"PSA004 was considered because the public PSA project page and Hall et al. article report a pooled preregistered cross-cultural contrast for standard justified true belief versus Gettier-type cases, with N and an odds ratio.","Known: one pooled standard JTB-versus-Gettier project effect. Confirmed: preregistered PSA project: yes; focal pooled effect: yes; N: 4,724; OR: 1.86; D conversion: yes via Chinn log-OR-to-d.",PSA004 project page and Hall et al. 2024; DOI 10.1177/25152459241267902,1,1,1,1,1,1,0,included as a pooled preregistered project effect with N and an OR-to-D conversion,"Included: one pooled PSA004 standard JTB-versus-Gettier row enters. This is related to, but not identical with, the Darrel-vignette PSA004 Plot 1 replication-pair rescue; the source catalog flags the cross-plot overlap risk.",PSA004 true-belief/Gettier pooled row,psa004_true_belief_gettier_pooled_preregistered_row,hall2024psa004Turri,1,1
Plot 3,not_included,ClinicalTrials.gov registry-result D/N comparator,Finer-grained ClinicalTrials.gov results extraction with D/N proxies for registry outcome rows.,ClinicalTrials.gov results were rechecked because they are the largest local preregistered-like bucket: trial records have registered outcomes and the parser recovers N plus p-value/effect-size proxies. A cleaner sub-sidecar now isolates phase-2+ randomized interventional trials with exactly one locally eligible primary two-group row.,"Known locally: broad sidecar has 7,722 trial-median registry rows and 7,722 D/N-ready rows. Cleaner local sub-sidecar has 3,149 phase-2+ one-primary randomized rows. Confirmed: outcome type: yes in raw file; study type/allocation/phase: yes in raw file; N/effect proxy: yes; direct arm-level D: no; protocol/SAP timing audit: no.",data/derived/corpus_candidates/candidate_d_n_papers.csv,7722,3149,7722,7722,7722,0,7722,"not included because this is registry-result evidence, not the current standalone published/preregistered confirmatory-result layer","Not included in strict Plot 3: 7,722 broad D/N rows and 3,149 cleaner one-primary randomized rows are real and local, but the current D is a registry p-value/enrollment proxy and no protocol/SAP pre-measurement audit proves exact analytic prespecification. The cleaner subset remains a named sensitivity sidecar.",ClinicalTrials.gov registry-result D/N comparator,clinicaltrials_gov_registry_result_d_n_comparator,du2024,0,0
Plot 3,not_included,Brodeur et al. 2024 preregistered/PAP economics table tests,"Top-journal economics table-test extraction with row-level preregistration, pre-analysis-plan, and PAP-power flags in the local raw notes.",The Brodeur economics corpus was rechecked because it is the other local source that produces thousands of preregistration-flagged D/N rows: many extracted table tests are from studies marked as preregistered or having a pre-analysis plan.,"Known locally: 10,071 extracted economics test rows, 3,724 D/N-ready rows with preregistration/PAP/PAP-power flags, collapsing to 70 papers. Confirmed: preregistration flag rows: 3,547; pre-analysis-plan flag rows: 2,006; PAP-power flag rows: 1,720; D/N: yes; focal/main-result selector: no; exact test-level PAP mapping: no.",data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,10071,3724,10071,3724,10071,0,3724,not included because these are preregistration/PAP-flagged extracted table tests without a paper-level focal or main-result selector,"Not included: the preregistration/PAP flags are real and account for 3,724 D/N-ready extracted table-test rows, but the flags are not enough to prove that each coefficient/test is the exact prespecified confirmatory hypothesis. No focal/main-result selector is available, so this remains a sensitivity lane rather than strict Plot 3 evidence.",Brodeur preregistered/PAP table tests,brodeur_et_al_2024_preregistered_pap_economics_table_tests,brodeur2020,0,0
Plot 3,not_included,FORRT FReD / Replication Database,Replication Database/FReD original-replication pairs and original-side published target claims.,FReD was rechecked because it is a large replication database and the local clean export contributes many D/N rows to the replication and published-result layers.,Known locally: 843 FReD pair rows in the replication-pair file and 796 original published-target D/N rows in the published corpus. Confirmed: D/N: yes; original-replication pairing: yes; analytic preregistration flag for each source result: no.,data/derived/corpus_candidates/candidate_d_n_papers.csv,843,0,843,843,843,0,843,not included because FReD is a replication-pair database rather than a preregistered-results corpus,Not included: FReD is already represented through Plot 1 pair evidence and Plot 2 original-target published evidence. The clean export does not make those rows standalone preregistered confirmatory results.,FORRT FReD / Replication Database,forrt_fred_replication_database,,0,0
