candidate_id	candidate_name	route_type	candidate_route	worklist_path	source_url	final_url	mirror_status	error_or_blocker	content_type	byte_count	sha256	local_path	retrieval_method	created_at
IND-017	Signing at the beginning and dishonesty	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1073/pnas.1209746109	https://pnas.org/doi/10.1073/pnas.1209746109	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-017	Signing at the beginning and dishonesty	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1073/pnas.1911695117	https://pnas.org/doi/full/10.1073/pnas.1911695117	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-022	Early goal-directed therapy for severe sepsis/septic shock	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa010307	https://www.nejm.org/doi/abs/10.1056/NEJMoa010307	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-022	Early goal-directed therapy for severe sepsis/septic shock	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa1401602	https://www.nejm.org/action/cookieAbsent	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-022	Early goal-directed therapy for severe sepsis/septic shock	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa1404380	https://www.nejm.org/doi/10.1056/NEJMoa1404380?cookieSet=1	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-022	Early goal-directed therapy for severe sepsis/septic shock	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa1500896	https://www.nejm.org/doi/10.1056/NEJMoa1500896	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-022	Early goal-directed therapy for severe sepsis/septic shock	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://figshare.com/articles/dataset/ProMISe_trial_data/1359853	https://figshare.com/articles/dataset/ProMISe_trial_data/1359853	mirrored		text/html; charset=UTF-8	2009	444b3c0512cd0d62467229e86345eab8de62cdab219dd1e8661631423888fe36	data/raw/replication_projects/individual_search_batch001/IND-022/05_figshare_com_articles_dataset_promise_trial_data_1359853_444b3c0512cd.html	python_urllib_user_agent	2026-05-05T00:00:00
IND-023	Activated protein C for severe sepsis	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJM200103083441001	https://www.nejm.org/doi/abs/10.1056/NEJM200103083441001	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-023	Activated protein C for severe sepsis	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa1202290	https://www.nejm.org/doi/abs/10.1056/NEJMoa1202290	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-024	Intensive insulin therapy / tight glucose control in ICU	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa011300	https://www.nejm.org/doi/abs/10.1056/NEJMoa011300	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-024	Intensive insulin therapy / tight glucose control in ICU	route_to_individual_d_equivalent_extraction	d_equivalent_figure1b	steps/individual_replication_papers/figure1/individual-paper-worklist-d-equivalent.tsv	https://doi.org/10.1056/NEJMoa0810625	https://www.nejm.org/doi/abs/10.1056/NEJMoa0810625	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-016	Marshmallow test / delay of gratification	route_to_native_only_extraction	native_only	steps/individual_replication_papers/figure1/individual-paper-worklist-native-only.tsv	https://doi.org/10.1037/0012-1649.26.6.978	https://psycnet.apa.org:443/doiLanding?doi=10.1037/0012-1649.26.6.978	mirrored		text/html; charset=UTF-8	7946	8ad2a6e8ad13b75823925df86dd928ef20f59794f50a7fc5e5c4d392179a9bb6	data/raw/replication_projects/individual_search_batch001/IND-016/01_psycnet_apa_org_443_doilanding_doi_10_1037_0012_1649_26_6_978_8ad2a6e8ad13.html	python_urllib_user_agent	2026-05-05T00:00:00
IND-016	Marshmallow test / delay of gratification	route_to_native_only_extraction	native_only	steps/individual_replication_papers/figure1/individual-paper-worklist-native-only.tsv	https://doi.org/10.1177/0956797618761661	https://journals.sagepub.com/doi/10.1177/0956797618761661	failed	http_error_403	text/html; charset=UTF-8	0			python_urllib_user_agent	2026-05-05T00:00:00
IND-020	Growth mindset / praise and educational outcomes	route_to_native_only_extraction	native_only	steps/individual_replication_papers/figure1/individual-paper-worklist-native-only.tsv	https://doi.org/10.31235/osf.io/tsdwy	https://osf.io/tsdwy	mirrored		text/html	4190	c1df7be23f683d962a8550695672438d011bf23ec574a572af356cfeb5038c53	data/raw/replication_projects/individual_search_batch001/IND-020/01_osf_io_tsdwy_c1df7be23f68.html	python_urllib_user_agent	2026-05-05T00:00:00
