manifest_path	candidate_index	candidate_id	candidate_name	domain	candidate_route	confidence	original_title	original_doi	replication_title	replication_doi	conversion_route	dedupe_risk	source_object_urls_json	dedupe_terms_json	relationship_evidence_json	value_availability_json	local_match_count	matched_root_pair_ids	matched_source_family_keys	route_decision	route_reason	created_at
steps/searches/figure1/individualrepsearch-api-batch001.json	1	api_candidate_e1d480fa16f7df49	unresolved original target -> Investigating Variation in Replicability	metadata_api_search	coverage_only	low			Investigating Variation in Replicability	10.1027/1864-9335/a000178	unknown_until_full_text	medium	"[""https://doi.org/10.1027/1864-9335/a000178"", ""http://eprints.lse.ac.uk/65158/1/__lse.ac.uk_storage_LIBRARY_Secondary_libfile_shared_repository_Content_Kappes%2C%20H_Investigating%20variation_Kappes_Investigating%20variation_2016.pdf"", ""https://orcid.org/0000-0002-6335-3888>,"", ""http://hdl.handle.net/2066/131506"", ""https://hdl.handle.net/2066/131506"", ""https://pure.uvt.nl/ws/files/3053309/SP_Ijzerman_investigating_SP_2014.pdf"", ""https://research.tilburguniversity.edu/en/publications/a53e2ea1-bea5-447d-8f4d-8d89eb640448"", ""http://hdl.handle.net/10211.3/204641"", ""http://osf.io/project/WX7Ck"", ""https://openalex.org/W1941783251""]"	"[""10.1027/1864-9335/a000178"", ""Investigating Variation in Replicability"", ""api_candidate_e1d480fa16f7df49""]"	"{""relation_score"": 4, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""bility. And two effects \u2013 flag priming influencing conservatism and currency priming influencing system justification \u2013 did not replicate. We compared whether the conditions such as lab versus online or US versus international sample predicted effect magnitudes. By and large they did not. The results of this small sample of effects suggest that replicabil"", ""where_seen"": ""abstract_failed_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	35	fig1_pair_092ccd6f86a6d64b|fig1_pair_10f2c02ca395a53a|fig1_pair_22a4bfe5b457b4f6|fig1_pair_29f87cca66d7f9d7|fig1_pair_2f07f7ce3ce4d876|fig1_pair_3c228006a3c4d3f6|fig1_pair_441b71be37e980c3|fig1_pair_5db7bea39f1909a0|fig1_pair_5f9af3f7fd92668d|fig1_pair_652a42a665ca6f78|fig1_pair_708e77c18ece2614|fig1_pair_7e929be3dc70bd91|fig1_pair_a1a0a63dc5ba21da|fig1_pair_a8285f4991a9572e|fig1_pair_a9b5a531068f6686|fig1_pair_ba6895a9b3b19cf5|fig1_pair_bd5dd95cb6f6ac3c|fig1_pair_c4738a2a95dd6db9|fig1_pair_c937d9ffb68530f5|fig1_pair_cd2289f28c94cc83|fig1_pair_e89e177a49170690|fig1_pair_ea811f90b8396f2d|fig1_pair_f717b40f12d4d366|fig1_pair_fa30b157dd6d5beb	fred_curatescience|many_labs_1	already_in_root_table	Local dedupe found DOI/title/source-family evidence in current Figure 1 pair maps; keep as duplicate/search-recall evidence unless outcome-level review shows a genuinely new contrast.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	2	api_candidate_9db26ff9b8058473	Effects on Social and Food Judgments -> Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments	metadata_api_search	coverage_only	medium	Effects on Social and Food Judgments		Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments	10.1371/journal.pone.0042510	unknown_until_full_text	high	"[""https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0042510&type=printable"", ""https://doi.org/10.1371/journal.pone.0042510"", ""https://pubmed.ncbi.nlm.nih.gov/22952597"", ""http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.776.7525"", ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042510"", ""https://doaj.org/article/e8e46da29cce40e8a55999b5cda66f5d"", ""https://www.ncbi.nlm.nih.gov/pmc/articles/3430642"", ""https://openalex.org/W2106777508""]"	"[""10.1371/journal.pone.0042510"", ""Effects on Social and Food Judgments"", ""Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments"", ""api_candidate_9db26ff9b8058473""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""Priming of Social Distance? Failure to Replicate Effects on Social and Food Judgments"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	3	api_candidate_eaa8a0f32f7aab10	unresolved original target -> Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games	metadata_api_search	coverage_only	medium			Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games	10.2139/ssrn.4437368	unknown_until_full_text	medium	"[""https://doi.org/10.2139/ssrn.4437368""]"	"[""10.2139/ssrn.4437368"", ""Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games"", ""api_candidate_eaa8a0f32f7aab10""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Direct Replication and Additional Sensitivity and Robustness Analyses for Frederiksen (2022): A Replication Report from the Nottingham Replication Games"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	4	api_candidate_5b170b3d5b414951	unresolved original target -> Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”	metadata_api_search	coverage_only	medium			Kinds of Replication: Examining the Meanings of “Conceptual Replication” and “Direct Replication”	10.1177/17456916211041116	unknown_until_full_text	medium	"[""https://doi.org/10.1177/17456916211041116""]"	"[""10.1177/17456916211041116"", ""Kinds of Replication: Examining the Meanings of \u201cConceptual Replication\u201d and \u201cDirect Replication\u201d"", ""api_candidate_5b170b3d5b414951""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Kinds of Replication: Examining the Meanings of \u201cConceptual Replication\u201d and \u201cDirect Replication\u201d"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	5	api_candidate_30df9bd015197ff3	unresolved original target -> Replication matters: Advances in Translational Research's commitment to Direct Replication Studies	metadata_api_search	coverage_only	medium			Replication matters: Advances in Translational Research's commitment to Direct Replication Studies	10.1556/1661.2025.00102	unknown_until_full_text	medium	"[""https://doi.org/10.1556/1661.2025.00102""]"	"[""10.1556/1661.2025.00102"", ""Replication matters: Advances in Translational Research's commitment to Direct Replication Studies"", ""api_candidate_30df9bd015197ff3""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Replication matters: Advances in Translational Research's commitment to Direct Replication Studies"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	6	api_candidate_c357889f3d12f9b1	unresolved original target -> Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory	metadata_api_search	coverage_only	low			Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory	10.1111/jne.12384	unknown_until_full_text	medium	"[""https://doi.org/10.1111/jne.12384"", ""https://pubmed.ncbi.nlm.nih.gov/26991328"", ""https://resolver.caltech.edu/CaltechAUTHORS:20160321-103005344"", ""https://authors.library.caltech.edu/65528/2/jne12384-sup-0001-AppendixS1.docx"", ""http://hdl.handle.net/2078.1/170508"", ""https://openalex.org/W2300073160""]"	"[""10.1111/jne.12384"", ""Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory"", ""api_candidate_c357889f3d12f9b1""]"	"{""relation_score"": 4, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""the exact pharmacokinetic properties of OT, as well as crucial statistical and methodological issues and the absence of direct replication efforts, may have lead to a publication bias in the IN-OT literature, with many unpublished studies with null results remaining buried in laboratory drawers. Is there a file drawer problem in IN-OT research? If this is"", ""where_seen"": ""abstract_direct_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	7	api_candidate_08e65261327b34f0	unresolved original target -> Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect	metadata_api_search	coverage_only	medium			Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect	10.1037/pspa0000121.supp	unknown_until_full_text	medium	"[""https://doi.org/10.1037/pspa0000121.supp""]"	"[""10.1037/pspa0000121.supp"", ""Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect"", ""api_candidate_08e65261327b34f0""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	8	api_candidate_103a002c9f30029a	unresolved original target -> Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States	metadata_api_search	coverage_only	medium			Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States	10.3389/fpubh.2020.579559	unknown_until_full_text	medium	"[""https://doi.org/10.3389/fpubh.2020.579559""]"	"[""10.3389/fpubh.2020.579559"", ""Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States"", ""api_candidate_103a002c9f30029a""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	9	api_candidate_431e61f1075c1e4b	unresolved original target -> Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate	metadata_api_search	coverage_only	medium			Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate	10.1038/npp.2012.245	unknown_until_full_text	medium	"[""https://www.nature.com/articles/npp2012245.pdf"", ""https://doi.org/10.1038/npp.2012.245"", ""https://pubmed.ncbi.nlm.nih.gov/23303064"", ""http://europepmc.org/articles/PMC3671998"", ""https://www.ncbi.nlm.nih.gov/pmc/articles/3671998"", ""https://openalex.org/W1964829008""]"	"[""10.1038/npp.2012.245"", ""Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate"", ""api_candidate_431e61f1075c1e4b""]"	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate"", ""where_seen"": ""title_exact_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
steps/searches/figure1/individualrepsearch-api-batch001.json	10	api_candidate_ac518393f5f3ba70	unresolved original target -> The CASA theory no longer applies to desktop computers	metadata_api_search	coverage_only	low			The CASA theory no longer applies to desktop computers	10.1038/s41598-023-46527-9	unknown_until_full_text	medium	"[""https://www.nature.com/articles/s41598-023-46527-9.pdf"", ""https://doi.org/10.1038/s41598-023-46527-9"", ""https://pubmed.ncbi.nlm.nih.gov/37952037"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC10640629/pdf/41598_2023_Article_46527.pdf"", ""https://www.ncbi.nlm.nih.gov/pmc/articles/10640629"", ""https://repository.ubn.ru.nl//bitstream/handle/2066/301737/301737.pdf"", ""https://hdl.handle.net/2066/301737"", ""https://doaj.org/article/06b5ccc69bba45b6a2352460c85342bf"", ""https://openalex.org/W4388592748""]"	"[""10.1038/s41598-023-46527-9"", ""The CASA theory no longer applies to desktop computers"", ""api_candidate_ac518393f5f3ba70""]"	"{""relation_score"": 4, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""ly 1990s, and, since then, technology and its place in society has evolved and changed drastically. Here we show, via a direct replication of the original study, that participants no longer interact with desktop computers as if they are human. This suggests that the CASA Theory may only work for emergent technology, an important concept that needs to be ta"", ""where_seen"": ""abstract_direct_replication""}"	"{""conversion_route"": ""unknown_until_full_text"", ""effect_metric"": ""unknown"", ""has_original_effect"": ""unclear"", ""has_original_n"": ""unclear"", ""has_replication_or_followup_effect"": ""unclear"", ""has_replication_or_followup_n"": ""unclear"", ""replication_n_larger_than_original_n"": ""unclear""}"	0			route_to_coverage_only	No local pair match; retain as source-object coverage denominator until values are found.	2026-05-05T22:54:12.031761+00:00
