followup_id	plot_label	corpus_database_id	name	followup_track	original_assigned_to	decision	confidence	gpt_needed	assign_after_codex	selected_artifact_ids	selected_local_paths	selected_sample_paths	parser_evidence_counts	decision_basis	recommended_next_action	landing_url	raw_url	existing_local_paths
result_artifact_followup_d55e71bdfef18769	figure1	biblio_search_crossref_480bdd504b25	A large-scale replication of scenario-based experiments in psychology and management using large language models	codex_parser_or_result_mapping	codex	local_source_specific_mapping_needed	medium	no	codex	source_artifact_2484a8e13eafc140 | source_artifact_bad4644b12d90286 | source_artifact_616aff02bd00003a	data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_2484a8e13eafc140__43588_2025_840_MOESM4_ESM.csv | data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_bad4644b12d90286__43588_2025_840_MOESM5_ESM.csv | data/raw/source_artifacts/figure1_acquisition_tabular_first/biblio_search_crossref_480bdd504b25/source_artifact_616aff02bd00003a__43588_2025_840_MOESM8_ESM.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_2484a8e13eafc140.json | steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_bad4644b12d90286.json | steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_616aff02bd00003a.json	parser_rows=9; sampled=5; high=0; medium=3; extracted=0	Local sampled artifacts have some Figure 1 signals but do not pass the generic result-table gate.	Inspect local samples/files and write a source-specific mapping or parser decision; generic parser routing is not enough.	https://doi.org/10.1038/s43588-025-00840-7		
result_artifact_followup_29fc3f67577b5fea	figure1	manual_search_manual_tracker_27c69d9dadd0	AEA RCT Registry	codex_parser_or_result_mapping	codex	tracker_context_not_result_artifact	high	no	none	source_artifact_4f7e82721e815523	reports/corpus_suggestion_tracker.md	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_remaining_downloadable/artifact_samples/source_artifact_4f7e82721e815523.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	The only local object is reports/corpus_suggestion_tracker.md, which is a prose tracker/context file, not a result-bearing artifact.	Do not spend parser/GPT time on the tracker markdown row; resolve through the named concrete corpus/source artifacts instead.	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	
result_artifact_followup_2d3fb7d3846e1de5	figure1	manual_search_manual_tracker_6b5329f87edd	BEAR combined database	codex_parser_or_result_mapping	codex	tracker_context_not_result_artifact	high	no	none	source_artifact_b8d58f969c8260d2	reports/corpus_suggestion_tracker.md	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_remaining_downloadable/artifact_samples/source_artifact_b8d58f969c8260d2.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	The only local object is reports/corpus_suggestion_tracker.md, which is a prose tracker/context file, not a result-bearing artifact.	Do not spend parser/GPT time on the tracker markdown row; resolve through the named concrete corpus/source artifacts instead.	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	
result_artifact_followup_56d164927ac3a595	figure1	manual_search_manual_tracker_2bcb667abe09	Barnett/Wren biomedical CI scrape through BEAR	codex_parser_or_result_mapping	codex	tracker_context_not_result_artifact	high	no	none	source_artifact_c8eefca7d40c2835	reports/corpus_suggestion_tracker.md	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_remaining_downloadable/artifact_samples/source_artifact_c8eefca7d40c2835.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	The only local object is reports/corpus_suggestion_tracker.md, which is a prose tracker/context file, not a result-bearing artifact.	Do not spend parser/GPT time on the tracker markdown row; resolve through the named concrete corpus/source artifacts instead.	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	
result_artifact_followup_9ed2d106f5458c76	figure1	manual_search_manual_tracker_9244ee72b4a3	Brodeur economics through BEAR	codex_parser_or_result_mapping	codex	tracker_context_not_result_artifact	high	no	none	source_artifact_aafc089eaeb41ace	reports/corpus_suggestion_tracker.md	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_remaining_downloadable/artifact_samples/source_artifact_aafc089eaeb41ace.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	The only local object is reports/corpus_suggestion_tracker.md, which is a prose tracker/context file, not a result-bearing artifact.	Do not spend parser/GPT time on the tracker markdown row; resolve through the named concrete corpus/source artifacts instead.	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	
result_artifact_followup_376f815512e69837	figure1	repo_search_datacite_1afe2afc30e4	Circadian typology is related to resilience and optimism in healthy adults	codex_parser_or_result_mapping	codex	local_source_specific_mapping_needed	medium	no	codex	source_artifact_4f426212c129ce3f	data/raw/source_artifacts/figure1_acquisition_tabular_first/repo_search_datacite_1afe2afc30e4/source_artifact_4f426212c129ce3f__Dataset.csv	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_tabular_first/artifact_samples/source_artifact_4f426212c129ce3f.json	parser_rows=3; sampled=2; high=0; medium=1; extracted=0	Local sampled artifacts have some Figure 1 signals but do not pass the generic result-table gate.	Inspect local samples/files and write a source-specific mapping or parser decision; generic parser routing is not enough.	https://zenodo.org/doi/10.5281/zenodo.18681900 | https://zenodo.org/doi/10.5281/zenodo.18681901		
result_artifact_followup_77093355cb003fa5	figure1	repo_search_datacite_6c01420a9094	FAIRsharing record for: Framework for Open and Reproducible Research Training - Replication Database	codex_parser_or_result_mapping	codex	landing_snapshot_context_not_result_artifact	high	no	none	source_artifact_d8ae1da06b4816c4	steps/source_inventory/figure1/result_artifact_acquisition/landing_snapshots/repo_search_datacite_6c01420a9094/landing.html	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_documents/artifact_samples/source_artifact_d8ae1da06b4816c4.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	All matched local evidence paths are landing.html snapshots under result_artifact_acquisition/landing_snapshots, not source result tables.	Keep the landing snapshot as acquisition/context evidence; do not parse it as the corpus result catalog.	https://fairsharing.org/10.25504/FAIRsharing.ee7dba		
result_artifact_followup_757f000c623056be	figure1	manual_search_manual_tracker_f27967338f24	FORRT Replication Database / FReD	codex_parser_or_result_mapping	codex	tracker_context_not_result_artifact	high	no	none	source_artifact_e9f835a85ba5922b	reports/corpus_suggestion_tracker.md	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_remaining_downloadable/artifact_samples/source_artifact_e9f835a85ba5922b.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	The only local object is reports/corpus_suggestion_tracker.md, which is a prose tracker/context file, not a result-bearing artifact.	Do not spend parser/GPT time on the tracker markdown row; resolve through the named concrete corpus/source artifacts instead.	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	
result_artifact_followup_247734070f8d35d8	figure1	repo_search_osf_8bd75e546e74	Fork of Reproducibility Project: Psychology	codex_parser_or_result_mapping	codex	already_integrated_live_pair_source	high	no	none	source_artifact_f019d642b03e5453	data/raw/source_artifacts/figure1_acquisition_documents/repo_search_osf_8bd75e546e74/source_artifact_f019d642b03e5453__OSC2012.pdf	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_documents/artifact_samples/source_artifact_f019d642b03e5453.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	Matched existing plot source catalog integrated source. RPP canonical OSF csv: integrated_in_build=True; terminal_status=integrated; classification=overlap / schema-variant mirror; live_pair_rows=96; catalog_usable_pair_rows=96; notes=Canonical raw CSV; build now reads the `T_r..O.`/`T_r..R.` and `T_N..O.`/`T_N..R.` columns directly.	Do not re-review this local artifact as a new result source; use the existing live/catalog source row and preserve this artifact as audit context.	https://osf.io/wusvb/		
result_artifact_followup_3f6bd230fa30bc34	figure1	manual_search_manual_tracker_3bdb9d12bfd6	Howard et al. 2017 neurology selective reporting bias audit	codex_parser_or_result_mapping	codex	tracker_context_not_result_artifact	high	no	none	source_artifact_f7b51e0d0e21b1ba	reports/corpus_suggestion_tracker.md	steps/source_inventory/figure1/result_artifact_acquisition/mirror_sample_remaining_downloadable/artifact_samples/source_artifact_f7b51e0d0e21b1ba.json	parser_rows=1; sampled=1; high=0; medium=0; extracted=0	The only local object is reports/corpus_suggestion_tracker.md, which is a prose tracker/context file, not a result-bearing artifact.	Do not spend parser/GPT time on the tracker markdown row; resolve through the named concrete corpus/source artifacts instead.	reports/corpus_suggestion_tracker.md	reports/corpus_suggestion_tracker.md	
