source_result_id	flat_level	flat_label	blocker_category	recommended_next_action	plot_name	source_family	source_directness	result_label	grounding_status	primary_real_world_url_basis	primary_real_world_url	source_bib_real_world_url	source_bib_title	crossref_resolution_status	doi_list	pmid_list	url_list	best_status	source_byte_classes	final_urls	manual_next_step	new_flat_level	new_flat_label	resolution_status	resolved_url	source_title	local_path	byte_class	targeted_resolution_notes	decision	proposed_level	matched_title	matched_url	matched_abstract	paperclip_result_id	paperclip_results_csv_path	match_basis	post_paperclip_level	post_paperclip_label
sr_307943984453	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_SOC.079	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.3765/plsa.v4i1.4501	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	not_promoted	2				s_e854e2b6	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_307943984453_schaefer_2019_np_SOC.079.results.csv		2	corpus_assertion_with_citation
sr_e89d75ebfd8e	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_CLI.064	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	not_promoted	2				s_c2451e26	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_e89d75ebfd8e_schaefer_2019_np_CLI.064.results.csv		2	corpus_assertion_with_citation
sr_b2348504f69b	2	corpus_assertion_with_citation	no_identifier_or_url_in_corpus_row	return to source corpus row and extract DOI/title/authors/year; otherwise mark as corpus-only	Plot 4	linden_2024_random_effects	candidate_child_numeric_row	linden_2018_1	unresolved			https://doi.org/10.1371/journal.pone.0297075	Publication Bias in Psychology: A Closer Look at the Correlation between Sample Size and Effect Size	not_needed_or_not_attempted								2	corpus_assertion_with_citation	not_promoted_corpus_lacks_paper_crosswalk		Linden Study 2 random-paper row: Year 2018 Paper 1	data/raw/corpus_candidates/linden_2024/ATJ_Study2_ESs_and_Ns.sav	corpus_data_file	Read OSF SPSS file directly: Year=2018 Paper=1, d_random=0.42, N_random=350. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.	not_promoted	2				s_0299a34c	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_b2348504f69b_Linden_Study_2_random-paper_row_Year_20.results.csv		2	corpus_assertion_with_citation
sr_3e576eaeee38	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_MUL.077	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.5860/choice.37sup-077	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	not_promoted	2				s_4aad530c	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_3e576eaeee38_plot2_schaefer_2019_np_MUL.077.results.csv		2	corpus_assertion_with_citation
sr_5adb462eb079	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-79-6-959	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037/0021-9010.79.6.959	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | blocked_http_status | request_failed	metadata_record | blocked_no_source_object | not_retrieved	https://api.crossref.org/works/10.1037/0021-9010.79.6.959 | http://psycnet.apa.org/journals/apl/79/6/959.pdf | https://api.datacite.org/dois/10.1037/0021-9010.79.6.959 | https://doi.apa.org/doi/10.1037/0021-9010.79.6.959 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037/0021-9010.79.6.959%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037/0021-9010.79.6.959 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037/0021-9010.79.6.959?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037/0021-9010.79.6.959			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	not_promoted_doi_mismatch_paperclip_title_hit	3	DEVELOPING AND TESTING A TAXOMONY OF LATENESS BEHAVIOR.	https://doi.org/10.5465/ambpp.1993.10315314	Three categories of lateness behavior (Voluntary Type 1, Voluntary Type 2, and Involuntary) are defined and tested using two samples, 353 hospital employees and 402 bank employees. Each category exhib	s_711cdfee	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_5adb462eb079_Developing_and_testing_a_taxonomy_of_lat.results.csv	doi_mismatch_known_10.1037/0021-9010.79.6.959_matched_10.5465/ambpp.1993.10315314	3	target_independently_resolved
sr_644891607462	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_CLI.046	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2001/11/046	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	not_promoted	2				s_a6e444f8	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_644891607462_plot2_schaefer_2019_np_CLI.046.results.csv		2	corpus_assertion_with_citation
sr_1eb547defd9c	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz preregistered psychology articles	candidate_child_numeric_row	plot2::schaefer_2019_preg_25	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1080/13540602.2018.1532407	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	not_promoted	2				s_8bac9c25	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1eb547defd9c_plot2_schaefer_2019_preg_25.results.csv		2	corpus_assertion_with_citation
sr_ec359e2c27e0	3	target_independently_resolved	resolved_but_no_abstract_or_landing_captured	add host-specific abstract/landing parser or manual check	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	2016 preregistered key-question effect (schaefer_2019_preg_50)	represented_work_identifier_in_source_row	doi	https://doi.org/10.1097/01.asm.0001073948.78669.07	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	not_needed_or_not_attempted	10.1097/01.asm.0001073948.78669.07		https://doi.org/10.1097/01.asm.0001073948.78669.07					3	target_independently_resolved	not_promoted_bot_block	https://journals.lww.com/02035738-201601000-00019	ACE Question	data/cache/provenance_level5/sample_300_targeted/10.1097_01.asm.0001073948.78669.07.html	bot_challenge_html	Credible DOI; Crossref/OpenAlex title ACE Question; DOI redirects to LWW ASA Monitor page but automated request hit Cloudflare challenge. No abstract/full text mirrored.	not_promoted	3				s_4be7d91f	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_ec359e2c27e0_ACE_Question.results.csv		3	target_independently_resolved
sr_60c2a469e71e	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-81-5-587	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.81.5.587	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.81.5.587 | https://api.datacite.org/dois/10.1037//0021-9010.81.5.587 | https://doi.apa.org/doi/10.1037/0021-9010.81.5.587 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.81.5.587%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.81.5.587 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.81.5.587?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.81.5.587			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	not_promoted	3				s_04b6d824	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_60c2a469e71e_Recall_memory_recognition_memory_and_t.results.csv		3	target_independently_resolved
sr_c4f5b565a745	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-67-1-119	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.67.1.119	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.67.1.119 | https://api.datacite.org/dois/10.1037//0021-9010.67.1.119 | https://doi.apa.org/doi/10.1037/0021-9010.67.1.119 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.67.1.119%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.67.1.119 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.67.1.119?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.67.1.119			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	not_promoted	3				s_0d66c2f3	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_c4f5b565a745_Women_and_equal_employment_opportunity.results.csv		3	target_independently_resolved
