strength	evidence_type	accepted_when	example_pattern	routing_use
5	title_exact_replication	title names the earlier paper/authors/result and says replication, direct replication, failed replication, or equivalent	Replication of [original title] by [original authors]	sufficient relation evidence for pair candidate after identity normalization
5	title_registered_replication_report	title or metadata says Registered Replication Report and names the original authors/year/study	Registered Replication Report: Author and Author (year)	sufficient relation evidence for pair candidate; still requires study/outcome grain
4	abstract_direct_replication	abstract states that the paper replicated, retested, or attempted to replicate a named earlier study/result	we directly replicated Study 1 from Author et al.	sufficient relation evidence for pair candidate
4	abstract_failed_replication	abstract says failed to replicate, did not replicate, or no evidence for a named earlier result	failed to replicate the effect reported by Author et al.	sufficient relation evidence for pair candidate
4	abstract_independent_validation	abstract identifies a discovery/original cohort or claim and an independent validation/replication cohort	independent validation of the association reported in the discovery cohort	often native_only or d_equivalent_figure1b depending on metric
4	methods_original_study_mapping	methods identify original materials, protocol, study number, intervention, or endpoint being retested	we used the original materials and procedure from Experiment 2	sufficient relation evidence when bibliographic target can be resolved
4	clinical_confirmatory_trial	trial explicitly frames itself as larger, confirmatory, multicenter, pragmatic, or phase 3 follow-up of an earlier named trial/result	a multicenter trial to confirm the benefit observed in the earlier single-center trial	candidate for d_equivalent_figure1b if comparative endpoint values exist
3	results_original_replication_comparison	results compare original and replication effects or show original effect in a forest plot/table	original d = ...; replication d = ...	sufficient when paired with target identity resolution
3	table_pair_mapping	article, supplement, repository, or source table maps original DOI/result to replication DOI/result	row containing original_source, replication_source, outcome, effect_size	sufficient when source object is mirrored or route is recorded
3	preregistration_protocol	preregistration or registered-report protocol names the earlier target and planned replication outcome	preregistered direct replication of Study 1 from Author et al.	sufficient relation evidence; values still need article/data/registry source
3	genetics_discovery_replication_cohort	paper gives explicit discovery-vs-replication or discovery-vs-validation cohort mapping for a named association	discovery cohort; replication cohort; OR/beta and N by cohort	usually native_only unless a preapproved D-equivalent route exists
2	repository_readme	README/data package says it contains replication data and links original and replication papers, but article relation is not yet verified	OSF project for direct replication of Author et al.	manual screen or coverage_only until primary source is resolved
1	ordinary_citation_or_review_seed	review or citing paper mentions an original and possible replication without primary paper/source-object evidence	a review says the result failed to replicate	seed only; not enough for pair inclusion
0	no_relation_evidence	no explicit original/replication, original/follow-up, or discovery/validation mapping is present	ordinary related literature discussion	reject unless later evidence is found
-5	same_data_reanalysis	paper only reanalyzes, robustness-checks, or runs a multiverse on the same dataset	reanalysis of the original data	reject for Figure 1 independent-sample rows; keep as context if useful
-5	computational_only_reproduction	paper only reproduces code, benchmark output, or analysis workflow using the same data	we reproduced the code/results	reject unless a separate computational subplot is intentionally opened
