source_result_id	flat_level	flat_label	flat_reason	old_evidence	plot_name	source_family
sr_307943984453	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	schaefer_schwarz_2019_without_prereg
sr_e89d75ebfd8e	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	schaefer_schwarz_2019_without_prereg
sr_b2348504f69b	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	linden_2024_random_effects
sr_3e576eaeee38	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_5adb462eb079	3	target_independently_resolved	DOI/PMID/NCT/URL resolved independently; no source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_644891607462	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_1eb547defd9c	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz preregistered psychology articles
sr_ec359e2c27e0	3	target_independently_resolved	DOI/PMID/NCT/URL resolved independently; no source object	target_source_independently_grounded	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles
sr_c4f5b565a745	3	target_independently_resolved	DOI/PMID/NCT/URL resolved independently; no source object	target_source_independently_grounded	Plot 4	metabus_open_bosco
sr_d30c0407b24b	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_2ead36cae8e2	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	schaefer_schwarz_2019_without_prereg
sr_10e682ba553b	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_1e8a07a9cd86	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)
sr_22f96d70c38a	2	corpus_assertion_with_citation	external corpus/source assertion has some target/source locator but not independently confirmed	external_source_assertion	Plot 4	linden_2024_random_effects
