metric	value
sample_n	300
rows_with_represented_identifier_or_candidate	296
rows_with_high_confidence_represented_identifier	262
rows_with_source_bib_real_world_url	300
rows_with_any_real_world_url	300
rows_with_primary_real_world_url	297
rows_verified_against_original_source	37
rows_still_need_original_number_verification	263
local_evidence_kind::external_corpus_mirror	245
local_evidence_kind::internal_derived_table	12
local_evidence_kind::mirrored_replication_project	35
local_evidence_kind::missing	2
local_evidence_kind::raw_local_mirror	6
grounding_status::registry_identifier_aea_trial	1
grounding_status::registry_identifier_nct	92
grounding_status::represented_work_crossref_candidate_low_similarity	21
grounding_status::represented_work_crossref_resolved	50
grounding_status::represented_work_identifier_in_source_row	119
grounding_status::represented_work_source_specific_resolved	14
grounding_status::unresolved	3
literal_number_status::literal_number_from_external_corpus_mirror	207
literal_number_status::literal_number_from_internal_derived_table	12
literal_number_status::literal_number_from_local_file_unclear	8
literal_number_status::literal_number_from_package_derived_rescue_row	1
literal_number_status::literal_number_from_registry_mirror	37
literal_number_status::literal_number_from_replication_project_table	35
crossref_resolution_status::candidate_high_similarity	50
crossref_resolution_status::candidate_low_similarity	22
crossref_resolution_status::not_needed_or_not_attempted	213
crossref_resolution_status::source_specific_high_confidence	15
evidence_level_name::external_source_assertion	19
evidence_level_name::original_number_extracted	37
evidence_level_name::original_source_obtained	6
evidence_level_name::target_source_independently_grounded	238
source_is_original::false	257
source_is_original::true	43
number_verified_by_us::false	263
number_verified_by_us::true	37
represented_work_identified::false	19
represented_work_identified::true	281
source_is_external::false	12
source_is_external::true	288
requires_manual_review::false	43
requires_manual_review::true	257
conversion_verified::false	263
conversion_verified::true	37
todo::find_real_world_identifier	3
todo::review_crossref_candidate	22
todo::verify_number_in_original_or_authoritative_source	255
