artifact_id	parent_corpus_database_id	artifact_role	provider	provider_id	parent_provider_id	title	url	raw_url	doi	component_path	file_name	file_type	mime_type	byte_size	local_path	sha256	inventory_status	access_status	candidate_parser_family	pair_field_evidence	n_field_evidence	effect_field_evidence	publication_link_evidence	blocker_codes	next_action	notes	last_seen
source_artifact_72950d5db7ca6b22	corpus_db_appendix_d_supplemental	mirrored_website_result_catalog	local_file	docs/nightmare-hellscape (3).html	corpus_db_appendix_d_supplemental	nightmare-hellscape (3).html				docs	nightmare-hellscape (3).html	html	text/html	1517711	docs/nightmare-hellscape (3).html	9fc5431f8bae412024389283ea853ac26a8430f9c651718907749243761fc444	result_artifact_local_candidate	downloaded	document_context_or_source_object_review						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_dc96df3dc218656b	corpus_db_eerp_effectdata_py	code_file	local_file	data/raw/replication_projects/eerp/effectdata.py	corpus_db_eerp_effectdata_py	effectdata.py				data/raw/replication_projects/eerp	effectdata.py	py	text/x-python	6513	data/raw/replication_projects/eerp/effectdata.py	e78b2c06e015ab84354a4b98c472c3532ff9c28297723ca01d63e46858b437d9	result_artifact_local_candidate	downloaded	analysis_code_inventory			filename terms: effect			mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_5ad3050ff35c95f6	corpus_db_eerp_marketdata_zip	archive_file	local_file	data/raw/replication_projects/eerp/marketdata.zip	corpus_db_eerp_marketdata_zip	marketdata.zip				data/raw/replication_projects/eerp	marketdata.zip	zip	application/zip	320346	data/raw/replication_projects/eerp/marketdata.zip	d4d11903d7e56ffedb877540a13aedecde6c3def3892e1954d85a00e46b446a9	result_artifact_local_candidate	downloaded	zip_member_inventory						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_8c0af26a0ae1f148	corpus_db_family_manybabies_3	data_file	local_file	data/raw/replication_projects/lead_harvest/manybabies_3/landing_probe.json	corpus_db_family_manybabies_3	landing_probe.json				data/raw/replication_projects/lead_harvest/manybabies_3	landing_probe.json	json	application/json	357	data/raw/replication_projects/lead_harvest/manybabies_3/landing_probe.json	f8c4ba6466dd7b8707c1b8603b6c966388a5b431ee2cce4fca91d89b0b7392a7	result_artifact_local_candidate	downloaded	json_metadata_inventory						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_fcea75b5de271ffe	corpus_db_family_manybabies_3	data_file	local_file	data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv	corpus_db_family_manybabies_3	manybabies_3__stage.csv				data/derived/replication_pairs/harvest/staged	manybabies_3__stage.csv	csv	text/csv	1265	data/derived/replication_pairs/harvest/staged/manybabies_3__stage.csv	e5874d053254cd741d28e46f70de48fb4c500d6edc5423cc2a1abdbe85de54a9	result_artifact_local_candidate	downloaded	csv_table_parser						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_acac28e7405aa5b7	corpus_db_family_manybabies_3	archive_file	local_file	data/raw/replication_projects/lead_harvest/manybabies_3/github_mb3_rules/mb3-rules-master.zip	corpus_db_family_manybabies_3	mb3-rules-master.zip				data/raw/replication_projects/lead_harvest/manybabies_3/github_mb3_rules	mb3-rules-master.zip	zip	application/zip	2859840	data/raw/replication_projects/lead_harvest/manybabies_3/github_mb3_rules/mb3-rules-master.zip	6b0c43f9d58f742cb6364c919ee2bc6fea5095f152b3afe9d78352d21c26ad8f	result_artifact_local_candidate	downloaded	zip_member_inventory						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_7232381cdf2591c8	corpus_db_family_manybabies_3	article_or_supplement_pdf	local_file	data/raw/replication_projects/lead_harvest/manybabies_3/osf_01__pilot-analysis.pdf	corpus_db_family_manybabies_3	osf_01__pilot-analysis.pdf				data/raw/replication_projects/lead_harvest/manybabies_3	osf_01__pilot-analysis.pdf	pdf	application/pdf	134594	data/raw/replication_projects/lead_harvest/manybabies_3/osf_01__pilot-analysis.pdf	2c6bdac5d944e84a38a25aa06b6e3c0019efc40fc6eca2b8f0fc9c4fbf4fba15	result_artifact_local_candidate	downloaded	document_context_or_source_object_review						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_342a87ed04622bc5	corpus_db_family_manybabies_3	data_file	local_file	data/raw/replication_projects/lead_harvest/manybabies_3/osf_01_download.json	corpus_db_family_manybabies_3	osf_01_download.json				data/raw/replication_projects/lead_harvest/manybabies_3	osf_01_download.json	json	application/json	1189	data/raw/replication_projects/lead_harvest/manybabies_3/osf_01_download.json	0535db89a28b5f043c6e5ac9cf37bb51617e26a4b27d7d3e0d7006b2bc149166	result_artifact_local_candidate	downloaded	json_metadata_inventory						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_f900016297f238f5	corpus_db_family_manybabies_3	article_or_supplement_pdf	local_file	data/raw/replication_projects/lead_harvest/manybabies_3/osf_02__MB3-Stimulus_creation_and_norming.pdf	corpus_db_family_manybabies_3	osf_02__MB3-Stimulus_creation_and_norming.pdf				data/raw/replication_projects/lead_harvest/manybabies_3	osf_02__MB3-Stimulus_creation_and_norming.pdf	pdf	application/pdf	160514	data/raw/replication_projects/lead_harvest/manybabies_3/osf_02__MB3-Stimulus_creation_and_norming.pdf	a87930adb0f918e5351c4a972d63a4ef08b0d2ffa97d4fbe17d1b425eda03924	result_artifact_local_candidate	downloaded	document_context_or_source_object_review		filename terms: _n	filename terms: d_			mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
source_artifact_a10d7edd5dff84e3	corpus_db_family_manybabies_3	data_file	local_file	data/raw/replication_projects/lead_harvest/manybabies_3/osf_02_download.json	corpus_db_family_manybabies_3	osf_02_download.json				data/raw/replication_projects/lead_harvest/manybabies_3	osf_02_download.json	json	application/json	1264	data/raw/replication_projects/lead_harvest/manybabies_3/osf_02_download.json	df038ee38c8cb80ba32abedfb70f24ab32f39fa983e4ef9927f04993220d78ba	result_artifact_local_candidate	downloaded	json_metadata_inventory						mirror_sample_and_route_parser_candidate	Codex-local artifact proposal; source_reason=local_mirror_identification_still_needed	2026-05-02
