source_id	classification_type	classification_value	classification_source	classification_confidence	notes
work_nct_nct01606124	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct01606124	field	Clinical medicine	plot_row_json	high	
src_du2024	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
src_du2024	field	Clinical medicine	plot_row_json	high	
work_nct_nct01606124	study_design	clinical trial registry result	source_directness	medium	
work_title_weight_loss_maintenance_weight_regain	source_family	Ying 2023 manual partial reconstruction	human_check_source_result_sample_300.tsv	medium	
work_title_weight_loss_maintenance_weight_regain	field	Clinical medicine	inferred_from_source_family	medium	
src_ying2023pilot	source_family	Ying 2023 manual partial reconstruction	human_check_source_result_sample_300.tsv	medium	
src_ying2023pilot	field	Clinical medicine	inferred_from_source_family	medium	
work_title_weight_loss_maintenance_weight_regain	study_design	replication pair	source_directness	medium	
work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	field	Business	plot_row_json	high	
src_tyner2026	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
src_tyner2026	field	Business	plot_row_json	high	
work_title_shoppers_acceptance_and_perceptions_of_electronic_shelf_labels	study_design	corpus extracted result	source_directness	medium	
work_title_jap_79_5_691	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
work_title_jap_79_5_691	field	io_psychology_management	plot_row_json	high	
src_bosco2020metabus	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
src_bosco2020metabus	field	io_psychology_management	plot_row_json	high	
work_title_jap_79_5_691	study_design	corpus extracted result	source_directness	medium	
work_nct_nct00373113	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct00373113	field	Clinical medicine	plot_row_json	high	
work_nct_nct00373113	study_design	clinical trial registry result	source_directness	medium	
work_nct_nct00676650	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct00676650	field	Clinical medicine	plot_row_json	high	
work_nct_nct00676650	study_design	clinical trial registry result	source_directness	medium	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	source_family	Schäfer/Schwarz 2019 preregistered psychology articles	human_check_source_result_sample_300.tsv	medium	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	field	Psychology/health	plot_row_json	high	
src_schaefer2019meaningfulness	source_family	Schäfer/Schwarz 2019 preregistered psychology articles	human_check_source_result_sample_300.tsv	medium	
src_schaefer2019meaningfulness	field	Psychology/health	plot_row_json	high	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_81	study_design	corpus extracted result	source_directness	medium	
work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	field	genetics_biomedicine	plot_row_json	high	
src_yengo2022	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
src_yengo2022	field	genetics_biomedicine	plot_row_json	high	
work_title_host_genetic_factors_of_covid_19_susceptibility_and_disease_severi	study_design	corpus extracted result	source_directness	medium	
work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
src_tosh2024	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_title_disgust_photographs_lead_to_slower_discrimination_than_frightening	study_design	replication pair	source_directness	medium	
work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	source_family	replication_pair_originals_bridge	human_check_source_result_sample_300.tsv	medium	
work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	field	experimental philosophy	plot_row_json	high	
src_internalplot2replicationpairoriginalsbridge	source_family	replication_pair_originals_bridge	human_check_source_result_sample_300.tsv	medium	
src_internalplot2replicationpairoriginalsbridge	field	experimental philosophy	plot_row_json	high	
