source_result_id	flat_level	flat_label	blocker_category	recommended_next_action	plot_name	source_family	source_directness	result_label	grounding_status	primary_real_world_url_basis	primary_real_world_url	source_bib_real_world_url	source_bib_title	crossref_resolution_status	doi_list	pmid_list	url_list	best_status	source_byte_classes	final_urls	manual_next_step	new_flat_level	new_flat_label	resolution_status	resolved_url	source_title	local_path	byte_class	targeted_resolution_notes
sr_362d2e514afe	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-79-5-691	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.79.5.691	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.79.5.691 | https://api.datacite.org/dois/10.1037//0021-9010.79.5.691 | https://doi.apa.org/doi/10.1037/0021-9010.79.5.691 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.79.5.691%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.79.5.691 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.79.5.691?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.79.5.691			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_307943984453	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_SOC.079	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.3765/plsa.v4i1.4501	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_e89d75ebfd8e	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_CLI.064	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_b2348504f69b	2	corpus_assertion_with_citation	no_identifier_or_url_in_corpus_row	return to source corpus row and extract DOI/title/authors/year; otherwise mark as corpus-only	Plot 4	linden_2024_random_effects	candidate_child_numeric_row	linden_2018_1	unresolved			https://doi.org/10.1371/journal.pone.0297075	Publication Bias in Psychology: A Closer Look at the Correlation between Sample Size and Effect Size	not_needed_or_not_attempted								2	corpus_assertion_with_citation	not_promoted_corpus_lacks_paper_crosswalk		Linden Study 2 random-paper row: Year 2018 Paper 1	data/raw/corpus_candidates/linden_2024/ATJ_Study2_ESs_and_Ns.sav	corpus_data_file	Read OSF SPSS file directly: Year=2018 Paper=1, d_random=0.42, N_random=350. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.
sr_21fe810427f5	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::JAP-77-4-453	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.77.4.453	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.77.4.453 | https://api.datacite.org/dois/10.1037//0021-9010.77.4.453 | https://doi.apa.org/doi/10.1037/0021-9010.77.4.453 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.77.4.453%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.77.4.453 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.77.4.453?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.77.4.453			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_1c71871780ff	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::PP-63-2-439	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1111/peps.2010.63.issue-2	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1111/peps.2010.63.issue-2 | http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fpeps.2010.63.issue-2 | https://api.datacite.org/dois/10.1111/peps.2010.63.issue-2 | https://onlinelibrary.wiley.com/toc/17446570/63/2 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1111/peps.2010.63.issue-2%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1111/peps.2010.63.issue-2 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/peps.2010.63.issue-2?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_corrected_issue_to_article_doi_but_blocked	https://doi.org/10.1111/j.1744-6570.2010.01177.x	DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS	data/cache/provenance_level5/sample_300_targeted/10.1111_j.1744-6570.2010.01177.x.html	bot_challenge_html	Original lead was Wiley issue DOI 10.1111/peps.2010.63.issue-2. Crossref bibliographic search by Personnel Psychology 63(2):439 found exact article DOI 10.1111/j.1744-6570.2010.01177.x. Wiley landing/TDM routes blocked or returned 400; OpenAlex has an aggregator abstract but no OA full text, so no level promotion.
sr_3e576eaeee38	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_MUL.077	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.5860/choice.37sup-077	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_5adb462eb079	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-79-6-959	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037/0021-9010.79.6.959	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | blocked_http_status | request_failed	metadata_record | blocked_no_source_object | not_retrieved	https://api.crossref.org/works/10.1037/0021-9010.79.6.959 | http://psycnet.apa.org/journals/apl/79/6/959.pdf | https://api.datacite.org/dois/10.1037/0021-9010.79.6.959 | https://doi.apa.org/doi/10.1037/0021-9010.79.6.959 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037/0021-9010.79.6.959%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037/0021-9010.79.6.959 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037/0021-9010.79.6.959?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037/0021-9010.79.6.959			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_644891607462	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_CLI.046	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2001/11/046	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_1eb547defd9c	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz preregistered psychology articles	candidate_child_numeric_row	plot2::schaefer_2019_preg_25	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1080/13540602.2018.1532407	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
