followup_id	plot_label	corpus_database_id	name	followup_track	original_assigned_to	decision	confidence	gpt_needed	assign_after_codex	selected_artifact_ids	selected_local_paths	selected_sample_paths	parser_evidence_counts	decision_basis	recommended_next_action	landing_url	raw_url	existing_local_paths
result_artifact_followup_d50bce80522bbbac	figure1	repo_search_osf_de5a21118204	"A multi-site Registered Replication Report of Olson &amp; Fazio (2001) ""Implicit Attitude Formation Through Classical Conditioning"""	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:3hjpf:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/3hjpf/		
result_artifact_followup_52934b30ab540397	figure1	repo_search_datacite_6abf8205297e	Combining specific task-oriented training with manual therapy to improve balance and mobility in patients after stroke: a mixed methods pilot randomised controlled trial	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	figshare_inventory:failed:no_figshare_article_id	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://tandf.figshare.com/articles/dataset/Combining_specific_task-oriented_training_with_manual_therapy_to_improve_balance_and_mobility_in_patients_after_stroke_a_mixed_methods_pilot_randomised_controlled_trial/22598456/1 | https://tandf.figshare.com/articles/dataset/Combining_specific_task-oriented_training_with_manual_therapy_to_improve_balance_and_mobility_in_patients_after_stroke_a_mixed_methods_pilot_randomised_controlled_trial/22598456		
result_artifact_followup_c9b8c2edac3f27fa	figure1	repo_search_osf_59c938bcdc36	Direct replications in the era of open sampling	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	osf_inventory:no_files_found:x2gfc:providers=1 | files=0	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/x2gfc/		
result_artifact_followup_7a2b51377f4c2574	figure1	repo_search_osf_fdacffa906b9	Headspace for Parents: A Pilot Randomised Controlled Trial	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:63av8:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/63av8/		
result_artifact_followup_2adc26de8c0f37ab	figure1	repo_search_osf_038ad61f41bb	"Incidental Attitude Formation via the Surveillance Task: A Multi-Site Registered Replication Report of Olson and Fazio (2001) ""Implicit Attitude Formation Through Classical Conditioning"""	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:xqv8b:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/xqv8b/		
result_artifact_followup_4f3c39fbc7ccbf6f	figure1	domain_search_osf_523739d259cc	Management Science Reproducibility Project	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:mjqg5:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/mjqg5/		
result_artifact_followup_2babe5ca55ea9895	figure1	repo_search_osf_c75edd0dddf4	Mastroianni_2023 Replication Project	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:bt58q:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/bt58q/		
result_artifact_followup_744375c528aebaea	figure1	repo_search_osf_aabadb891e8b	Preregistration: Literature Search - Replication studies and original studies	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:dsqep:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/dsqep/		
result_artifact_followup_da0046b5d3881aed	figure1	repo_search_datacite_6f6fbb02bbc4	Primary data and results	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	figshare_inventory:failed:no_figshare_article_id	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://figshare.com/articles/dataset/Primary_data_and_results/31971444/1		
result_artifact_followup_6571b8f058ec89a2	figure1	repo_search_osf_9925b7bbbb00	Recommender Systems Reproducibility Project	codex_provider_repair	codex	deterministic_repair_exhausted	medium	yes	gpt				parser_rows=0; sampled=0; high=0; medium=0; extracted=0	"osf_inventory:no_files_found:yw84j:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | 8karz:failed:{""errors"":[{""detail"":""Not found.""}],""meta"":{""version"":""2.0""}} | files=0"	Escalate to GPT external artifact resolution or later user/manual route if GPT cannot find a public object.	https://osf.io/yw84j/ | https://osf.io/8karz/		
