source_result_id	old_flat_level	old_flat_label	new_flat_level	new_flat_label	level_changed_yn	old_blocker_category	resolution_status	plot_name	source_family	result_label	old_primary_real_world_url	resolved_url	source_title	local_path	sha256	byte_class	targeted_resolution_notes	targeted_resolved_at_utc
sr_362d2e514afe	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 4	metabus_open_bosco	JAP-79-5-691	https://doi.org/10.1037//0021-9010.79.5.691	https://doi.org/10.1037//0021-9010.79.5.691				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
sr_a182ef5b0da7	3	target_independently_resolved	7	final_paper_obtained	true	resolved_but_no_abstract_or_landing_captured	promoted_final_article_html	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	2016 preregistered key-question effect (schaefer_2019_preg_81)	https://doi.org/10.3389/fpsyg.2016.01155	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01155/full	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect	data/cache/provenance_level5/sample_300_targeted/frontiers_10.3389_fpsyg.2016.01155.html	7669e04a78295a5c9701f2b74824552f4a947c6f4f86adcde7ca9ac0b43b1e76	full_article_html	Credible DOI in corpus row; fetched Frontiers full article HTML; OpenAlex/Unpaywall classify as gold OA publishedVersion/CC-BY. PDF endpoint timed out but HTML is enough for level 7.	2026-04-30T19:57:36.508089+00:00
sr_307943984453	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 4	schaefer_schwarz_2019_without_prereg	schaefer_2019_np_SOC.079	https://doi.org/10.3765/plsa.v4i1.4501			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_e89d75ebfd8e	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 4	schaefer_schwarz_2019_without_prereg	schaefer_2019_np_CLI.064	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_b2348504f69b	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	no_identifier_or_url_in_corpus_row	not_promoted_corpus_lacks_paper_crosswalk	Plot 4	linden_2024_random_effects	linden_2018_1			Linden Study 2 random-paper row: Year 2018 Paper 1	data/raw/corpus_candidates/linden_2024/ATJ_Study2_ESs_and_Ns.sav	8db0347809e96b5f079e559258b283c40bda79311614e23724077d611aec8e05	corpus_data_file	Read OSF SPSS file directly: Year=2018 Paper=1, d_random=0.42, N_random=350. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.	2026-04-30T19:57:36.508089+00:00
sr_05a96a248d34	3	target_independently_resolved	7	final_paper_obtained	true	resolved_but_no_abstract_or_landing_captured	promoted_final_article_html	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	2016 preregistered key-question effect (schaefer_2019_preg_60)	https://doi.org/10.3389/fpsyg.2016.01155	https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01155/full	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect	data/cache/provenance_level5/sample_300_targeted/frontiers_10.3389_fpsyg.2016.01155.html	7669e04a78295a5c9701f2b74824552f4a947c6f4f86adcde7ca9ac0b43b1e76	full_article_html	Same represented DOI as sr_a182ef5b0da7; fetched Frontiers full article HTML; OpenAlex/Unpaywall classify as gold OA publishedVersion/CC-BY.	2026-04-30T19:57:36.508089+00:00
sr_21fe810427f5	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 2	metaBUS open Bosco subset	plot2::JAP-77-4-453	https://doi.org/10.1037//0021-9010.77.4.453	https://doi.org/10.1037//0021-9010.77.4.453				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
sr_1c71871780ff	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_corrected_issue_to_article_doi_but_blocked	Plot 2	metaBUS open Bosco subset	plot2::PP-63-2-439	https://doi.org/10.1111/peps.2010.63.issue-2	https://doi.org/10.1111/j.1744-6570.2010.01177.x	DEVELOPMENT OF THE “GETTING READY FOR YOUR NEXT JOB” INVENTORY FOR UNEMPLOYED INDIVIDUALS	data/cache/provenance_level5/sample_300_targeted/10.1111_j.1744-6570.2010.01177.x.html	951dddead0ed61c6b50eda1baf1fa70b1d7e9b08c997ad95ccaee74d53780c86	bot_challenge_html	Original lead was Wiley issue DOI 10.1111/peps.2010.63.issue-2. Crossref bibliographic search by Personnel Psychology 63(2):439 found exact article DOI 10.1111/j.1744-6570.2010.01177.x. Wiley landing/TDM routes blocked or returned 400; OpenAlex has an aggregator abstract but no OA full text, so no level promotion.	2026-04-30T19:57:36.508089+00:00
sr_3e576eaeee38	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_MUL.077	https://doi.org/10.5860/choice.37sup-077			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_5adb462eb079	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 4	metabus_open_bosco	JAP-79-6-959	https://doi.org/10.1037/0021-9010.79.6.959	https://doi.org/10.1037/0021-9010.79.6.959				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
