surface	free_or_public	api_or_manual	priority	first_queries_or_inputs	why_useful	cautions
OpenReview venue/group API and static groups	yes	api	high	ML_Reproducibility_Challenge/2022 | ML_Reproducibility_Challenge/2021/Fall | NeurIPS.cc/2019/Reproducibility_Challenge	Retrieve challenge venue notes for MLRC/NeurIPS/ICLR reproducibility-report inventories.	Individual reports need original-paper and metric extraction; some submissions are anonymized.
Semantic Scholar Academic Graph and Datasets API	yes	api	high	reproducibility challenge | replication report original paper | robustness reproducibility	Expands citations/references from known seed papers and links original papers, reports, venues, and authors.	Discovery only; file-level evidence still needs repository resolution.
OpenAIRE Research Graph	yes	api	high	replication dataset | reproducibility software | robustness replication package	Links publications, datasets, software, methods, and other research outputs.	Graph links can be noisy or incomplete.
RePEc, IDEAS, EconPapers, and EconStor	yes	both	high	Institute for Replication | robustness reproducibility | Replication Games	High-yield for economics working papers and replication-package traces.	Many economics replication hits are original-paper data/code packages.
GitHub organization, topic, and code search	partly	api	high	replication original effect_size | reproducibility challenge original_paper | PooledMarketR | BrazilianReproducibilityInitiative	Finds canonical code/data inventories hosted outside scholarly repositories.	Rate-limited and noisy; require multi-row or source-family evidence before promotion.
CRAN, R-universe, PyPI, and package registries	yes	both	medium	replication R package dataset | replicability R package | PooledMarketR	Package metadata can reveal canonical repository, DOI, and data-table names.	Software packages without replication data should route to context.
FORRT Replication Hub and FReD-related tools	yes	manual	high	FORRT large-scale replication projects | FReD Explorer | FLoRA Annotator	Seed/dedupe authority for psychology and adjacent large-scale replication projects.	FORRT listing is not itself extractable effect evidence.
Zenodo community and record-file search	yes	api	medium	replication database | reproducibility challenge | replication package robustness	Add file-aware seeding for DataCite/Zenodo deposited packages.	Most replication package records reproduce an original article.
Figshare public metadata and files API	yes	api	medium	replication effect size | reproducibility dataset original | registered replication	Can expose supplemental workbooks and tables missed by DataCite-only search.	Institutional instances fragment records; titles can be generic.
Dryad API and associated article links	yes	api	medium	replication original | replicability ecology | large-scale replication	Biology/ecology/evolution repository with public API and article links.	Dataset-centric; usually needs associated article DOI resolution.
NLM Dataset Catalog plus NCBI E-utilities and PMC OA	yes	both	high	Brazilian Reproducibility Initiative | reproducibility project cancer biology | REPEAT Initiative	Biomedical bridge surface for datasets, PubMed/PMC articles, and supplements.	Biomedical replication false positives require aggressive filters.
Dataverse collection-level inventory	yes	api	high	Institute for Replication | Metaketa | Social Science Reproduction Platform | journal replication data	Collection-level pages can be reusable source objects even when individual datasets are original-paper packages.	Do not promote generic journal collections without source-family structure.
Wikidata SPARQL	yes	api	medium	Reproducibility Project Cancer Biology | SCORE | Institute for Replication	Alias expansion for projects, DOIs, funders, and alternate names.	Never treat Wikidata alone as corpus evidence.
Funder project databases	yes	both	medium	replication studies project database | SCORE | Replication Studies programme	Identifies funded replication projects before publications and repository deposits are obvious.	Funding records are leads, not completed source objects.
Journal gateway and special-section pages	partly	manual	medium	replication studies special issue | registered replication report collection | preclinical reproducibility and robustness	Finds gateway/collection pages missed by metadata APIs.	Usually individual-paper worklists unless collection has structured table.
