candidate_key	candidate_name	priority	initial_decision	current_repo_status	url	status	http_status	content_type	local_path	sha256	size_bytes	elapsed_sec	error
hagen_hcsp	Hagen Cumulative Science Project I	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_access_route_checked	https://docs.google.com/spreadsheets/d/1VBnEGbanAt5yLXkpMGRGJWZeuw1TLNVudksgXyksHq0/edit?ts=5beae9fc#gid=0	http_error	410					0.26	HTTP Error 410: Gone
hagen_hcsp	Hagen Cumulative Science Project I	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_access_route_checked	https://docs.google.com/spreadsheets/d/1f5QYC1F-Pd2v9N4DU6Yf29jdKPhOzdad6B2GDhWoVjM/edit?usp=sharing	already_local	200	text/html; charset=utf-8	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/hagen_hcsp/148059e84112__edit.html	46b613c2b0a45bf8f4dc184b7a1cb0933104c165561d57c1930070e794adc42b	264603	0.24	
hagen_hcsp	Hagen Cumulative Science Project I	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_access_route_checked	https://github.com/pandorica-opens/Hagen-Cumulative-Science-Project-I	already_local	200	text/html; charset=utf-8	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/hagen_hcsp/9ef1b4ccd421__Hagen-Cumulative-Science-Project-I.html	53b3bc37e8408373fd715ae29cd28617e425018bb28350c6b6ef69b2e7755709	253553	0.65	
hagen_hcsp	Hagen Cumulative Science Project I	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_access_route_checked	https://github.com/pandorica-opens/Hagen-Cumulative-Science-Project-I/archive/refs/heads/master.zip	already_local	200	application/zip	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/hagen_hcsp/6db593ef97dd__master.zip	4fcfc0c5389b403c58596d00644ab90c8b98b1949005fc8e93290cdc7ad131b7	1580442	0.63	
hagen_hcsp	Hagen Cumulative Science Project I	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_access_route_checked	https://osf.io/d7za8/	already_local	200	text/html	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/hagen_hcsp/f689ebf40b57__d7za8.html	c1df7be23f683d962a8550695672438d011bf23ec574a572af356cfeb5038c53	4190	0.19	
many_smiles	Many Smiles Collaboration	mirror_first_net_new	maybe_pass_after_custom_parser	mirrored_context_not_integrated	https://manysmilescollaboration.com/	failed						0.43	URLError(gaierror(-2, 'Name or service not known'))
many_smiles	Many Smiles Collaboration	mirror_first_net_new	maybe_pass_after_custom_parser	mirrored_context_not_integrated	https://osf.io/download/qd2s3/	already_local	200	application/octet-stream	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/many_smiles/f3c2cd6f83b8__qd2s3.bin	44efe9c7d1a21a4daa29271363dfd6c97f83f2747caf3b5519502d5137f93bf8	3812874	1.13	
many_smiles	Many Smiles Collaboration	mirror_first_net_new	maybe_pass_after_custom_parser	mirrored_context_not_integrated	https://www.nature.com/articles/s41562-022-01458-9	already_local	200	"text/html; charset=""UTF-8"""	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/many_smiles/8f4464df0b3d__s41562-022-01458-9.html	d2ffb310b0f54d09e487a2eaad99922f6bf4f2a60deac402fe9ea0ee2e4fe155	504938	1.60	
asset_market_replications	High-powered preregistered replications of experimental asset-market results	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_seen_as_net_new	https://doi.org/10.2139/ssrn.5048949	http_error	403					0.45	HTTP Error 403: Forbidden
asset_market_replications	High-powered preregistered replications of experimental asset-market results	mirror_first_net_new	maybe_pass_after_custom_parser	not_integrated_seen_as_net_new	https://osf.io/aepxt/	already_local	200	text/html	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/asset_market_replications/a46d8dd2cadc__aepxt.html	c1df7be23f683d962a8550695672438d011bf23ec574a572af356cfeb5038c53	4190	0.20	
