source_result_id	result_label	source_family	source_directness	coding_status	local_evidence_path	local_evidence_sha256	local_evidence_kind	doi_list	pmid_list	pmcid_list	nct_list	url_list	aea_trial_list	dataverse_dvn_list	source_bib_key	source_bib_doi	source_bib_url	source_bib_title	source_bib_real_world_url	crossref_resolved_doi	crossref_resolved_title	crossref_score	crossref_title_similarity	crossref_resolution_method	crossref_resolution_status	crossref_query_url	primary_real_world_url	primary_real_world_url_basis	grounding_status	literal_number_status	number_verified_against_original_source	grounding_note	evidence_level	evidence_level_name	source_is_original	number_verified_by_us	represented_work_identified	source_is_external	requires_manual_review	conversion_verified
sr_a2792b5f35b5	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months	ClinicalTrials.gov phase-2+ primary randomized registry rows	raw_ctgov_registry_row	fully_coded	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	external_corpus_mirror				NCT01606124				du2024	10.6084/m9.figshare.24225166	https://doi.org/10.6084/m9.figshare.24225166	Clinical trials efficacy results dataset (derivative of AACT)	https://doi.org/10.6084/m9.figshare.24225166						not_needed_or_not_attempted		https://clinicaltrials.gov/study/NCT01606124	nct	registry_identifier_nct	literal_number_from_registry_mirror	yes	NCT registry row is treated as authoritative registry source for the literal result.	6	original_number_extracted	true	true	true	true	false	true
sr_bc78312ff9c4	Weight-loss maintenance / weight regain	Ying 2023 manual partial reconstruction	staged_replication_pair_source_row	coded_with_schema_gaps	data/derived/replication_pairs/harvest/staged/ying_2023_partial_reconstruction__stage.csv	132f4777c0b9137f9eac23ca45d60435820cbfa4565439f091d1022c11094dc3	internal_derived_table	10.1089/acm.2006.6237 | 10.1186/1472-6882-12-19		PMC3375195		https://pmc.ncbi.nlm.nih.gov/articles/PMC3375195/			ying2023pilot	10.1016/j.jclinepi.2023.06.017	https://doi.org/10.1016/j.jclinepi.2023.06.017	Pilot trials may improve the quality of full-scale trials: a meta-research study	https://doi.org/10.1016/j.jclinepi.2023.06.017						not_needed_or_not_attempted		https://doi.org/10.1089/acm.2006.6237	doi	represented_work_identifier_in_source_row	literal_number_from_internal_derived_table	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	4	target_source_independently_grounded	false	false	true	false	true	false
sr_5598a1474491	Shoppers' Acceptance And Perceptions Of Electronic Shelf Labels	score_cos_claims	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/score/extracted_claims.csv	a86ba837b95738f3cb6d876cd9b0ab86db540208fb8eb89c0fa2d5f47829f60a	external_corpus_mirror	10.1016/j.jbusres.2016.03.030							tyner2026	10.31222/osf.io/b7x8f_v1	https://doi.org/10.31222/osf.io/b7x8f\_v1	Investigating the replicability of the social and behavioural sciences	https://doi.org/10.31222/osf.io/b7x8f_v1						not_needed_or_not_attempted		https://doi.org/10.1016/j.jbusres.2016.03.030	doi	represented_work_identifier_in_source_row	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	4	target_source_independently_grounded	false	false	true	true	true	false
sr_362d2e514afe	JAP-79-5-691	metabus_open_bosco	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/metabus/Ver2-08_MasterDB_JAP-PPsych_1980-2010.xlsx	6ddc9c27ad135da96a982ed20004713fe4904741e34caee71828d7efbce9df1b	external_corpus_mirror								bosco2020metabus	10.1177/2515245919882693	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	https://doi.org/10.1177/2515245919882693	10.1037//0021-9010.79.5.691	Effects of procedural and distributive justice on reactions to a selection system.	32.710564		metabus_journal_volume_issue_page	candidate_high_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=Journal+of+Applied+Psychology+1994.0+79+5+691	https://doi.org/10.1037//0021-9010.79.5.691	crossref_doi	represented_work_crossref_resolved	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	4	target_source_independently_grounded	false	false	true	true	true	false
sr_9800e39769a1	Progression-Free Survival (PFS)	ClinicalTrials.gov phase-2+ primary randomized registry rows	raw_ctgov_registry_row	fully_coded	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	external_corpus_mirror				NCT00373113				du2024	10.6084/m9.figshare.24225166	https://doi.org/10.6084/m9.figshare.24225166	Clinical trials efficacy results dataset (derivative of AACT)	https://doi.org/10.6084/m9.figshare.24225166						not_needed_or_not_attempted		https://clinicaltrials.gov/study/NCT00373113	nct	registry_identifier_nct	literal_number_from_registry_mirror	yes	NCT registry row is treated as authoritative registry source for the literal result.	6	original_number_extracted	true	true	true	true	false	true
sr_06354aed9477	Overall Survival (OS)	ClinicalTrials.gov phase-2+ primary randomized registry rows	raw_ctgov_registry_row	fully_coded	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	external_corpus_mirror				NCT00676650				du2024	10.6084/m9.figshare.24225166	https://doi.org/10.6084/m9.figshare.24225166	Clinical trials efficacy results dataset (derivative of AACT)	https://doi.org/10.6084/m9.figshare.24225166						not_needed_or_not_attempted		https://clinicaltrials.gov/study/NCT00676650	nct	registry_identifier_nct	literal_number_from_registry_mirror	yes	NCT registry row is treated as authoritative registry source for the literal result.	6	original_number_extracted	true	true	true	true	false	true
sr_a182ef5b0da7	2016 preregistered key-question effect (schaefer_2019_preg_81)	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/schaefer_schwarz_2019/studies_with_prereg.xlsx	3d8068ab385e8e454aeba870adb4415adc9d306fda33b188a22f1b522e5acdd6	external_corpus_mirror								schaefer2019meaningfulness	10.3389/fpsyg.2019.00813	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	https://doi.org/10.3389/fpsyg.2019.00813	10.3389/fpsyg.2016.01155	Commentary: A Multilab Preregistered Replication of the Ego-Depletion Effect		0.430	title_year_journal	candidate_low_similarity	https://api.crossref.org/works?rows=1&query.bibliographic=2016+preregistered+key-question+effect+%28schaefer_2019_preg_81%29+2016.0	https://doi.org/10.3389/fpsyg.2016.01155	crossref_doi	represented_work_crossref_candidate_low_similarity	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	2	external_source_assertion	false	false	false	true	true	false
sr_f562e2645cdd	Host genetic factors of COVID-19 susceptibility and disease severity in a Thai population.	gwas_catalog	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/gwas_catalog/gwas-catalog-download-associations-alt-full.tsv	d54e13c7e17b4809c5d57202a5c76b8315dc5beb6e154377255df1de550fc8d2	external_corpus_mirror		35013560						yengo2022	10.1038/s41586-022-05275-y	https://doi.org/10.1038/s41586-022-05275-y	A saturated map of common genetic variants associated with human height	https://doi.org/10.1038/s41586-022-05275-y						not_needed_or_not_attempted		https://pubmed.ncbi.nlm.nih.gov/35013560/	pmid	represented_work_identifier_in_source_row	literal_number_from_external_corpus_mirror	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	4	target_source_independently_grounded	false	false	true	true	true	false
sr_8486dcbc1804	Disgust photographs lead to slower discrimination than frightening photographs	FReD filtered pair table	replication_pair_source_row	coded_with_schema_gaps	data/raw/replication_projects/fred/FReD.xlsx	59545e3fc0c2979d97507097526319ec8c275aae3ac40c0d1a6d327492079e6b	mirrored_replication_project	10.1080/02699931.2017.1394817 | 10.1080/02699931.2020.1863187							tosh2024	10.1090/noti3044	https://doi.org/10.1090/noti3044	The Piranha Problem: Large Effects Swimming in a Small Pond	https://doi.org/10.1090/noti3044						not_needed_or_not_attempted		https://doi.org/10.1080/02699931.2017.1394817	doi	represented_work_identifier_in_source_row	literal_number_from_replication_project_table	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	4	target_source_independently_grounded	false	false	true	true	true	false
sr_3dcf8949d2f9	Turri et al. (2015) Experiment 1 Darrel/Squirrel knowledge attribution	replication_pair_originals_bridge	candidate_child_numeric_row	coded_with_schema_gaps	data/derived/replication_pairs/replication_pairs_figure2_rule_subset.csv	56416eb6fa2046912b2cc8916f9774e73668537f01abb4963ff9f73a2263fda8	internal_derived_table	10.1371/journal.pone.0121537							internalPlot2ReplicationPairOriginalsBridge		https://www.rexdouglass.com	Replication-pair original-side bridge for Plot 2	https://www.rexdouglass.com						not_needed_or_not_attempted		https://doi.org/10.1371/journal.pone.0121537	doi	represented_work_identifier_in_source_row	literal_number_from_internal_derived_table	not_yet	Real-world handle found, but the numeric result still needs original/source verification.	4	target_source_independently_grounded	false	false	true	false	true	false
sr_c8398f907345	Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition	ctgov_finer_grained_kg	candidate_child_numeric_row	coded_with_schema_gaps	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	external_corpus_mirror				NCT03527173				du2024	10.6084/m9.figshare.24225166	https://doi.org/10.6084/m9.figshare.24225166	Clinical trials efficacy results dataset (derivative of AACT)	https://doi.org/10.6084/m9.figshare.24225166						not_needed_or_not_attempted		https://clinicaltrials.gov/study/NCT03527173	nct	registry_identifier_nct	literal_number_from_external_corpus_mirror	not_yet	NCT registry row is treated as authoritative registry source for the literal result.	4	target_source_independently_grounded	false	false	true	true	true	false
sr_7a1e8bbfd877	Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	ClinicalTrials.gov phase-2+ primary randomized registry rows	raw_ctgov_registry_row	fully_coded	data/raw/corpus_candidates/ctgov_kg/efficacy_df.csv	b41c171dad525c18cd25b9df1429a9590282e9cb91fbcf606b72ef00d7222af1	external_corpus_mirror				NCT00866658				du2024	10.6084/m9.figshare.24225166	https://doi.org/10.6084/m9.figshare.24225166	Clinical trials efficacy results dataset (derivative of AACT)	https://doi.org/10.6084/m9.figshare.24225166						not_needed_or_not_attempted		https://clinicaltrials.gov/study/NCT00866658	nct	registry_identifier_nct	literal_number_from_registry_mirror	yes	NCT registry row is treated as authoritative registry source for the literal result.	6	original_number_extracted	true	true	true	true	false	true
