row_id,paper_or_project,source_family,planned_outcome_label,estimate,se,analytic_n,cluster_n,control_mean,effect_metric_native,conversion_flag,source_table,source_url,promotion_recommendation
egap_mk1_vote_choice_good_news,Metaketa I pooled information/accountability,EGAP Metaketa I,"Vote choice, good news",0.0004,0.015,13196,,0.356,linear-probability pooled treatment coefficient,stage_native_metric_clustered_adjusted_lpm,ScienceAdvances/tables/tab_11.1_main_effects.tex,https://raw.githubusercontent.com/egap/metaketa-i/main/ScienceAdvances/tables/tab_11.1_main_effects.tex,native_panel_seed
egap_mk1_vote_choice_bad_news,Metaketa I pooled information/accountability,EGAP Metaketa I,"Vote choice, bad news",-0.003,0.015,12531,,0.398,linear-probability pooled treatment coefficient,stage_native_metric_clustered_adjusted_lpm,ScienceAdvances/tables/tab_11.1_main_effects.tex,https://raw.githubusercontent.com/egap/metaketa-i/main/ScienceAdvances/tables/tab_11.1_main_effects.tex,native_panel_seed
egap_mk1_turnout_good_news,Metaketa I pooled information/accountability,EGAP Metaketa I,"Turnout, good news",0.002,0.013,14500,,0.843,linear-probability pooled treatment coefficient,stage_native_metric_clustered_adjusted_lpm,ScienceAdvances/tables/tab_11.1_main_effects.tex,https://raw.githubusercontent.com/egap/metaketa-i/main/ScienceAdvances/tables/tab_11.1_main_effects.tex,native_panel_seed
egap_mk1_turnout_bad_news,Metaketa I pooled information/accountability,EGAP Metaketa I,"Turnout, bad news",0.018,0.012,13148,,0.835,linear-probability pooled treatment coefficient,stage_native_metric_clustered_adjusted_lpm,ScienceAdvances/tables/tab_11.1_main_effects.tex,https://raw.githubusercontent.com/egap/metaketa-i/main/ScienceAdvances/tables/tab_11.1_main_effects.tex,native_panel_seed
egap_mk1_vote_choice_overall,Metaketa I pooled information/accountability,EGAP Metaketa I,"Vote choice, overall",0.003,0.01,25820,,0.369,linear-probability pooled treatment coefficient,stage_native_metric_clustered_adjusted_lpm,ScienceAdvances/tables/tab_11.1_main_effects.tex,https://raw.githubusercontent.com/egap/metaketa-i/main/ScienceAdvances/tables/tab_11.1_main_effects.tex,native_panel_seed
egap_mk1_turnout_overall,Metaketa I pooled information/accountability,EGAP Metaketa I,"Turnout, overall",0.017,0.008,27737,,0.837,linear-probability pooled treatment coefficient,stage_native_metric_clustered_adjusted_lpm,ScienceAdvances/tables/tab_11.1_main_effects.tex,https://raw.githubusercontent.com/egap/metaketa-i/main/ScienceAdvances/tables/tab_11.1_main_effects.tex,native_panel_seed
tess_graham1155_support_undemocratic_copartisan,A Conditional Commitment? Partisan Identity and Support for Democracy in the United States,TESS,Support for undemocratic co-partisans,-0.007,0.008,4027,,,covariate-adjusted coefficient from TESS results page,stage_native_metric_missing_sd_or_event_counts,TESS study results summary,https://tessexperiments.org/study/graham1155,native_panel_seed
tess_graham1155_manipulation_check,A Conditional Commitment? Partisan Identity and Support for Democracy in the United States,TESS,Manipulation check,0.042,0.027,4027,,,covariate-adjusted coefficient from TESS results page,sidecar_not_primary_outcome,TESS study results summary,https://tessexperiments.org/study/graham1155,native_sidecar_only
good_politicians_filing_social,Good Politicians: Experimental Evidence on Motivations for Political Candidacy and Government Performance,AEA/Zenodo,"Filing papers, social treatment versus neutral",0.01,0.008,9310,192,0.03,clustered linear-probability coefficient,stage_native_metric_clustered_adjusted_lpm,gulzarkhan20240105.zip replication/tables/tab1.tex,https://doi.org/10.5281/zenodo.10086096,native_panel_seed
good_politicians_filing_personal,Good Politicians: Experimental Evidence on Motivations for Political Candidacy and Government Performance,AEA/Zenodo,"Filing papers, personal treatment versus neutral",-0.009,0.006,9310,192,0.03,clustered linear-probability coefficient,stage_native_metric_clustered_adjusted_lpm,gulzarkhan20240105.zip replication/tables/tab1.tex,https://doi.org/10.5281/zenodo.10086096,native_panel_seed
good_politicians_elected_social,Good Politicians: Experimental Evidence on Motivations for Political Candidacy and Government Performance,AEA/Zenodo,"Elected, social treatment versus neutral",0.005,0.005,9310,192,0.017,clustered linear-probability coefficient,stage_native_metric_clustered_adjusted_lpm,gulzarkhan20240105.zip replication/tables/tab1.tex,https://doi.org/10.5281/zenodo.10086096,native_panel_seed
good_politicians_elected_personal,Good Politicians: Experimental Evidence on Motivations for Political Candidacy and Government Performance,AEA/Zenodo,"Elected, personal treatment versus neutral",-0.007,0.003,9310,192,0.017,clustered linear-probability coefficient,stage_native_metric_clustered_adjusted_lpm,gulzarkhan20240105.zip replication/tables/tab1.tex,https://doi.org/10.5281/zenodo.10086096,native_panel_seed
