manual_acquisition_task_id	candidate_id	priority	blocker_category	candidate_route	candidate_name	domain	original_title	original_doi	replication_title	replication_doi	result_option_labels	scan_decisions	needed_evidence	source_object_urls_json	mirrored_source_count	mirror_errors	local_support_paths	relationship_evidence_json	conversion_or_policy_note	created_at
manual_acq_62054a77a1153e80	api_candidate_c49eb133d5977b06	medium	original_n_needed	coverage_only	Rabbitt (1968) Experiment 2 -> Recall of Speech is Impaired by Subsequent Masking Noise: A Replication of Rabbitt (1968) Experiment 2	metadata_api_search	Rabbitt (1968) Experiment 2		Recall of Speech is Impaired by Subsequent Masking Noise: A Replication of Rabbitt (1968) Experiment 2	10.1080/25742442.2021.1896908	Rabbitt Experiment 2 speech masking direct replication	manual_acquisition_needed_original_n	manual_acquisition_of_rabbitt_1968_original_or_authoritative_table_with_original_n	"[""https://doi.org/10.1080/25742442.2021.1896908"", ""https://www.ncbi.nlm.nih.gov/pmc/articles/8262135"", ""https://openalex.org/W3122990348""]"	0		data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_f0add6db277d.html | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/03_openalex_org_w3122990348_158469730ed2.html | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_5425c883081d.html | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_6dcd4fd4d23b.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/brown_rabbitt_pdf.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/brown_rabbitt_pdf.txt | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/cinii.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/doi.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/pubmed.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/sage_full.html | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/sage_pdf.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/rabbitt_replication_pmc.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""Recall of Speech is Impaired by Subsequent Masking Noise: A Replication of Rabbitt (1968) Experiment 2"", ""where_seen"": ""title_exact_replication""}"	Do not promote until original Rabbitt N is extracted from the original article or another value-bearing source.	2026-05-06T03:19:26+00:00
manual_acq_a47ece7877794f20	api_candidate_d98523e0ce3e5e0d	medium	value_bearing_source_object_needed	coverage_only	Shen et al.'s (2019) Study on Online Image Credibility -> Contextual Changes, Credible Conclusions? A Direct and Conceptual Replication of Shen et al.'s (2019) Study on Online Image Credibility	metadata_api_search	Shen et al.'s (2019) Study on Online Image Credibility		Contextual Changes, Credible Conclusions? A Direct and Conceptual Replication of Shen et al.'s (2019) Study on Online Image Credibility	10.1080/15213269.2025.2595452	Online image credibility contextual direct/conceptual replication	source_blocked_needs_manual_acquisition	manual_acquisition_if_this_2025_communication_replication_is_prioritized	"[""https://doi.org/10.1080/15213269.2025.2595452""]"	0		data/raw/replication_projects/individual_search_batch003/api_candidate_d98523e0ce3e5e0d/01_www_tandfonline_com_action_cookieabsent_26fcd1037997.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Contextual Changes, Credible Conclusions? A Direct and Conceptual Replication of Shen et al.'s (2019) Study on Online Image Credibility"", ""where_seen"": ""title_exact_replication""}"	Do not promote without article values and exact original target mapping.	2026-05-06T03:19:26+00:00
manual_acq_5e8ce81ba1a83ad7	api_candidate_44137bf63c3bbdfa	medium	value_bearing_source_object_needed	coverage_only	Schiller et al. (Nature, 2010) -> Registered Replication of Schiller et al. (Nature, 2010)	metadata_api_search	Schiller et al. (Nature, 2010)		Registered Replication of Schiller et al. (Nature, 2010)	10.17605/osf.io/k2w4a	Schiller et al. Nature 2010 registered replication OSF record	source_blocked_protocol_or_repository_only	resolve_completed_replication_article_or_results_package_before_value_extraction	"[""https://doi.org/10.17605/osf.io/k2w4a"", ""https://osf.io/k2w4a/"", ""10.17605/osf.io/k2w4a""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_44137bf63c3bbdfa/01_osf_io_k2w4a_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch006/api_candidate_44137bf63c3bbdfa/02_osf_io_k2w4a_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch006/api_candidate_44137bf63c3bbdfa/03_osf_io_k2w4a_c1df7be23f68.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Registered Replication of Schiller et al. (Nature, 2010)"", ""where_seen"": ""title_exact_replication""}"	The candidate is an OSF registration/source package rather than a value-bearing replication article in this batch. It should remain a no-repull target until a completed paper/result source is resolved.	2026-05-06T03:19:26+00:00
manual_acq_83a3343a57fb1bd6	api_candidate_fcdbe8ce78bf22a0	medium	value_bearing_source_object_needed	coverage_only	Schiller et al. (Nature, 2010) -> Registered Replication of Schiller et al. (Nature, 2010)	metadata_api_search	Schiller et al. (Nature, 2010)		Registered Replication of Schiller et al. (Nature, 2010)	10.17605/osf.io/8chqu	Schiller et al. Nature 2010 registered replication duplicate OSF record	source_blocked_protocol_or_repository_only	resolve_completed_replication_article_or_results_package_before_value_extraction	"[""https://doi.org/10.17605/osf.io/8chqu"", ""https://osf.io/8chqu/"", ""10.17605/osf.io/8chqu""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_fcdbe8ce78bf22a0/01_osf_io_8chqu_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch006/api_candidate_fcdbe8ce78bf22a0/02_osf_io_8chqu_c1df7be23f68.html | data/raw/replication_projects/individual_search_batch006/api_candidate_fcdbe8ce78bf22a0/03_osf_io_8chqu_c1df7be23f68.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Registered Replication of Schiller et al. (Nature, 2010)"", ""where_seen"": ""title_exact_replication""}"	Duplicate OSF registration/source-package hit for the Schiller replication family; no completed value-bearing source was resolved in this batch.	2026-05-06T03:19:26+00:00
manual_acq_771f24a6384124cc	api_candidate_410ff1685532db83	high	value_bearing_source_object_needed	strict_figure1a	Study 3 From Trafimow and Hughes (2012) -> Registered Replication Report: Study 3 From Trafimow and Hughes (2012)	metadata_api_search	Study 3 From Trafimow and Hughes (2012)		Registered Replication Report: Study 3 From Trafimow and Hughes (2012)	10.1177/25152459251328334	Trafimow and Hughes Study 3 mortality-salience no-delay word-generation contrast	source_blocked_needs_raw_recompute_to_d	recompute_rrr_exact_replication_d_from_osf_raw_data_or_analysis_code	"[""https://doi.org/10.1177/25152459251328334"", ""https://cris.maastrichtuniversity.nl/en/publications/faa39805-711f-4b17-98b1-82897b04f0fe"", ""https://jyx.jyu.fi/bitstreams/bb664b0b-c24a-46a7-a3fc-01a3fae2c868/download"", ""http://urn.fi/URN:NBN:fi:jyu-202504253470"", ""https://repository.ubn.ru.nl//bitstream/handle/2066/319027/319027.pdf"", ""https://hdl.handle.net/2066/319027"", ""https://doaj.org/article/43fe909c4f884f14bc14f709394af5c4"", ""http://gala.gre.ac.uk/id/eprint/47533/"", ""https://openalex.org/W4409672125""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/02_cris_maastrichtuniversity_nl_en_publications_registered_replication_repo_83fffac037a0.html | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/03_jyx_jyu_fi_bitstreams_bb664b0b_c24a_46a7_a3fc_01a3fae2c868_download_47679df31e00.pdf | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/04_jyx_jyu_fi_jyx_record_jyx_123456789_101630_f850a1f837da.html | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/07_doaj_org_article_43fe909c4f884f14bc14f709394af5c4_59ec1552b4ba.html | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/08_gala_gre_ac_uk_id_eprint_47533_8222a8645a16.html | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/09_openalex_org_w4409672125_16b660aaccf6.html | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/10_trafimow_hughes_2012_citeseerx_archive.pdf | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BYUI_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BeaudryLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BeaudryLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BehavioralNeuroscienceLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BehavioralNeuroscienceLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BehavioralScienceInstitute_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BehavioralScienceInstitute_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BehaviouralScienceCentre_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BehaviouralScienceCentre_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/BrainDynamicsLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CDAL_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CDAL_coding_Completed.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CDAL_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CodingSheet_BehaviouralScienceInstitute_completed.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CognitivePsychologyLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CognitivePsychologyLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/CoventryBOP_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/ExperimentalPsychologyLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/ExperimentalPsychologyLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/GRECIL_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/GRECIL_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/KasselLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/KasselLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/METAlab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/METAlab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/MSUCloseRelationshipsLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/MSUCloseRelationshipsLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/OzArGeGroup_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/OzArGeGroup_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/SPAL_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/SPAL_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/SPlab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/SPlab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/StigmaLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/StigmaLab_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/UNIPOUPJS_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/UNIPOUPJS_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/UnivVienna_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/UnivVienna_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/WorkSocialPsychology_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/WorkSocialPsychology_main.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/download_manifest.tsv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/download_manifest_all_csv.tsv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/unipoPsychLab_coding.csv | data/raw/replication_projects/individual_search_batch006/api_candidate_410ff1685532db83/osf_atc39_data/unipoPsychLab_main.csv	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 3, ""verbatim_or_paraphrased_basis"": ""Registered Replication Report: Study 3 From Trafimow and Hughes (2012)"", ""where_seen"": ""title_registered_replication_report""}"	Original source reports d = 0.38 and N = 120 for the focal planned contrast. The RRR PDF reports an exact-replication mean difference of 0.08 death-related words, 95% CI [0.01, 0.14], across 22 labs and 3,447/3,415 analyzed participants, but not a standardized D for that exact contrast. Raw OSF CSV files were mirrored, so this is a recomputation task rather than a row-ready extraction.	2026-05-06T03:19:26+00:00
manual_acq_d2f1bb3e77fd8924	api_candidate_96a758378eb37b0e	medium	value_bearing_source_object_needed	coverage_only	in the rapid naming task -> Phonological priming: Failure to replicate in the rapid naming task	metadata_api_search	in the rapid naming task		Phonological priming: Failure to replicate in the rapid naming task	10.3758/bf03334046	Phonological priming rapid-naming failure	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.3758/bf03334046""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_96a758378eb37b0e/01_link_springer_com_article_10_3758_bf03334046_error_cookies_not_supported_298b26a951ab.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Phonological priming: Failure to replicate in the rapid naming task"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_66a0c0a1f07cfc96	api_candidate_821f217890822e88	medium	value_bearing_source_object_needed	coverage_only	the Mehta and Zhu (2009) color-priming effect on anagram solution times -> Failure to replicate the Mehta and Zhu (2009) color-priming effect on anagram solution times	metadata_api_search	the Mehta and Zhu (2009) color-priming effect on anagram solution times		Failure to replicate the Mehta and Zhu (2009) color-priming effect on anagram solution times	10.3758/s13423-013-0548-3	Mehta and Zhu color-priming anagram solution times	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.3758/s13423-013-0548-3""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_821f217890822e88/01_link_springer_com_article_10_3758_s13423_013_0548_3_error_cookies_not_su_6018d0080996.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Failure to replicate the Mehta and Zhu (2009) color-priming effect on anagram solution times"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_6b288599def2a90d	api_candidate_53e20f8627a320c7	medium	value_bearing_source_object_needed	coverage_only	past findings regarding positive affirmations and self-esteem -> On the failure to replicate past findings regarding positive affirmations and self-esteem	metadata_api_search	past findings regarding positive affirmations and self-esteem		On the failure to replicate past findings regarding positive affirmations and self-esteem	10.1016/j.jcbs.2020.03.003	Positive affirmations and self-esteem	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1016/j.jcbs.2020.03.003""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_53e20f8627a320c7/01_linkinghub_elsevier_com_retrieve_pii_s2212144719301103_bd49689bf85e.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""On the failure to replicate past findings regarding positive affirmations and self-esteem"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_f479131591306b5d	api_candidate_74f56abca426fbc9	medium	value_bearing_source_object_needed	coverage_only	the Results of Ciani and Sheldon (2010) -> Is Intelligence Enhanced by Letter Priming? A Failure to Replicate the Results of Ciani and Sheldon (2010)	metadata_api_search	the Results of Ciani and Sheldon (2010)		Is Intelligence Enhanced by Letter Priming? A Failure to Replicate the Results of Ciani and Sheldon (2010)	10.2466/04.03.pr0.112.2.533-544	Ciani and Sheldon letter priming and intelligence	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.2466/04.03.pr0.112.2.533-544""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""Is Intelligence Enhanced by Letter Priming? A Failure to Replicate the Results of Ciani and Sheldon (2010)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_6c10f25431bb713f	api_candidate_ccd98d70dd2472bf	medium	value_bearing_source_object_needed	coverage_only	Krause Et Al. (2012) -> Mixed Evidence for Name Priming Effects as a Measure of Implicit Self-Esteem: A Conceptual Replication of Krause Et Al. (2012)	metadata_api_search	Krause Et Al. (2012)		Mixed Evidence for Name Priming Effects as a Measure of Implicit Self-Esteem: A Conceptual Replication of Krause Et Al. (2012)	10.1521/soco.2021.39.5.591	Name priming effects as implicit self-esteem	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1521/soco.2021.39.5.591""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Mixed Evidence for Name Priming Effects as a Measure of Implicit Self-Esteem: A Conceptual Replication of Krause Et Al. (2012)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
