row_id,source_family,candidate_status,unlock_status,machine_probe_count,machine_probe_ok_count,blocked_probe_statuses,strict_blocker,next_action,prereg_url,result_url,data_url
aea_registry_snapshot_intake,AEA RCT Registry,sidecar_registry_intake,source_metadata_unlocked,3,3,,Registry metadata alone lacks final effect estimates and PAP-to-result extraction.,"Download trials.csv, filter for PAP/analysis-plan plus paper/data/program URLs, then route each matched paper/package into row rescue.",https://www.socialscienceregistry.org/AEA_RCT_Registry_Data_Elements_Definitions.pdf,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OHBI3I,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OHBI3I
tess_graham1155,TESS,native_metric_rescue_candidate,source_metadata_unlocked,3,2,http_404,"No baseline probability, event counts, or outcome SD on the study page; stage native unless OSF data are parsed.",Download OSF data and compute the PAP outcome arm probabilities or standardized difference.,https://osf.io/gw493/,https://tessexperiments.org/study/graham1155,https://osf.io/qzd3f/
tess_johnson1389,TESS,native_metric_rescue_candidate,source_metadata_unlocked,3,2,http_404,Per-contrast denominators/event counts are not on the page; OSF data required for D conversion.,Download OSF data and reconstruct planned binary outcome contrasts from the PAP.,https://osf.io/vx7de/,https://tessexperiments.org/study/johnson1389,https://osf.io/v3bfk/
tess_jackson002,TESS,sidecar_screen_candidate,source_metadata_unlocked,2,2,,TESS page has hypotheses/outcome and OSF materials but no numeric D/native estimate; TESS proposals are weaker than full PAPs unless a paper-specific preregistration is verified.,Download OSF/Roper data or linked paper and extract the planned contrast for separate social/economic ideology placements.,TESS accepted proposal/study page; not full PAP-grade preregistration without additional verification,https://tessexperiments.org/study/jackson002,https://osf.io/z6gts/
score_azevedo_jeps_replication,SCORE/JEPS,row_rescue_promising,source_metadata_unlocked,3,3,metadata_ok_provider_status_http_404,"Need exact contrast, df, and eta-squared conversion check.",Download Dataverse package and article tables; convert eta-squared to r/d only for the preregistered simple contrast.,https://osf.io/nxrg7/,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/does-stereotype-threat-contribute-to-the-political-knowledge-gender-gap-a-preregistered-replication-study-of-ihme-and-tausendpfund-2018/1021AEEB971D486933CE265040CD0C95,https://doi.org/10.7910/DVN/ETUUOD
score_brodeur_zenodo_17792605,SCORE/Brodeur raw-code route,sidecar_raw_code_route,source_metadata_unlocked,3,3,,"Broad SCORE is claim/reproducibility-oriented, not a PAP-linked confirmatory-result corpus; only individual papers with independent PAP evidence can promote.","Use the archive only as a DOI/code locator, then extract paper-specific coefficient/SE/N rows after matching PAP/registry evidence.",https://osf.io/8wsqx/,https://www.cos.io/score,https://zenodo.org/records/17792605
dime_rio_safe_space,DIME,stage_native_metric,source_metadata_unlocked,2,2,,PAP link and D conversion inputs not yet verified.,"Match RIDIE/AEA preregistration, then parse GitHub tables for ATE/SE/N and arm probabilities if available.",RIDIE/AEA link to verify,https://github.com/worldbank/rio-safe-space,https://microdata.worldbank.org/index.php/catalog/3745
cps_golden_gulzar_sonnet_2025,CPS/Dataverse,row_rescue_promising,source_metadata_unlocked,3,3,metadata_ok_provider_status_http_404,Two PAPs and likely native ATE metrics; avoid pilot/scale-up double-counting.,"Download Dataverse package, identify PAP primary outcomes, and stage ATE/SE/N.",https://egap.org/registration/2476 ; https://osf.io/vadwn,Comparative Political Studies article,https://dataverse.harvard.edu/dataset.xhtml?persistentid=doi:10.7910/DVN/9PWQZT
apsr_campaign_experiments_archive,APSR/Dataverse,row_rescue_promising,source_metadata_unlocked,3,2,http_404; metadata_ok_provider_status_http_404,Multiple campaigns/experiments; hierarchy must collapse to one paper dot or a component panel.,Download Dataverse package and reconstruct PAP primary vote-choice contrasts.,https://osf.io/q276a/ ; https://osf.io/5c9hx/,APSR article,https://doi.org/10.7910/DVN/LBPSSV
ajps_ghana_debates_ofosu_brierley_kramon,AJPS/Dataverse,row_rescue_promising,source_metadata_unlocked,2,2,metadata_ok_provider_status_http_404,Need PAP primary selector and arm/event-count or standardized-index inputs.,Download Dataverse package and extract PAP primary outcome estimate/N.,https://osf.io/2qhg6/,AJPS article,https://doi.org/10.7910/DVN/OJA7YS
aea_good_politicians_trial_685,AEA/Zenodo,native_metric_rescue_candidate,source_metadata_unlocked,3,2,http_403_text/html; charset=UTF-8,D conversion requires arm event counts or log-OR inputs; clustered village design should enter native first.,"Download Zenodo package and AEA trial page, then extract candidacy/election ITT coefficient, SE, respondent N, and cluster N.",https://www.socialscienceregistry.org/trials/685,https://academic.oup.com/restud/article/92/1/339/7627149,https://doi.org/10.5281/zenodo.10086096
metaketa_ii_tax_meta,EGAP Metaketa II,row_rescue_promising,source_metadata_unlocked,1,1,,Pooled final paper/package status and exact primary selector are not verified to the same standard as Metaketa I/III/IV.,"Locate final pooled paper and replication package, then stage pooled ATE/SE/N as native unless standardized outcomes are documented.",Metaketa II amended meta-analysis PAP embedded in public PDF; verify final registry/PAP URL,https://egap.org/our-work/the-metaketa-initiative/roundtwo-taxation/,paper/package not yet verified
metaketa_ii_state_capacity_ceiling_3818,AEA/Metaketa II,stage_native_metric,source_metadata_unlocked,2,2,,"Policy coefficients and clustered SEs are not D-convertible without outcome SDs, event counts, or baseline probabilities.",Parse AEA trial page and paper tables for preregistered primary tax outcome coefficient/SE/N.,https://www.socialscienceregistry.org/trials/3818,https://www.nber.org/system/files/working_papers/w31685/revisions/w31685.rev0.pdf,paper/package required
metaketa_ii_local_elites_state_capacity,OpenICPSR/Metaketa II,row_rescue_promising,source_probe_attempted_blocked_or_empty,1,0,http_403_text/html; charset=UTF-8,PAP join and primary selector still need verification; likely native ATE metrics.,"Download OpenICPSR package, identify the matched registry/PAP, and extract primary coefficient/SE/N.",AEA/EGAP registration to verify from paper/package,paper/article required,https://www.openicpsr.org/openicpsr/project/147561/version/V1/view
