candidate_label	decision	source_object_status	original_effect_support	original_n_support	replication_effect_support	replication_n_support	local_paths	urls	sha256s	notes
Eye movements and false memories	promote_manual_pair	mirrored_value_bearing_sources	github_01__original_clean.csv recomputation on totalmisinfo by condition gives abs Cohen d=0.7669097512387202	Original clean CSV has 82 rows; van Schie and Leer PDF also states Houben et al. 2018 showed 82 undergraduates a video	van_schie_leer_2019_repub.pdf reports misinformation answers t(204)=0.46, p=.650, d=0.063, 95% CI [-0.210, 0.336]; JASP result archive also contains Misinformation_Total d=0.063	van_schie_leer_2019_repub.pdf abstract and participants section report N=206	data/raw/replication_projects/lead_harvest/forrt_reversals_source_objects_20260504/eye_movements_false_memories/van_schie_leer_2019_repub.pdf; data/raw/replication_projects/lead_harvest/awesome_emdr_misinfo/github_01__original_clean.csv; data/raw/replication_projects/lead_harvest/forrt_reversals_source_objects_20260504/eye_movements_false_memories/van_schie_leer_results.jasp	https://pure.eur.nl/ws/files/48164949/Repub_118743_O-A.pdf; https://osf.io/j479p/; https://osf.io/4UBJ8/	2ab204846dd0a500551f9d0e1e85fa0e72f0d1ab5ea7972b59ce52c0a5b05a35; 8613015f74333052f2548d26f0f0fce2da2e5dfe18c5cce51a1abac397a3d384; 665fb2ef8530156094f18d0c9ebb16aa1f5b90c7a52600159f05f34f0827984f	Promoted as a distinct replication from the existing Houben-Calvillo EMDR misinformation rows.
Fluency priming	not_promoted_duplicate_or_alternate_grain	mirrored_duplicate_support	FORRT cites d=0.26, but FReD/OSC template row has original r=0.127392361	OSC/FReD template row has original N=236; FORRT row uses N=70	FReD/OSC template row has replication r=0.018376516	FReD/OSC template row has replication N=1146	data/raw/replication_projects/lead_harvest/fred_diff_2024/osf_11__220621_red_template_osc2015.xlsx	https://forrt.org/reversals/		not promoted; already represented by OSC/FReD route at a different original-grain assertion.
Sex differences in implicit maths attitudes	not_promoted_duplicate_or_alternate_grain	mirrored_duplicate_support	FORRT d=1.01 is already represented by Many Labs 1/FReD math attitudes rows; root table contains ML1 d_original 1.0074114959 and FReD d_original 1.01	FORRT N_original 170 is an alternate grain; existing root rows use study-specific Ns 79 and 243	FORRT d_replication 0.56 is already represented by ML1/FReD replication effects	Existing root rows use replication N 5842 and 5623	FIGURE1_REPLICATION_PAIRS.tsv	https://forrt.org/reversals/		not promoted; duplicate of existing Many Labs 1/FReD entries.
Door-in-the-face	not_promoted_duplicate_or_alternate_grain	mirrored_duplicate_support	FORRT d=0.47 overlaps root fred_add_ai5 door-in-the-face rows	Existing root rows have N_original 72	FORRT d_replication 0.4 overlaps root rows with D_replication 0.1473186856 and 0.3374030413	Existing root rows have N_replication 391	FIGURE1_REPLICATION_PAIRS.tsv	https://forrt.org/reversals/		not promoted; already represented in current root table.
Conjunction bias	not_promoted_duplicate_or_alternate_grain	mirrored_duplicate_support	FORRT d=1.08 differs from FReD CORE_113 original d=0.59 but refers to same Mellers et al. target	Original N=108 is already represented in FReD CORE_113	Replication d=0.49 is already represented in FReD CORE_113	Existing root/FReD replication N is 1032; FORRT reports 1026	data/raw/replication_projects/fred/FReD.xlsx; FIGURE1_REPLICATION_PAIRS.tsv	https://forrt.org/reversals/	59545e3fc0c2979d97507097526319ec8c275aae3ac40c0d1a6d327492079e6b	not promoted; duplicate/alternate source assertion for existing CORE row.
Red impairs cognitive performance	not_promoted_fails_larger_n_rule	metadata_only	FORRT reports original d=-0.51	FORRT reports original N=282	FORRT reports replication d=-0.06	FORRT reports replication N=282	steps/corpus_results/figure1/research_followup_20260504/forrt-reversals-conservative-candidate-scan.tsv	https://forrt.org/reversals/		not promoted because replication N is not larger than original N.
Foot-in-the-door	not_promoted_fails_larger_n_rule	metadata_only	FORRT reports original d=2.16	FORRT reports original N=156	FORRT reports replication d=4.83	FORRT reports replication N=60	steps/corpus_results/figure1/research_followup_20260504/forrt-reversals-conservative-candidate-scan.tsv	https://forrt.org/reversals/		not promoted because replication N is smaller than original N.
Left-cradling bias	hold_needs_source_object_support	partial_public_source_objects	FORRT reports original d=1.06; exact original-side computation not verified from mirrored value-bearing source object	FORRT reports original N=765; original abstract/source indicates 765 subjects but exact row support not mirrored	FORRT reports replication d=0.34; replication article appears to report odds-ratio/meta-analytic estimates requiring row-grain review	FORRT reports replication N=6799; replication abstract/source indicates broad sample but exact included row support not mirrored	steps/corpus_results/figure1/research_followup_20260504/forrt-reversals-conservative-candidate-scan.tsv	https://forrt.org/reversals/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6559804/		not promoted from FORRT narrative alone; needs exact original and replication result text/conversion support.
Handedness differences in schizophrenia	hold_needs_source_object_support	partial_public_source_objects	FORRT reports original d=0.59; exact original-side result support not verified from mirrored value-bearing source object	FORRT reports original N=225	FORRT reports replication d=0.26; replication is a review/meta-analysis-like source needing exact extraction	FORRT reports replication N=5467	steps/corpus_results/figure1/research_followup_20260504/forrt-reversals-conservative-candidate-scan.tsv	https://forrt.org/reversals/		not promoted from FORRT narrative alone; needs exact original and replication source-object extraction.
Right-bias in chimpanzee hand use	hold_needs_source_object_support	partial_public_source_objects	FORRT reports original d=0.69; original PDF route exists but exact source-object value has not been extracted	FORRT reports original N=36	FORRT reports replication d=0.52; exact replication-side source/conversion support not verified	FORRT reports replication N=140	steps/corpus_results/figure1/research_followup_20260504/forrt-reversals-conservative-candidate-scan.tsv	https://forrt.org/reversals/; https://pure.port.ac.uk/ws/files/218096/Hopkins_Bard_Jone_Bales_1993.pdf		not promoted from FORRT narrative alone; needs exact source-object extraction before any animal-behavior row promotion.
