probe_id	original_search_terms	replication_search_terms	expected_route	passes_if	use_for
facial_feedback_strack_wagenmakers	Strack Martin Stepper 1988	Registered Replication Report Strack Martin Stepper	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
verbal_overshadowing_schooler_alogna	Schooler Engstler-Schooler verbal overshadowing	Registered Replication Report Schooler	d_equivalent_figure1b	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
ego_depletion_hagger	Sripada Kessler Jonides ego depletion	Multilab Preregistered Replication Ego-Depletion	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
power_posing_ranehill	Carney Cuddy Yap power posing	Assessing the Robustness of Power Posing	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
goal_priming_harris	Bargh automated will goal priming	Goal Priming and the Remoteness of Goals	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
physical_warmth_chabris	Williams Bargh physical warmth	No Evidence That Experiencing Physical Warmth Promotes Interpersonal Warmth	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
physical_warmth_lynott	Williams Bargh Experiencing Physical Warmth Promotes Interpersonal Warmth	Replication of Experiencing Physical Warmth Promotes Interpersonal Warmth Lynott	d_equivalent_figure1b	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
elderly_walking_doyen	Bargh Chen Burrows automaticity social behavior elderly walking	Behavioral Priming Its All in the Mind Whose Mind	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
bem_ritchie	Bem Feeling the Future Experiment 9	Failing the Future three unsuccessful attempts	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
analytic_religion_sanchez	Gervais Norenzayan analytic thinking religious disbelief	Direct Replication no evidence analytic thinking decreases religious belief	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
power_motor_cusack	Burgmer Englich Bullseye power motor performance	Power May Have Little to No Effect on Motor Performance	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
organic_food_moery	Eskine organic foods moral judgments	Organic Food Exposure Has Little to No Effect	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
social_distance_pashler	Williams Bargh keeping one's distance	Priming of Social Distance Failure to Replicate	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
macbeth_earp	Zhong Liljenquist washing away sins	Out Damned Spot Macbeth Effect	strict_figure1a	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
signing_kristal	Shu Mazar Gino Ariely signing at beginning	Signing at the Beginning Versus at the End Does Not Decrease Dishonesty	d_equivalent_figure1b	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
egdt_rivers_process	Rivers early goal-directed therapy severe sepsis	ProCESS ARISE ProMISe early septic shock	d_equivalent_figure1b	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
nice_sugar	van den Berghe intensive insulin therapy critically ill	NICE-SUGAR intensive versus conventional glucose control	d_equivalent_figure1b	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
marshmallow_watts	Shoda Mischel Peake preschool delay gratification	Revisiting the Marshmallow Test Watts Duncan Quan	native_only	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
five_httlpr_culverhouse	Caspi 5-HTTLPR life stress depression	Culverhouse collaborative meta-analysis no evidence strong interaction	native_only	at least one query family returns the replication paper and relationship evidence before manual seeding	recall calibration before trusting long-tail search yield
