source_dataset	project	pair_id	original_title	replication_title	original_doi	replication_doi	outcome	D_original	N_original	D_replication	N_replication	raw_file	n_source_file	verbatim_n_text_original	verbatim_n_text_replication	verbatim_effect_text_original	verbatim_effect_text_replication	d_n_transformation_note	match_author	candidate_name	table_index	row_index	original_metric_parser	replication_metric_parser
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2020science370_6517_table_5_row_0_participants_have_lower_support_for_using_behavioral_nudges_to_reduce_failures_to_appear_f	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	10.1126/science.abb6591		Participants have lower support for using behavioral nudges to reduce failures to appear for court (M court ) (described in a hypothetical scenario) than for using behavioral nudges to reduce failures to attend other kinds of appointments (M other ) (described in four other scenarios).	0.9387715377023315	301.0	1.2889278973945493	394.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=5;row=0;original_col=Original results;replication_col=Our results	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=5;row=0	Original results M court = 43% SD = 50 M other = 65% SD = 34 paired t-test t(300) = 8.13 p = 1.141E -14	Our results M court = 42% SD = 50 M other = 72% SD = 32 paired t-test t(393) = 12.776 p = 1.669E-31	M court = 43% SD = 50 M other = 65% SD = 34 paired t-test t(300) = 8.13 p = 1.141E -14	M court = 42% SD = 50 M other = 72% SD = 32 paired t-test t(393) = 12.776 p = 1.669E-31	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	Transparent Replications by Clearer Thinking	5	0	t_df_to_d	t_df_to_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2020science370_6517_table_5_row_1_participants_rate_failures_to_attend_court_as_being_1_less_likely_to_be_due_to_forgetting_	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	10.1126/science.abb6591		Participants rate failures to attend court as being: (1) less likely to be due to forgetting and (2) more likely to be intentional, compared to failures to attend non-court appointments (captured in four different scenarios).	0.4376315040457363	301.0	0.7119571205317263	394.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=5;row=1;original_col=Original results;replication_col=Our results	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=5;row=1	Original results (1) Less likely forgetting: M court = 3.86 SD = 2.06 M other = 4.24 SD = 1.45 paired t-test t(300) = 3.79 p = 1.837E-4 (2) More likely intentional: M court = 5.17 SD = 1.75; M other = 4.82 SD = 1.29 paired t test, t(300) = 3.92 p = 1.083E-4	Our results (1) Less likely forgetting: M court = 3.23 SD = 1.85 M other = 3.74 SD = 1.43 paired t-test t(393) = -7.057 p = 7.63E-12 (2) More likely intentional: M court = 4.97 SD = 1.80 M other = 4.49 SD = 1.41 paired t-test, t(393) = 6.30 p = 8.246E-10	(1) Less likely forgetting: M court = 3.86 SD = 2.06 M other = 4.24 SD = 1.45 paired t-test t(300) = 3.79 p = 1.837E-4 (2) More likely intentional: M court = 5.17 SD = 1.75; M other = 4.82 SD = 1.29 paired t test, t(300) = 3.92 p = 1.083E-4	(1) Less likely forgetting: M court = 3.23 SD = 1.85 M other = 3.74 SD = 1.43 paired t-test t(393) = -7.057 p = 7.63E-12 (2) More likely intentional: M court = 4.97 SD = 1.80 M other = 4.49 SD = 1.41 paired t-test, t(393) = 6.30 p = 8.246E-10	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	Transparent Replications by Clearer Thinking	5	1	t_df_to_d	t_df_to_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2020science370_6517_table_6_row_0_1_participants_are_no_less_likely_to_support_behavioral_nudges_in_the_control_condition_co	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	10.1126/science.abb6591		(1) Participants are no less likely to support behavioral nudges in the “control” condition compared to in the “intentional” condition.	0.03441745514679835	304.0	0.09966794565794378	440.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=6;row=0;original_col=Original results;replication_col=Our results	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=6;row=0	Original results Control: 63% supported nudges Intentional: 61% supported nudges χ 2 (1, N = 304) = 0.09 p = 0.76	Our results Control: 64% supported nudges Intentional: 69% supported nudges χ 2 (1, N = 440) = 1.090 p = 0.296	Control: 63% supported nudges Intentional: 61% supported nudges χ 2 (1, N = 304) = 0.09 p = 0.76	Control: 64% supported nudges Intentional: 69% supported nudges χ 2 (1, N = 440) = 1.090 p = 0.296	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	Transparent Replications by Clearer Thinking	6	0	chi2_n_to_phi_to_d	chi2_n_to_phi_to_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2020science370_6517_table_6_row_1_2_participants_are_more_likely_to_support_behavioral_nudges_in_the_mistake_condition_than_	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	10.1126/science.abb6591		(2) Participants are more likely to support behavioral nudges in the “mistake” condition than they are in the “control” condition.	0.3509302512345158	304.0	0.5780683205309152	441.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=6;row=1;original_col=Original results;replication_col=Our results	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=6;row=1	Original results Control: 63% supported nudges Mistake: 82% supported nudges χ 2 (1, N = 304) = 9.08 p = 0.003	Our results Control: 64% supported nudges Mistake: 88% supported nudges χ 2 (1, N = 441) = 34.001 p = 5.509E-9	Control: 63% supported nudges Mistake: 82% supported nudges χ 2 (1, N = 304) = 9.08 p = 0.003	Control: 64% supported nudges Mistake: 88% supported nudges χ 2 (1, N = 441) = 34.001 p = 5.509E-9	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	Transparent Replications by Clearer Thinking	6	1	chi2_n_to_phi_to_d	chi2_n_to_phi_to_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2020science370_6517_table_6_row_2_3_participants_are_more_likely_to_support_behavioral_nudges_in_the_mistake_condition_than_	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	10.1126/science.abb6591		(3) Participants are more likely to support behavioral nudges in the “mistake” condition than they are in the “intentional” condition.	0.37884566770116157	304.0	0.4765303158222434	433.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=6;row=2;original_col=Original results;replication_col=Our results	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2020Science370-6517.html#table=6;row=2	Original results Intentional: 61% supported nudges Mistake: 82% supported nudges χ 2 (1, N = 304) = 10.53 p = 0.001	Our results Intentional: 69% supported nudges Mistake: 88% supported nudges χ 2 (1, N = 433) = 23.261 p = 1.414E-6	Intentional: 61% supported nudges Mistake: 82% supported nudges χ 2 (1, N = 304) = 10.53 p = 0.001	Intentional: 69% supported nudges Mistake: 88% supported nudges χ 2 (1, N = 433) = 23.261 p = 1.414E-6	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #4: Replication of two studies from “Behavioral nudges reduce failure to appear for court” (Science | Fishbane, Ouss &amp; Shah, 2020)	Transparent Replications by Clearer Thinking	6	2	chi2_n_to_phi_to_d	chi2_n_to_phi_to_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2022nature603_table_3_row_0_h1_participants_in_the_information_condition_will_report_a_significantly_higher_percentage	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	10.1038/s41586-022-04452-3		H1: Participants in the information condition will report a significantly higher percentage chance of lie detection by their ‘partner’ than participants in the no information condition.(entire sample)	0.32	234.0	0.009	239.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=3;row=0;original_col=Original Study Result;replication_col=Our Replication Result	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=3;row=0	Original Study Result M info = 41.06% (37.76-44.35%) n = 228; M no info = 33.29% (30.34-36.24%) n = 234 Welch’s t: ​​ t(453.20) = 3.44 p <0.001 Effect size: d = 0.32	Our Replication Result M info = 33.19% (30.49-35.89%) n = 236 M no info = 33.00% (30.15-35.85%) n = 239 Welch’s t: ​​t(472.00) = 0.095 p = 0.924 Effect size: d = 0.009	M info = 41.06% (37.76-44.35%) n = 228; M no info = 33.29% (30.34-36.24%) n = 234 Welch’s t: ​​ t(453.20) = 3.44 p <0.001 Effect size: d = 0.32	M info = 33.19% (30.49-35.89%) n = 236 M no info = 33.00% (30.15-35.85%) n = 239 Welch’s t: ​​t(472.00) = 0.095 p = 0.924 Effect size: d = 0.009	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	Transparent Replications by Clearer Thinking	3	0	reported_d	reported_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2022nature603_table_3_row_1_h2_participants_in_the_information_condition_will_report_significantly_higher_responses_to	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	10.1038/s41586-022-04452-3		H2: Participants in the information condition will report significantly higher responses to how well they believe they know their ‘partner’. (entire sample)	0.72	234.0	0.77	239.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=3;row=1;original_col=Original Study Result;replication_col=Our Replication Result	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=3;row=1	Original Study Result M info = 3.04 95% CI = 2.83-3.25 n = 228; M no info = 1.89 95% CI = 1.69-2.09 n = 234 Student’s t: t(460) = 7.73, p <0.001 Effect size: d = 0.72	Our Replication Result M info = 2.65 95% CI = 2.47-2.84, n = 236 M no info = 1.61 95% CI = 1.45-1.77 n = 239 Student’s t: t( 473.00 ) = 8.387 Welch’s t: ​​ t(464.53) = 8.381 p < 0.001 for both Effect size: d = 0.770 (Student’s), d = 0.769 (Welch’s)	M info = 3.04 95% CI = 2.83-3.25 n = 228; M no info = 1.89 95% CI = 1.69-2.09 n = 234 Student’s t: t(460) = 7.73, p <0.001 Effect size: d = 0.72	M info = 2.65 95% CI = 2.47-2.84, n = 236 M no info = 1.61 95% CI = 1.45-1.77 n = 239 Student’s t: t( 473.00 ) = 8.387 Welch’s t: ​​ t(464.53) = 8.381 p < 0.001 for both Effect size: d = 0.770 (Student’s), d = 0.769 (Welch’s)	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	Transparent Replications by Clearer Thinking	3	1	reported_d	reported_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2022nature603_table_4_row_0_h4_participants_in_the_information_condition_will_report_a_significantly_higher_percentage	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	10.1038/s41586-022-04452-3		H4: Participants in the information condition will report a significantly higher percentage chance of lie detection by their ‘partner’ than participants in the no information condition.(manipulation check passed only)	0.36	95.0	0.008	130.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=4;row=0;original_col=Original Study Result;replication_col=Our Replication Result	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=4;row=0	Original Study Result M info = 44.69% (40.29-49.09%), n = 133 M no info = 35.60% (30.73-40.47%), n = 95 Student’s t: ​​ t(226) = 2.69 p =0.008 Effect size: d = 0.36	Our Replication Result M info = 33.91% (30.41-37.42%), n = 140 M no info = 34.09% (30.11-38.05%), n = 130 Student’s t: t(268) = -0.64 Welch’s t: ​​ t(261.24) = -0.063 p = 0.95 for each test Effect size: d = -0.008 for both	M info = 44.69% (40.29-49.09%), n = 133 M no info = 35.60% (30.73-40.47%), n = 95 Student’s t: ​​ t(226) = 2.69 p =0.008 Effect size: d = 0.36	M info = 33.91% (30.41-37.42%), n = 140 M no info = 34.09% (30.11-38.05%), n = 130 Student’s t: t(268) = -0.64 Welch’s t: ​​ t(261.24) = -0.063 p = 0.95 for each test Effect size: d = -0.008 for both	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	Transparent Replications by Clearer Thinking	4	0	reported_d	reported_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2022nature603_table_4_row_1_h5_participants_in_the_information_condition_will_report_significantly_higher_responses_to	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	10.1038/s41586-022-04452-3		H5: Participants in the information condition will report significantly higher responses to how well they believe they know their ‘partner’. (manipulation check passed only)	0.5	95.0	0.689	130.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=4;row=1;original_col=Original Study Result;replication_col=Our Replication Result	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022nature603.html#table=4;row=1	Original Study Result M info = 3.44, 95% CI = [3.15, 3.73] n = 133 M no info = 2.53, 95% CI = [2.14, 2.92] n = 95 Welch’s t: ​​t(185.48) = 3.67 p < 0.001 Effect size: d = 0.50	Our Replication Result M info = 2.93, 95% CI = [2.68, 3.18] n = 140 M no info = 1.89, 95% CI = [1.62, 2.15] n = 130 Welch’s t: ​​ t(266.05) = 5.66 p < 0.001 Effect size: d = 0.689	M info = 3.44, 95% CI = [3.15, 3.73] n = 133 M no info = 2.53, 95% CI = [2.14, 2.92] n = 95 Welch’s t: ​​t(185.48) = 3.67 p < 0.001 Effect size: d = 0.50	M info = 2.93, 95% CI = [2.68, 3.18] n = 140 M no info = 1.89, 95% CI = [1.62, 2.15] n = 130 Welch’s t: ​​ t(266.05) = 5.66 p < 0.001 Effect size: d = 0.689	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #3: Replication of a study from &#8220;Knowledge about others reduces one’s own sense of anonymity&#8221; (Nature | Shah &amp; LaForest 2022)	Transparent Replications by Clearer Thinking	4	1	reported_d	reported_d
Transparent Replications mirrored report tables	Transparent Replications by Clearer Thinking	transparent_replication_2022psci33_12_table_5_row_0_c_3po	&raquo; Report #8: Replication of a study from “The Visual Mandela Effect as Evidence for Shared and Specific False Memories Across People” (Psychological Science | Prasad &amp; Bainbridge 2022)	&raquo; Report #8: Replication of a study from “The Visual Mandela Effect as Evidence for Shared and Specific False Memories Across People” (Psychological Science | Prasad &amp; Bainbridge 2022)	10.1177/09567976221108944		C-3PO	1.3806089716158876	194.0	1.2384339666643729	359.0	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022psci33-12.html#table=5;row=0;original_col=χ 2 test of independence ( incorrect statistical test) on original data;replication_col=χ 2 goodness-of-fit test ( correct statistical test)on replication data	data/raw/replication_projects/lead_harvest/gpt_many_replication_candidates_20260504/transparent_replications_clearer_thinking/replication-2022psci33-12.html#table=5;row=0	χ 2 test of independence ( incorrect statistical test) on original data χ 2 (1, N =194) = 62.61, p = 2.519e-15	χ 2 goodness-of-fit test ( correct statistical test)on replication data χ 2 (1, N =359) = 99.50, p = 1.960e-23	χ 2 (1, N =194) = 62.61, p = 2.519e-15	χ 2 (1, N =359) = 99.50, p = 1.960e-23	Transparent Replications report table row. Reported d values are used directly; reported r/rank-biserial effects are converted with d = 2r/sqrt(1-r^2); t(df) is converted with d = abs(2*t/sqrt(df)); chi-square rows use phi = sqrt(chi2/N) then d = 2phi/sqrt(1-phi^2). This is local mining only; later provenance hardening should split multi-stat cells where needed.	&raquo; Report #8: Replication of a study from “The Visual Mandela Effect as Evidence for Shared and Specific False Memories Across People” (Psychological Science | Prasad &amp; Bainbridge 2022)	Transparent Replications by Clearer Thinking	5	0	chi2_n_to_phi_to_d	chi2_n_to_phi_to_d
