candidate_key	candidate_name	url	expected_role	status	http_status	final_url	content_type	content_length	local_path	sha256	attempted_at	error
ying_bmj_ebm	Ying/Ehrhardt pilot-to-full-scale efficacy	https://doi.org/10.1136/bmjebm-2023-112358	article_landing	blocked_http_error	403	https://doi.org/10.1136/bmjebm-2023-112358	text/html; charset=UTF-8				2026-05-04T21:28:24Z	HTTP Error 403: Forbidden
ying_dissertation	Ying JHU dissertation	https://jscholarship.library.jhu.edu/items/02a9c0bb-56c1-41ab-9017-ff6793260f0b	dissertation_landing	blocked_http_error	403	https://jscholarship.library.jhu.edu/items/02a9c0bb-56c1-41ab-9017-ff6793260f0b	text/html				2026-05-04T21:28:24Z	HTTP Error 403: Forbidden
ying_jama_feasibility	Ying/Ehrhardt JAMA feasibility	https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2809388	article_landing	blocked_http_error	403	https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2809388	text/html; charset=UTF-8				2026-05-04T21:28:25Z	HTTP Error 403: Forbidden
beets_childhood_rgb	Childhood obesity RGB pilot-vs-larger trials	https://doi.org/10.1186/s12966-020-0918-y	article_landing	mirrored	200	https://link.springer.com/article/10.1186/s12966-020-0918-y?error=cookies_not_supported&code=cf575a09-ff97-4049-95b7-91d549d4af33	text/html; charset=utf-8	837933	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/beets_childhood_rgb/04_article_landing_https_doi_org_10_1186_s12966_020_0918_y.bin	43569cff4840f71c71eb33dd4be9280a419edb620b60960792e0dfa758b44b0f	2026-05-04T21:28:25Z	
adult_obesity_rgb	Adult obesity RGB pilot-vs-larger trials	https://www.repository.cam.ac.uk/handle/1810/330818	repository_landing	mirrored	200	https://www.repository.cam.ac.uk/items/ac7deb88-4fce-4e06-a689-462f3f0bf328	text/html; charset=utf-8	485199	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/adult_obesity_rgb/05_repository_landing_https_www_repository_cam_ac_uk_handle_1810_330818.bin	0a17374cce06aded85567b4b2b42347bcd4e981cd60c7e3e052b489aa1f3867c	2026-05-04T21:28:27Z	
health_behavior_rgb_pubmed	Health behavior RGB study	https://pubmed.ncbi.nlm.nih.gov/38464006/	article_metadata	mirrored	200	https://pubmed.ncbi.nlm.nih.gov/38464006/	text/html; charset=utf-8	143735	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/health_behavior_rgb_pubmed/06_article_metadata_https_pubmed_ncbi_nlm_nih_gov_38464006.bin	50b5f70d59d5ea9a6818bbba2ad6440a6123d5558cf446cce1830e9e218fd9bf	2026-05-04T21:28:31Z	
health_behavior_rgb_researchsquare	Health behavior RGB preprint	https://doi.org/10.21203/rs.3.rs-3897976/v1	preprint_landing	mirrored	200	https://www.researchsquare.com/article/rs-3897976/v1	text/html; charset=utf-8	159708	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/health_behavior_rgb_researchsquare/07_preprint_landing_https_doi_org_10_21203_rs_3_rs_3897976_v1.bin	174b5c9653e264bb51e7e300c36afa33b1df9454c85d2d67489e744e3c7a46c0	2026-05-04T21:28:32Z	
rct_duplicate	RCT-DUPLICATE all trial results	https://raw.githubusercontent.com/CharlotteMicheloud/RWE/main/data/all_trials_results.csv	result_table	mirrored	200	https://raw.githubusercontent.com/CharlotteMicheloud/RWE/main/data/all_trials_results.csv	text/plain; charset=utf-8	7857	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/rct_duplicate/08_result_table_https_raw_githubusercontent_com_charlottemicheloud_rwe_main_data_all_trials_resu.bin	e16ff3611b6a873221cd088c36878444d18423c02512ab5cb204f6e508eb80f6	2026-05-04T21:28:32Z	
rct_duplicate	RCT-DUPLICATE corrected trial results	https://raw.githubusercontent.com/CharlotteMicheloud/RWE/main/data/all_trials_results_corrected.csv	result_table	mirrored	200	https://raw.githubusercontent.com/CharlotteMicheloud/RWE/main/data/all_trials_results_corrected.csv	text/plain; charset=utf-8	7857	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/rct_duplicate/09_result_table_https_raw_githubusercontent_com_charlottemicheloud_rwe_main_data_all_trials_resu.bin	e10d391d5bfac346aba8101c9162f4418ef5796c141fc2da50302154dbdf31c9	2026-05-04T21:28:32Z	
rct_duplicate	RCT-DUPLICATE covariates	https://raw.githubusercontent.com/CharlotteMicheloud/RWE/main/data/all_trials_covariates.csv	covariate_table	mirrored	200	https://raw.githubusercontent.com/CharlotteMicheloud/RWE/main/data/all_trials_covariates.csv	text/plain; charset=utf-8	2081	data/raw/replication_projects/lead_harvest/figure1_research_followup_20260504/rct_duplicate/10_covariate_table_https_raw_githubusercontent_com_charlottemicheloud_rwe_main_data_all_trials_cova.bin	d8301523f0086b05eb1593c4f89de1de5b20c8c8fa95b37594359768eab00b36	2026-05-04T21:28:32Z	
