plot_name,plot_inclusion_status,source_label,corpus_what_it_is,what_it_is_why_possible_candidate,confirmed_fields,backing_file,rows_considered,rows_preregistered_equivalent,rows_with_public_local_backing,rows_with_extractable_DN,rows_with_non_retracted_source,rows_contributed,rows_left_out_within_source,why,why_in_out,display_label,source_key,citation_key,plot_rows_made_in
Plot 3,included,van den Akker matched preregistered-result paper medians,Preregistration-in-practice / selective-hypothesis-reporting workbook collapsed to paper medians of publication results explicitly coded as matching preregistered hypotheses.,"This corpus became admissible under the updated row rule because `Data_SHR.xlsx` marks publication result texts that match preregistered hypotheses, and `PvNP_Data.xlsx` supplies publication-level N for the 193-study preregistered-vs-non-preregistered sample. The strict plotted unit is now one paper median, not one arbitrary extracted statistic.","Verified from local OSF downloads: `PvNP Data.xlsx` has 193 publication rows with N; `Data SHR.xlsx` exposes hypothesis/reporting match fields; the matched-result parser finds 126 paper-level median D/N candidates, of which 125 enter strict Plot 3 after 1 DOI duplicate(s) already covered by SCORE are withheld. 73 included papers have more than one matched preregistered result and are collapsed by median D. The older broad `Original Stats.xlsx` parser still yields 124 first-convertible-stat candidates but remains staged because it is not match-filtered.",data/derived/effect_inflation_dataset/plot3_vandenakker_matched_result_median_candidates.csv; data/raw/corpus_candidates/vandenakker_pqnvr/Data_SHR.xlsx; data/raw/corpus_candidates/vandenakker_pqnvr/PvNP_Data.xlsx,193,193,193,126,193,125,68,included under the paper-median policy because each contributing statistic is source-coded as a matched preregistered result and the plotted unit is one median row per paper,Included: 125 paper medians enter. The median collapse allows multiple preregistered hypothesis results within a paper while preventing within-paper row inflation. The remaining 68 PvNP papers are either not parseable by the matched-result D/N parser or already covered by another strict source.,van den Akker matched-result medians,van_den_akker_matched_preregistered_result_paper_medians,vanDenAkkerSelectiveHypothesis2023,125
Plot 3,included,Schäfer/Schwarz 2019 preregistered psychology articles,Preregistered psychology-article key-question effects from the public Schäfer/Schwarz 2019 corpus.,Preregistered psychology-article key-question effects from Schäfer/Schwarz. Possible Plot 3 candidate because the public coded sample separates preregistered from non-preregistered articles and already provides N plus a converted r/d effect for each usable preregistered key effect.,"Known: 93 preregistered coded rows, 89 D/N-ready rows. Confirmed: analytic preregistration flag: yes (93); paper grouping: yes (93); paper D/N: yes (89); support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv,93,93,93,89,93,89,4,"included as preregistered key-question effects with local D/N; support status is not coded, so the plot marks them separately",Included: 89 preregistered key-effect rows enter as support-not-coded preregistered results. The 4 remaining coded rows lack usable positive D/N.,Schäfer/Schwarz preregistered psychology articles,sch_fer_schwarz_2019_preregistered_psychology_articles,schaefer2019meaningfulness,89
Plot 3,included,SCORE/COS preregistration-indicated original papers,SCORE/COS sampled social-behavioral papers whose original paper IDs are flagged as preregistration-indicated.,"The SCORE/COS claim corpus was rechecked because its public OSF files expose separate original-study effect sizes, effective-N fields, and `orig_prereg-indicated.csv`; the later SCORE replicability package at OSF g5sny also exposes an `analyst data.RData` object with original and replication outcome tables. The local SCORE D/N parser already reconstructs paper-level D/N for a subset of preregistration-indicated papers.","Known: 245 unique SCORE paper IDs marked `prereg=True`, 31 deduplicated paper-level D/N rows from the paper-level candidate join plus 3 text-claim rescue rows. Confirmed: paper-level preregistration indication: yes (245); public flat payloads: `orig_outcomes.csv`, `orig_prereg-indicated.csv`, and `extracted_claims.csv`; text-claim rescue queue: 12 parsed D/N candidates; D/N entering strict layer: yes (34); claim-specific preregistration mapping: no; support status: not coded.",data/derived/corpus_candidates/candidate_d_n_papers.csv; data/raw/corpus_candidates/score/orig_prereg-indicated.csv; data/derived/effect_inflation_dataset/plot3_score_text_claim_rescue_candidates.csv,245,245,245,34,245,34,211,included as a paper-level preregistration-indicated SCORE subset; journal TOP-factor preregistration-policy scores are deliberately ignored,"Included: 34 paper-level rows enter (31 from the existing paper-level join and 3 from parsed extracted-claim text). The remaining 211 preregistration-indicated SCORE paper IDs do not currently have a deduplicated positive D/N row that passes the local parser. Caveat: the public files are split across claim-level effect sizes, claim-level effective-N rows, and paper-level preregistration flags, so the table does not assert that every extracted claim was the exact preregistered primary hypothesis.",SCORE/COS preregistration-indicated papers,score_cos_preregistration_indicated_original_papers,tyner2026,34
Plot 3,included,RPCB eLife Registered Report replication effects,Reproducibility Project: Cancer Biology effect-level replication dataset from eLife Registered Reports and replication studies.,RPCB was rechecked because its replication protocols were submitted as Registered Reports before experimental work and the public OSF effect-level table contains replication sample sizes and SMD-like effect-size columns.,Known locally: 188 effect-level rows in the RPCB final effect table and 118 RPCB rows already in the replication-pair file. Confirmed from local table: replication sample size is present for 188 effects; replication SMD effect size is present for 159 effects; original sample size is numeric for 140 effects; original SMD effect size is numeric for 135 effects. The relaxed median-per-paper rule yields 23 preclinical paper medians from 159 registered effect rows. Confirmed: Registered Report replication protocol status: yes; domain caveat: preclinical biology.,data/raw/corpus_candidates/rpcb/RP_CB Final Analysis - Effect level data.csv; data/derived/effect_inflation_dataset/plot3_rpcb_preclinical_paper_level_candidates.csv; https://osf.io/e5nvr/,188,188,188,159,188,23,29,included as preclinical Registered Report replication evidence under the relaxed median-per-paper policy,"Included: 23 paper medians enter as a separate preclinical-biology field. The source has 159 numeric registered effect rows, but the plot uses one median row per replicated paper to avoid within-paper effect inflation. These rows are cross-plot related to RPCB replication-pair evidence, so the preclinical field label is retained.",RPCB Registered Report replication effects,rpcb_elife_registered_report_replication_effects,errington2021,23
Plot 3,included,Scheel et al. 2021 preregistered-hypotheses corpus,Registered Reports/preregistered-hypothesis table with a recoverable D/N subset.,Published psychology Registered Reports coded by Scheel et al. as preregistered hypotheses. Possible Plot 3 candidate because each row is an analytically preregistered confirmatory hypothesis and the local appendix table recovers D/N for the extractable subset.,"Known: 71 preregistered hypothesis rows, 32 D/N-ready result rows, collapsed to 16 paper dots under the one-dot-per-paper rule. Confirmed: analytic preregistration: yes (71); support status: yes (32); journal provenance: yes (32); paper D/N: yes (32). New quote-stat rescue queue: 13 candidate statistic rows, 9 with candidate N, all marked not strict-ready pending PDF/focal checks.",data/derived/paper_tables/table_40_preregistered_hypotheses_scheel_2021_psa_cr001_corpus.csv; data/derived/effect_inflation_dataset/plot3_scheel_quote_stat_rescue_candidates.csv,71,71,71,32,71,16,39,base preregistered-results corpus already on disk; 32 hypotheses have extractable D/N rows and 39 do not,"Included: 16 paper-level median rows enter from 32 D/N-ready hypotheses. The remaining 39 Scheel rows are real preregistered hypotheses. The local quote-stat pass now identifies 13 rescue candidates, but they remain outside strict Plot 3 until their article PDFs verify the exact preregistered-result row and analytic N.",Registered Reports preregistered-hypotheses corpus,scheel_et_al_2021_preregistered_hypotheses_corpus,scheel2021,16
Plot 3,included,Dorison et al. 2022 PSA-CR001 pooled preregistered rows,Pooled primary preregistered PSA-CR001 confirmatory rows.,PSA-CR001 was a preregistered 52-country COVID-19 framing project. Possible Plot 3 candidate because four primary confirmatory outcomes can be represented as pooled D/N rows rather than as nested country cells.,"Known: 4 pooled primary outcomes, collapsed to 1 paper dot under the one-dot-per-paper rule. Confirmed: analytic preregistration: yes (4); support status: yes (4); pooled N: yes (4); pooled D: yes (4).",data/derived/paper_tables/table_41_added_preregistered_rows_from_psa_cr001_dorison_et_al_2022.csv,4,4,4,4,4,1,0,adds pooled confirmatory preregistered rows that belong in the same comparison layer,Included: the four primary PSA-CR001 confirmatory outcomes are represented by one paper median. Country-level cells stay collapsed here to avoid nested non-independent Plot 3 rows.,PSA-CR001 pooled preregistered rows,dorison_et_al_2022_psa_cr001_pooled_preregistered_rows,dorison2022,1
Plot 3,included,EGAP Metaketa I information/accountability pooled PAP row,EGAP Metaketa I coordinated information-and-accountability field experiments with a harmonized meta-pre-analysis plan.,"Metaketa I was promoted because the local GitHub archive contains the preregistered pooled binary outcomes, observations, control means, and SEs in the CUP/Science Advances meta-analysis table. Under the one-dot-per-project rule, the plotted value is the median of the two overall pooled binary endpoints after a documented Chinn conversion.","Verified locally in `tab_11.1_main_effects.tex`: overall vote-choice ATE=0.003, control mean=0.369, N=25,820; overall turnout ATE=0.017, control mean=0.837, N=27,737. Confirmed: meta-PAP/preregistered coordinated source: yes; pooled focal outcomes: yes; D conversion: yes, from binary ATE plus control probability via log-OR/Chinn; paper/project median: yes.",data/raw/replication_projects/lead_harvest/metaketa_i_2019/github_metaketa_i/metaketa-i-main.zip; CUP_Book/ch11_meta-analysis/tables/tab_11.1_main_effects.tex,1,1,1,1,1,1,0,included as a pooled PAP-locked field-experiment project median with auditable binary-outcome conversion,Included: one Metaketa I pooled paper/project dot enters. Component-country rows stay staged so the pooled round and its components are not mixed as independent dots in the same strict layer.,EGAP Metaketa I pooled PAP row,egap_metaketa_i_information_accountability_pooled_pap_row,metaketaIRepo,1
Plot 3,included,EGAP Metaketa III natural-resource monitoring pooled PAP row,EGAP Metaketa III coordinated natural-resource-monitoring field experiments with public OSF replication materials.,"Metaketa III was promoted because the local OSF replication archive contains site-level preregistered ITT estimates for standardized resource, satisfaction, knowledge, and stewardship indices plus respondent counts. Under the one-dot-per-project rule, the plotted row is the median of locally pooled standardized-index estimates.","Verified locally in `site_estimates.Rdata` and `respondent_vars.Rdata`: Cov ITT site estimates exist for resource, satisfaction, knowledge, and stewardship indices across six countries; respondent N sums to 16,177. Confirmed: meta-PAP/preregistered coordinated source: yes; standardized index effects: yes; N: yes; paper/project median: yes.",data/raw/replication_projects/lead_harvest/metaketa_iii_2021/osf_259yz/Replication.zip; Replication/Combined/site_estimates.Rdata; Replication/Combined/respondent_vars.Rdata,1,1,1,1,1,1,0,included as a pooled PAP-locked field-experiment project median with standardized index effects,"Included: one Metaketa III pooled paper/project dot enters. Native component outcomes such as forest cover, pollution concentration, and site-specific ATEs remain staged rather than force-converted.",EGAP Metaketa III pooled PAP row,egap_metaketa_iii_natural_resource_monitoring_pooled_pap_row,metaketaIIIProject,1
Plot 3,included,EGAP Metaketa IV community-policing pooled PAP row,EGAP Metaketa IV community-policing field experiments with integrated public OSF result outputs.,"Metaketa IV was promoted because the local integrated OSF RDS output has the preregistered pooled meta-analysis estimates for the eight primary standardized indices. Under the one-dot-per-project rule, the plotted row is the median of those eight primary pooled standardized effects.","Verified locally in `meta-estimates-main-hypotheses.RDS`: 16 meta-analysis rows, of which the first 8 are primary standardized-index outcomes; median absolute primary estimate is 0.0176. Confirmed: EGAP registration/meta-PAP source: yes; pooled standardized effects: yes; N: 18,382 citizens from article/source; paper/project median: yes.",data/raw/replication_projects/lead_harvest/metaketa_iv_2021/osf_xqd3v_outputs/patrick_roach/data-examples-new/integrated RDS outputs/meta-estimates-main-hypotheses.RDS,1,1,1,1,1,1,0,included as a pooled PAP-locked field-experiment project median with source-standardized index effects,Included: one Metaketa IV pooled paper/project dot enters. Country/site rows and police/cluster-specific native rows stay staged to avoid nested non-independent Plot 3 dots.,EGAP Metaketa IV pooled PAP row,egap_metaketa_iv_community_policing_pooled_pap_row,metaketaIVProject,1
Plot 3,included,ManyBabies 1 Bilingual infant-directed speech pooled preregistered row,ManyBabies 1 Bilingual pooled infant-directed-speech versus adult-directed-speech preference project.,ManyBabies 1 Bilingual was considered because it is the preregistered companion project to ManyBabies 1 and reports the bilingual-infant pooled IDS-versus-ADS preference effect with a standardized within-infant effect size.,Known: one pooled primary bilingual IDS-versus-ADS effect. Confirmed locally from the public analysis repository: preregistered many-lab project: yes; focal pooled bilingual effect: yes; usable bilingual full-dataset N: 324 infants; reported full-dataset bilingual dz: 0.26; Plot 1 duplicate check: no local ManyBabies 1 Bilingual pair row found.,Byers-Heinlein et al. 2021; DOI 10.1177/2515245920974622; public mb1b-analysis repository processed_data/04_full_dataset_diff.csv,1,1,1,1,1,1,0,included as a pooled preregistered many-lab primary result with usable N and reported standardized effect,Included: one pooled ManyBabies 1 Bilingual infant-directed-speech preference row enters. The monolingual comparison rows and site/moderator rows are deliberately not added to avoid nested non-independent Plot 3 rows.,ManyBabies 1 bilingual IDS pooled row,manybabies_1_bilingual_infant_directed_speech_pooled_preregistered_row,byersHeinlein2021manybabiesBilingual,1
