handoff_id	candidate_id	priority	candidate_name	candidate_route	scan_decision	blocker	original_title	original_doi	replication_title	replication_doi	source_object_urls	local_file_summary	known_original_support_text	known_replication_support_text	conversion_or_policy_note	gpt_task	expected_json_decision_values
gpt_handoff_859f7d82181a9fa5	api_candidate_006071e798115bf1	1	Shenhav/Rand/Greene intuitive mindset and belief in God	coverage_only	not_row_original_effect_not_sufficiently_exposed	not_row_original_effect_not_sufficiently_exposed						data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/01_academicrepository_khas_edu_tr_handle_20_500_12469_2831_d0bd654fa705.html [html_or_xml, 1254 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/02_www_cambridge_org_core_journals_judgment_and_decision_making_article_doe_a1ce03884c97.html [html_or_xml, 1124143 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/03_jbaron_org_journal_18_18412_jdm18412_html_76b3d2c676b7.html [html_or_xml, 78246 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/04_doaj_org_article_5937e200778e46fa85dc65470859823c_568d6dfc514e.html [html_or_xml, 65105 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/05_doaj_org_article_82a252b91a674344b6a5f8d0792f7774_5de1e476642e.html [html_or_xml, 63804 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/06_api_osf_io_v2_registrations_734eu_f7ebd2ff263e.html [html_or_xml, 58714 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/07_osf_io_dh5e8_c1df7be23f68.html [html, 4190 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/08_openalex_org_w2888851667_16b660aaccf6.html [html, 2653 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_006071e798115bf1/09_www_cambridge_org_core_journals_judgment_and_decision_making_article_doe_0c3a74662f6a.html [html_or_xml, 1124144 bytes]	Mirrored article says Shenhav et al. (2012; Study 3) randomly assigned 373 MTurk workers to four conditions and the current study omitted two conditions.	Mirrored article reports a registered replication in Turkey and the main belief-in-God outcome means/SDs and t statistic.	Open article was mirrored and the registered-replication relation is real. The article reports original Study 3 N = 373 across four conditions and replication results for two conditions, but it uses assumed/reanalyzed small d values for planning rather than the matched original reported effect for the exact plotted contrast.	Extract Shenhav/Rand/Greene original two-condition effect and N for the intuitive-mindset belief-in-God target, then map to the replication t/N.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_845ef57aba40d4a9	api_candidate_0eb40892da116803	1	the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults -> Failure to replicate the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults		Failure to replicate the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults	10.1016/j.cognition.2020.104521	https://doi.org/10.1016/j.cognition.2020.104521	data/raw/replication_projects/individual_search_batch006/api_candidate_0eb40892da116803/01_linkinghub_elsevier_com_retrieve_pii_s0010027720303401_8df7563a6ca2.html [html, 2724 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_0eb40892da116803/doi_resolver__10_1016_j_cognition_2020_104521__linkinghub_elsevier_com__8df7563a6ca2.html [html, 2724 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_0eb40892da116803/embedded_pdf__6335b4e39f66__nihms-1651217.pdf [html_or_xml, 1816 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_0eb40892da116803/openalex_landing_page_url__10_1016_j_cognition_2020_104521__pmc_ncbi_nlm_nih_gov__64d337b87b00.html [html_or_xml, 215332 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_0eb40892da116803/openalex_landing_page_url__10_1016_j_cognition_2020_104521__pmc_ncbi_nlm_nih_gov__681bacb13b61.html [html_or_xml, 215332 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_0eb40892da116803/openalex_landing_page_url__10_1016_j_cognition_2020_104521__pubmed_ncbi_nlm_nih_gov__64fca7c3b6fc.html [html_or_xml, 147679 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_0eb40892da116803/openalex_landing_page_url__10_1016_j_cognition_2020_104521__pubmed_ncbi_nlm_nih_gov__98c4d7ea6ea6.html [html_or_xml, 147679 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	Acquire the Cognition approximate-arithmetic replication and original Park/Brannon target source; extract matched symbolic arithmetic fluency effect/N.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_d0bc7562a3d9fea7	api_candidate_64a39a53876c51c1	1	unresolved original target -> Four (and a Half) Preregistered Failures to Replicate the Weapon Focus Effect in Online Samples.	coverage_only	source_blocked_original_n_or_target_effect_missing	original_n_needed	Pickel and Sneyd (2018; Experiment 2)		Four (and a Half) Preregistered Failures to Replicate the Weapon Focus Effect in Online Samples.	10.1037/law0000469	https://doi.org/10.1037/law0000469 | https://pmc.ncbi.nlm.nih.gov/articles/PMC12610937/ | https://pubmed.ncbi.nlm.nih.gov/41234291/	data/raw/replication_projects/individual_search_batch006/api_candidate_64a39a53876c51c1/01_psycnet_apa_org_443_doilanding_doi_10_1037_law0000469_64104e8822dc.html [html_or_xml, 7946 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_64a39a53876c51c1/02_pmc_ncbi_nlm_nih_gov_articles_pmc12610937_d5386ee1d706.html [html_or_xml, 284398 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_64a39a53876c51c1/03_pubmed_ncbi_nlm_nih_gov_41234291_9c3b5f3a6df6.html [html_or_xml, 124251 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_64a39a53876c51c1/openalex_landing_page_url__10_1037_law0000469__pubmed_ncbi_nlm_nih_gov__6685cfd787f7.html [html_or_xml, 124251 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_64a39a53876c51c1/openalex_landing_page_url__10_1037_law0000469__pubmed_ncbi_nlm_nih_gov__a4d4de9df92d.html [html_or_xml, 124251 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_64a39a53876c51c1/semantic_scholar_landing_page__10_1037_law0000469__www_semanticscholar_org__43f2b75ad98e.html [html_or_xml, 2461 bytes]	Mirrored PMC article says the power analysis used Pickel and Sneyd (2018; Experiment 2; White/Neutral condition) target-description d approximately 2.03.	Mirrored PMC article reports five preregistered experiments and random-effects meta-analysis of target-description accuracy g = -0.138.	Open PMC article was mirrored and reports five preregistered experiments with total n = 1,316 plus a meta-analytic target-description g = -0.138. It also reports a source-planning original target-description d approximately 2.03 from Pickel and Sneyd (2018, Experiment 2), but this batch did not resolve the original paper's actual analyzed N and exact outcome row.	Resolve Pickel and Sneyd (2018) Experiment 2 original N/effect and map it to the replication's target-description or lineup outcome.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_ccf2d9f6bb93d504	api_candidate_710fd7eb55fc9d77	1	Scopolamine's Antidepressant Efficacy in Major Depressive Disorder -> Replication of Scopolamine's Antidepressant Efficacy in Major Depressive Disorder: A Randomized, Placebo-Controlled Clinical Trial	coverage_only	source_blocked_original_article_value_missing	value_bearing_source_object_needed	Scopolamine's Antidepressant Efficacy in Major Depressive Disorder		Replication of Scopolamine's Antidepressant Efficacy in Major Depressive Disorder: A Randomized, Placebo-Controlled Clinical Trial	10.1016/j.biopsych.2009.11.021	https://doi.org/10.1016/j.biopsych.2009.11.021	data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/01_linkinghub_elsevier_com_retrieve_pii_s0006322309014140_e1444cde4e85.html [html, 2741 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/jama_original_html.html [html_or_xml, 5511 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/01.pdf [html_or_xml, 5674 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/02.html [html_or_xml, 5737 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/03.html [html_or_xml, 5680 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/04.html [html_or_xml, 5632 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/05.html [html_or_xml, 5665 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/pmc_scopolamine_html.html [html_or_xml, 179426 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/wisc_scopolamine_pdf.pdf [pdf, 539089 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/wisc_scopolamine_pdf.txt [txt, 41499 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_710fd7eb55fc9d77/doi_resolver__10_1016_j_biopsych_2009_11_021__linkinghub_elsevier_com__e1444cde4e85.html [html, 2741 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_710fd7eb55fc9d77/embedded_pdf__0757fa465543__nihms170258.pdf [html_or_xml, 1817 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_710fd7eb55fc9d77/openalex_landing_page_url__10_1016_j_biopsych_2009_11_021__pmc_ncbi_nlm_nih_gov__510404a069c2.html [html_or_xml, 179426 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_710fd7eb55fc9d77/openalex_landing_page_url__10_1016_j_biopsych_2009_11_021__pubmed_ncbi_nlm_nih_gov__2860fa381db8.html [html_or_xml, 162461 bytes] | ... 2 more local files omitted from prompt row	Mirrored replication PMC/PDF reports the initial scopolamine trial as total n = 18 with MDD n = 9 and bipolar disorder n = 9; direct JAMA original article acquisition attempts were blocked by the publisher/CAPTCHA route.	Mirrored replication PMC/PDF reports n = 23 randomized, 22 analyzed, and source-reported scopolamine-placebo effect sizes d = 1.2 and d = 1.7 for Blocks 1 and 2.	Do not promote until the original value-bearing article or an authoritative mirrored source provides the selected original effect size and exact outcome locator.	Acquire the original scopolamine antidepressant article or authoritative table and determine the matched crossover D/N route for the replication.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_28151e77ff791341	api_candidate_821f217890822e88	1	the Mehta and Zhu (2009) color-priming effect on anagram solution times -> Failure to replicate the Mehta and Zhu (2009) color-priming effect on anagram solution times	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	the Mehta and Zhu (2009) color-priming effect on anagram solution times		Failure to replicate the Mehta and Zhu (2009) color-priming effect on anagram solution times	10.3758/s13423-013-0548-3	https://doi.org/10.3758/s13423-013-0548-3	data/raw/replication_projects/individual_search_batch006/api_candidate_821f217890822e88/01_link_springer_com_article_10_3758_s13423_013_0548_3_error_cookies_not_su_6018d0080996.html [html_or_xml, 300091 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_821f217890822e88/doi_resolver__10_3758_s13423_013_0548_3__link_springer_com__4c9d8d11264e.html [html_or_xml, 294622 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_821f217890822e88/doi_resolver__10_3758_s13423_013_0548_3__link_springer_com__eb3e95f0a2bc.html [html_or_xml, 294622 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_821f217890822e88/embedded_pdf__41aec7058c75__s13423-013-0548-3.pdf [pdf, 186357 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_821f217890822e88/openalex_landing_page_url__10_3758_s13423_013_0548_3__pubmed_ncbi_nlm_nih_gov__58712b75692d.html [html_or_xml, 120686 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_821f217890822e88/openalex_landing_page_url__10_3758_s13423_013_0548_3__pubmed_ncbi_nlm_nih_gov__7dd9d03be342.html [html_or_xml, 120686 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	Decide whether the Mehta/Zhu anagram color-priming interaction can be converted to a defensible Figure 1 D row; if yes, return exact original and replication effect/N with formula.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_d1c6b5b12b5a4e53	api_candidate_a939357d526cdfa3	1	Griskevicius et al. (2010) -> Collaborative Registered Replication of Griskevicius et al. (2010): Can Pro-environmental Behavior Be Promoted by Priming Status Motivation?	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	Griskevicius et al. (2010)		Collaborative Registered Replication of Griskevicius et al. (2010): Can Pro-environmental Behavior Be Promoted by Priming Status Motivation?	10.1525/collabra.143773	https://online.ucpress.edu/collabra/article-pdf/11/1/143773/896724/collabra_2025_11_1_143773.pdf | https://doi.org/10.1525/collabra.143773 | https://reff.f.bg.ac.rs/handle/123456789/7552 | https://research-information.bris.ac.uk/en/publications/d50dbb04-b9d4-47d1-aa5f-31efe8e502a9 | https://hdl.handle.net/1983/d50dbb04-b9d4-47d1-aa5f-31efe8e502a9 | https://openalex.org/W4414275560	data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/03_reff_f_bg_ac_rs_handle_123456789_7552_3b77e040e60e.html [html_or_xml, 13278 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/04_research_information_bris_ac_uk_en_publications_collaborative_registered_73c313ff9c53.html [html_or_xml, 58431 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/05_research_information_bris_ac_uk_en_publications_collaborative_registered_46d17ff0bf84.html [html_or_xml, 58431 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/06_openalex_org_w4414275560_16b660aaccf6.html [html, 2653 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_a939357d526cdfa3/openalex_landing_page_url__10_1525_collabra_143773__research_information_bris_ac_uk__064ebea56d86.html [html_or_xml, 58431 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_a939357d526cdfa3/openalex_landing_page_url__10_1525_collabra_143773__research_information_bris_ac_uk__3d4440ba77ba.html [html_or_xml, 58431 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_a939357d526cdfa3/openalex_landing_page_url__10_1525_collabra_143773__research_information_bris_ac_uk__8041eb4c05fa.html [html_or_xml, 58431 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_a939357d526cdfa3/openalex_landing_page_url__10_1525_collabra_143773__research_information_bris_ac_uk__a24bf15f0112.html [html_or_xml, 58431 bytes]			Institutional/repository landing pages were mirrored, but not enough article text or tables for original and replication D/N extraction.	Find article/supplement/data for the Collabra Griskevicius status-motivation replication and determine the primary pro-environmental-choice D/N row, not only the manipulation-check abstract values.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_8845e312f6e28c97	api_candidate_c49eb133d5977b06	1	Rabbitt (1968) Experiment 2 -> Recall of Speech is Impaired by Subsequent Masking Noise: A Replication of Rabbitt (1968) Experiment 2	strict_figure1a	manual_acquisition_needed_original_n	original_n_needed	Rabbitt (1968) Experiment 2		Recall of Speech is Impaired by Subsequent Masking Noise: A Replication of Rabbitt (1968) Experiment 2	10.1080/25742442.2021.1896908	https://doi.org/10.1080/25742442.2021.1896908 | https://www.ncbi.nlm.nih.gov/pmc/articles/8262135 | https://openalex.org/W3122990348	data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_f0add6db277d.html [html_or_xml, 143802 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/03_openalex_org_w3122990348_158469730ed2.html [html, 2653 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_5425c883081d.html [html_or_xml, 143802 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_c49eb133d5977b06/02_pmc_ncbi_nlm_nih_gov_articles_pmc8262135_6dcd4fd4d23b.html [html_or_xml, 143802 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/brown_rabbitt_pdf.pdf [pdf, 735910 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/brown_rabbitt_pdf.txt [txt, 30953 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/cinii.html [html_or_xml, 89095 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/doi.html [html_or_xml, 5498 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/pubmed.html [html_or_xml, 112262 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/sage_full.html [html_or_xml, 5498 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/original_attempts/sage_pdf.pdf [html_or_xml, 5531 bytes] | data/raw/replication_projects/individual_search_batch002/api_candidate_c49eb133d5977b06/manual/rabbitt_replication_pmc.html [html_or_xml, 143802 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_c49eb133d5977b06/embedded_pdf__1c22cd936e7e__nihms-1679219.pdf [html_or_xml, 1817 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_c49eb133d5977b06/openalex_landing_page_url__10_1080_25742442_2021_1896908__dialnet_unirioja_es__12b96061995d.html [html_or_xml, 36633 bytes] | ... 2 more local files omitted from prompt row	Mirrored PMC replication reports the original effect as d = 0.19, but does not give the original total N for the focal result.	Mirrored PMC replication reports a final analyzed replication sample of 200 and d = 0.19.	Do not promote until original Rabbitt N is extracted from the original article or another value-bearing source.	Resolve Rabbitt (1968) Experiment 2 original analyzed N and confirm the exact target-description outcome that maps to the open preregistered weapon-focus replication.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_b0f8c3d9e30c28ff	IND-015	2	Red-romance preregistered replications	strict_figure1a	source_blocked_needs_manual_acquisition	source_blocked_needs_manual_acquisition							Candidate maps to red-romance original targets, but exact original study/outcome rows were not resolved from local bytes.	Publisher acquisition for the preregistered replication article was blocked or metadata-only in this batch.	Do not promote until exact original target and replication values are extracted.	manual_acquisition_of_hogrefe_article_or_author_manuscript	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_05d7bc2b93fb618d	IND-017	2	Signing-at-the-beginning dishonesty direct replication	d_equivalent_figure1b	source_blocked_needs_manual_acquisition	source_blocked_needs_manual_acquisition							Candidate relation is strong, but PNAS source bytes with exact values were not mirrored in this batch.	The high-powered direct replication appears potentially row-eligible, pending source values.	Could be Figure 1B or strict SMD depending on whether the final endpoint is binary cheating or continuous dishonesty amount.	manual_acquisition_of_pnas_article_supplement_or_data_code_for_values	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_aba72c23b37715f4	IND-019	2	Mating-motive consumer/risk replication studies	coverage_worklist	source_blocked_needs_manual_acquisition	source_blocked_needs_manual_acquisition						data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_95f52a94846c.html [html_or_xml, 7813 bytes] | data/raw/replication_projects/individual_search_batch001/IND-019/01_psycnet_apa_org_443_doilanding_doi_10_1037_xge0000116_627a68d5258e.html [html_or_xml, 7946 bytes]	Candidate likely contains multiple target mappings, but local source bytes do not expose the supplement/value table.	Replication values need extraction from the article/supplement.	Do not collapse multiple original targets without study/outcome-level mapping.	manual_acquisition_of_jep_general_article_and_supplement	ready_for_row | needs_more_evidence | native_only | reject
