row_id,source_family,paper_or_project,field,prereg_url,result_url,data_url,candidate_status,known_n_or_units,known_effect_summary,strict_blocker,next_action
aea_registry_snapshot_intake,AEA RCT Registry,AEA RCT Registry public Dataverse snapshot intake,economics and political science,https://www.socialscienceregistry.org/AEA_RCT_Registry_Data_Elements_Definitions.pdf,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OHBI3I,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/DVN/OHBI3I,sidecar_registry_intake,"Dataverse API verified 4 files: data dictionary, schema, trials.csv, trials.json; snapshot covers registrations through 2025-10-01.",No effect estimates in registry snapshot; this is the scalable PAP/paper/data/program-link intake layer.,Registry metadata alone lacks final effect estimates and PAP-to-result extraction.,"Download trials.csv, filter for PAP/analysis-plan plus paper/data/program URLs, then route each matched paper/package into row rescue."
tess_graham1155,TESS,A Conditional Commitment? Partisan Identity and Support for Democracy in the United States,political science,https://osf.io/gw493/,https://tessexperiments.org/study/graham1155,https://osf.io/qzd3f/,native_metric_rescue_candidate,4027,"TESS summary reports covariate-adjusted B=-0.007, SE=0.008 for support for undemocratic co-partisans; manipulation-check B=0.042, SE=0.027.","No baseline probability, event counts, or outcome SD on the study page; stage native unless OSF data are parsed.",Download OSF data and compute the PAP outcome arm probabilities or standardized difference.
tess_johnson1389,TESS,Optimizing Schools? Public Perceptions of Algorithmic versus Status Quo Prioritization in K-12 Schooling,political science,https://osf.io/vx7de/,https://tessexperiments.org/study/johnson1389,https://osf.io/v3bfk/,native_metric_rescue_candidate,5643 overall; 5606 in abstract; 4368 K-12 parent oversample,"TESS summary reports H1 chi-square tests for algorithm fairness versus parent requests, simple rule, counselor discretion, and weighted lottery.",Per-contrast denominators/event counts are not on the page; OSF data required for D conversion.,Download OSF data and reconstruct planned binary outcome contrasts from the PAP.
tess_jackson002,TESS,An Experiment in the Measurement of Social and Economic Ideology,political science,TESS accepted proposal/study page; not full PAP-grade preregistration without additional verification,https://tessexperiments.org/study/jackson002,https://osf.io/z6gts/,sidecar_screen_candidate,1108; field period 5/2/2010-8/17/2010,TESS summary states about 30% provided different social/economic ideology placements and that multidimensional measures improved prediction for some respondents; no numeric effect on the page.,TESS page has hypotheses/outcome and OSF materials but no numeric D/native estimate; TESS proposals are weaker than full PAPs unless a paper-specific preregistration is verified.,Download OSF/Roper data or linked paper and extract the planned contrast for separate social/economic ideology placements.
score_azevedo_jeps_replication,SCORE/JEPS,Azevedo et al. JEPS SCORE preregistered replication of candidate-portrait effects,political science,https://osf.io/nxrg7/,https://www.cambridge.org/core/journals/journal-of-experimental-political-science/article/does-stereotype-threat-contribute-to-the-political-knowledge-gender-gap-a-preregistered-replication-study-of-ihme-and-tausendpfund-2018/1021AEEB971D486933CE265040CD0C95,https://doi.org/10.7910/DVN/ETUUOD,row_rescue_promising,N=671 and N=831 components; pooled N=1502 reported in memo,Reported F statistic / partial eta-squared style results.,"Need exact contrast, df, and eta-squared conversion check.",Download Dataverse package and article tables; convert eta-squared to r/d only for the preregistered simple contrast.
score_brodeur_zenodo_17792605,SCORE/Brodeur raw-code route,Reproducibility and robustness of economics and political science research raw reproduction archive,economics and political science,https://osf.io/8wsqx/,https://www.cos.io/score,https://zenodo.org/records/17792605,sidecar_raw_code_route,110 reproduced economics/political-science articles reported by memo; local row count not verified.,Top-level SCORE/Brodeur summary metrics are not absolute D values; raw Stata/R reproduction scripts are the extraction target.,"Broad SCORE is claim/reproducibility-oriented, not a PAP-linked confirmatory-result corpus; only individual papers with independent PAP evidence can promote.","Use the archive only as a DOI/code locator, then extract paper-specific coefficient/SE/N rows after matching PAP/registry evidence."
dime_rio_safe_space,DIME,Kondylis et al. demand for safe spaces in transport,public policy,RIDIE/AEA link to verify,https://github.com/worldbank/rio-safe-space,https://microdata.worldbank.org/index.php/catalog/3745,stage_native_metric,363 women and more than 22000 rides reported in memo,RCT ATE / percent-reduction style safety and travel outcomes.,PAP link and D conversion inputs not yet verified.,"Match RIDIE/AEA preregistration, then parse GitHub tables for ATE/SE/N and arm probabilities if available."
cps_golden_gulzar_sonnet_2025,CPS/Dataverse,"Golden, Gulzar & Sonnet political responsiveness and information provision",political science,https://egap.org/registration/2476 ; https://osf.io/vadwn,Comparative Political Studies article,https://dataverse.harvard.edu/dataset.xhtml?persistentid=doi:10.7910/DVN/9PWQZT,row_rescue_promising,paper/package required,Service-delivery / political responsiveness ATEs.,Two PAPs and likely native ATE metrics; avoid pilot/scale-up double-counting.,"Download Dataverse package, identify PAP primary outcomes, and stage ATE/SE/N."
apsr_campaign_experiments_archive,APSR/Dataverse,How Experiments Help Campaigns Persuade Voters,political science,https://osf.io/q276a/ ; https://osf.io/5c9hx/,APSR article,https://doi.org/10.7910/DVN/LBPSSV,row_rescue_promising,paper/package required,Campaign persuasion/vote-choice estimates.,Multiple campaigns/experiments; hierarchy must collapse to one paper dot or a component panel.,Download Dataverse package and reconstruct PAP primary vote-choice contrasts.
ajps_ghana_debates_ofosu_brierley_kramon,AJPS/Dataverse,"Ofosu, Brierley & Kramon candidate debates in Ghana",political science,https://osf.io/2qhg6/,AJPS article,https://doi.org/10.7910/DVN/OJA7YS,row_rescue_promising,paper/package required,"Debate exposure, vote-choice, and accountability outcomes.",Need PAP primary selector and arm/event-count or standardized-index inputs.,Download Dataverse package and extract PAP primary outcome estimate/N.
