source_result_id	verification_route	source_citation_key	current_evidence_level	nct_id	source_file_local_path	source_file_load_status	plotted_result_label	expected_d	expected_n	candidate_children_total	candidate_children_verified	computed_median_d_from_verified_children	computed_median_n_from_verified_children	all_children_verified	median_matches_plot	verification_status	promote_to_level6	failure_reason	source_value_snippets	lessons_learned
sr_a2792b5f35b5	clinicaltrials_api_v2_json	du2024	6	NCT01606124	data/cache/provenance_level6/sample_300/sr_a2792b5f35b5__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct01606124.json	level6_cache	Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months	0.1851860019700711	39.0	1	1	0.1851860019700711	39.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Percent Change in Rectal ACF, Pre- and Post Intervention at 6 Months | p=0.5631 | z=0.5782431058172482 | N_enrollment=39.0 | D_recomputed=0.1851860019700712	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_9800e39769a1	clinicaltrials_api_v2_json	du2024	6	NCT00373113	data/cache/ctgov_api_v2_studies/NCT00373113.json	existing_mirror	Progression-Free Survival (PFS)	0.2815124490526931	482.0	1	1	0.2815124490526931	482.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Progression-Free Survival (PFS) | p=0.002 | z=3.090232306167813 | N_enrollment=482.0 | D_recomputed=0.2815124490526931	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_06354aed9477	clinicaltrials_api_v2_json	du2024	6	NCT00676650	data/cache/ctgov_api_v2_studies/NCT00676650.json	existing_mirror	Overall Survival (OS)	0.0933649643798547	873.0	1	1	0.0933649643798547	873.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Overall Survival (OS) | p=0.1678 | z=1.3793073867704226 | N_enrollment=873.0 | D_recomputed=0.09336496437985481	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_c8398f907345	clinicaltrials_api_v2_json	du2024	6	NCT03527173	data/cache/provenance_level5/sample_300/sr_c8398f907345__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct03527173.json	existing_mirror	Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition	0.1887037931280126	71.0	1	1	0.1887037931280126	71.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_104212 | outcome=Percentage of Subjects With at Least One Episode of Shigellosis According to the Protocol Primary Case Definition | p=0.4266 | z=0.7950232118315609 | N_enrollment=71.0 | D=0.1887037931280126	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_7a1e8bbfd877	clinicaltrials_api_v2_json	du2024	6	NCT00866658	data/cache/ctgov_api_v2_studies/NCT00866658.json	existing_mirror	Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24	0.4412304518009182	311.0	1	1	0.4412304518009182	311.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Absolute Change From Baseline in Glycosylated Hemoglobin (HbA1c) at Week 24 | p=<0.0001 | z=3.89059188641312 | N_enrollment=311.0 | D_recomputed=0.4412304518009212	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_ceddf70c38b1	clinicaltrials_api_v2_json	du2024	6	NCT00457730	data/cache/provenance_level5/sample_300/sr_ceddf70c38b1__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00457730.json	existing_mirror	Percent Change in Worst Pain Score	0.7815554064523413	38.0	3	3	0.7815554064523413	38.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_29340 | outcome=Percent Change in Worst Pain Score | p=0.016 | z=2.408915545815461 | N_enrollment=38.0 | D=0.7815554064523413 || row_id=ctgovkg_29341 | outcome=Percent Change in Average Pain Score. | p=0.002 | z=3.090232306167813 | N_enrollment=38.0 | D=1.0026037526614728 || row_id=ctgovkg_62771 | outcome=Global Impression of Change | p=0.074 | z=1.7866133654934697 | N_enrollment=38.0 | D=0.5796539183231304	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_147c4fd5d62f	clinicaltrials_api_v2_json	du2024	6	NCT02035553	data/cache/ctgov_api_v2_studies/NCT02035553.json	existing_mirror	Antipsychotic Efficacy	0.2978707562040835	181.0	1	1	0.2978707562040835	181.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Antipsychotic Efficacy | p=0.0451 | z=2.0037205842936445 | N_enrollment=181.0 | D_recomputed=0.29787075620408354	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_df1f5890afec	clinicaltrials_api_v2_json	du2024	6	NCT02887989	data/cache/provenance_level5/sample_300/sr_df1f5890afec__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct02887989.json	existing_mirror	Morphine Milligram Equivalents (MME)	0.0777798571717947	140.0	2	2	0.07777985717179475	140.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_96940 | outcome=Morphine Milligram Equivalents (MME) | p=.6570 | z=0.44405890046311436 | N_enrollment=140.0 | D=0.0750596538152936 || row_id=ctgovkg_96941 | outcome=Length of Stay) LOS | p=.6339 | z=0.4762447806297467 | N_enrollment=140.0 | D=0.0805000605282959	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_17b0cfe42e6d	clinicaltrials_api_v2_json	du2024	6	NCT01903252	data/cache/provenance_level5/sample_300/sr_17b0cfe42e6d__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct01903252.json	existing_mirror	Period 1: Endoscopic Remission	0.1383587287635694	817.0	17	17	0.1383587287635694	817.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_16357 | outcome=Period 1: Endoscopic Remission | p=<0.001 | z=3.2905267314919255 | N_enrollment=817.0 | D=0.2302419159945592 || row_id=ctgovkg_39651 | outcome=Period 1: Clinical and Endoscopic Remission | p=0.005 | z=2.8070337683438114 | N_enrollment=817.0 | D=0.1964113608011566 || row_id=ctgovkg_39652 | outcome=Period 1: Endoscopic Response | p=0.026 | z=2.2262117693171737 | N_enrollment=817.0 | D=0.1557705817344419 || row_id=ctgovkg_39653 | outcome=Period 1: Clinical Remission | p=0.048 | z=1.9773684281819461 | N_enrollment=817.0 | D=0.1383587287635694 || row_id=ctgovkg_39654 | outcome=Period 1: Rectal Bleeding Sub-score of 0 | p=0.042 | z=2.0335201492530506 | N_enrollment=817.0 | D=0.1422877288601409	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_fdf78d9e9f66	clinicaltrials_api_v2_json	du2024	6	NCT00793624	data/cache/provenance_level5/sample_300/sr_fdf78d9e9f66__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00793624.json	existing_mirror	Forced Expiratory Volume in One Second (FEV1) Area Under Curve 0-3 Hour (h) (AUC 0-3h) Response at 24 Weeks	0.1897201093439425	906.0	189	189	0.1897201093439425	906.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_5265 | outcome=Forced Expiratory Volume in One Second (FEV1) Area Under Curve 0-3 Hour (h) (AUC 0-3h) Response at 24 Weeks | p=<0.0001 | z=3.89059188641312 | N_enrollment=906.0 | D=0.2585125154559135 || row_id=ctgovkg_5266 | outcome=Forced Expiratory Volume in One Second (FEV1) Area Under Curve 0-3 Hour (h) (AUC 0-3h) Response at 24 Weeks | p=<0.0001 | z=3.89059188641312 | N_enrollment=906.0 | D=0.2585125154559135 || row_id=ctgovkg_5267 | outcome=Forced Expiratory Volume in One Second (FEV1) Area Under Curve 0-3 Hour (h) (AUC 0-3h) Response at 24 Weeks | p=<0.0001 | z=3.89059188641312 | N_enrollment=906.0 | D=0.2585125154559135 || row_id=ctgovkg_5268 | outcome=Trough FEV1 Response at Week 24 | p=<0.0001 | z=3.89059188641312 | N_enrollment=906.0 | D=0.2585125154559135 || row_id=ctgovkg_5269 | outcome=Forced Expiratory Volume in One Second (FEV1) Area Under Curve 0-3 Hour (h) (AUC 0-3h) Response at 2 Weeks | p=<0.0001 | z=3.89059188641312 | N_enrollment=906.0 | D=0.2585125154559135	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
