candidate_id	gpt_decision	row_policy	replication_kind	local_verifier_action	reason
api_candidate_006071e798115bf1	needs_more_evidence	coverage_only	direct_replication	held	Original four-condition crossover interaction does not match replication two-condition pro-intuition/pro-reflection contrast.
api_candidate_0eb40892da116803	ready_for_row	strict_figure1a	direct_replication	promoted	Mirrored PMC original and replication full text verify N/effect support; original d computed from t and group Ns.
api_candidate_64a39a53876c51c1	needs_more_evidence	strict_figure1a	direct_replication	held	Weapon-focus original focal cell Ns and final replication value table still need source-mapped extraction.
api_candidate_710fd7eb55fc9d77	needs_more_evidence	coverage_only	clinical_followup	held	Original scopolamine value-bearing article remains blocked; matched crossover effect definition unresolved.
api_candidate_821f217890822e88	native_only	native_only	direct_replication	held_native_only	Color-priming target is interaction/native ANOVA without a matched strict SMD contrast.
api_candidate_a939357d526cdfa3	ready_for_row	strict_figure1a	direct_replication	promoted	Mirrored original PDF and OSF manuscript verify the composite green-score original d and replication internal-meta-analysis d.
api_candidate_c49eb133d5977b06	needs_more_evidence	strict_figure1a	direct_replication	held	Rabbitt original analyzed N is missing and replication d values need scoring reconciliation.
IND-015	needs_more_evidence	coverage_only	direct_replication	held	Red-romance exact target and value-bearing replication source unresolved.
IND-017	needs_more_evidence	d_equivalent_figure1b	direct_replication	held	Signing-at-the-beginning endpoint type and values unresolved.
IND-019	needs_more_evidence	coverage_only	close_replication	held	Mating-motive target mappings and values unresolved.
IND-022	needs_more_evidence	d_equivalent_figure1b	clinical_followup	held	EGDT trial event counts not mirrored in this batch.
IND-023	needs_more_evidence	d_equivalent_figure1b	clinical_followup	held	Activated protein C event counts not mirrored in this batch.
IND-024	needs_more_evidence	d_equivalent_figure1b	clinical_followup	held	Intensive-insulin mortality event counts not mirrored in this batch.
api_candidate_025c30471725eba5	needs_more_evidence	coverage_only	close_replication	held	Religious-priming source does not resolve a single original paper/outcome/effect.
api_candidate_0367fa32a3d09f7b	needs_more_evidence	coverage_only	direct_replication	held	Loftus registered-report value-bearing texts unresolved.
api_candidate_112b3ad59e12752d	needs_more_evidence	strict_figure1a	direct_replication	held	Prosocial-spending original exposes p only locally; no matched D/conversion inputs.
api_candidate_44137bf63c3bbdfa	needs_more_evidence	coverage_only	direct_replication	held	Schiller OSF registration lacks completed value-bearing replication results.
api_candidate_49040530056b1fbf	needs_more_evidence	coverage_only	direct_replication	held	Education/conspiracy values and metric route unresolved.
api_candidate_4dc2cff8320f0b0e	needs_more_evidence	coverage_only	direct_replication	held	Sex-difference reaction original D/N and single focal outcome unresolved.
api_candidate_53e20f8627a320c7	needs_more_evidence	coverage_only	close_replication	held	Positive-affirmation target is plural/ambiguous and values not mirrored.
api_candidate_5d432a85cc83bb79	needs_more_evidence	coverage_only	close_replication	held	Self-construal spatial-memory exact original/replication values unresolved.
api_candidate_705797b93ca7def0	needs_more_evidence	coverage_only	direct_replication	held	Money-priming SES target is moderation/native unless exact values are extracted.
api_candidate_74f56abca426fbc9	needs_more_evidence	coverage_only	direct_replication	held	Letter-priming original and replication N/effects missing.
api_candidate_7c25e95e83db7d9a	native_only	native_only	independent_validation	held_native_only	Carotid real-world validation is not a single resolved RCT-to-follow-up event-count pair.
api_candidate_96a758378eb37b0e	reject	reject	close_replication	rejected	Rapid-naming task does not establish a matched original task/outcome pair.
api_candidate_9db26ff9b8058473	reject	reject	close_replication	rejected	Social-distance focal replication N is smaller than original under current larger-N rule.
api_candidate_b3869535651b5f0e	needs_more_evidence	coverage_only	direct_replication	held	Character morality source values unresolved.
api_candidate_bb6c827070cfa1f7	native_only	native_only	direct_replication	held_native_only	Cockroach social-facilitation claim is an interaction with no current strict SMD route.
api_candidate_ccd98d70dd2472bf	needs_more_evidence	coverage_only	close_replication	held	Name-priming conceptual replication needs exact outcome mapping and values.
api_candidate_ccea3138ba9e9efa	needs_more_evidence	coverage_only	close_replication	held	Resource-scarcity conceptual replication values and target mapping unresolved.
api_candidate_d51bbeeeb3386937	needs_more_evidence	coverage_only	direct_replication	held	CBCA contextual-bias original and replication values unresolved.
api_candidate_d98523e0ce3e5e0d	needs_more_evidence	coverage_only	direct_replication	held	Online-image credibility exact Shen target and values unresolved.
api_candidate_f5027ea48e83c6e2	needs_more_evidence	coverage_only	close_replication	held	Darkness/dishonesty changed task and lacks matched original D/N.
api_candidate_f998e9bbe8b93e3b	needs_more_evidence	coverage_only	independent_validation	held	Cognitive-interview original target and matched replication outcome unresolved.
api_candidate_fcdbe8ce78bf22a0	reject	reject	direct_replication	rejected	Duplicate Schiller OSF registration hit with no value-bearing results.
